Data;Vencimento;Comanda;Categoria;Descrição;Realizado;Valor
30/11/2023;30/12/2023;13323;Pagamento;Ton visa/master parcelado - 2/3;Não;R$ 140,00
;;;;;;
22/12/2023;22/12/2023;13412;Pagamento;Link mercado pago - 3x antec.;Não;R$ 300,00
;;;;;;
;;;;;;
22/12/2023;22/12/2023;13407;Pagamento;transferência bancaria;Sim;R$ 109,90
22/12/2023;22/12/2023;13406;Pagamento;transferência bancaria;Sim;R$ 109,90
22/12/2023;22/12/2023;13405;Pagamento;transferência bancaria;Sim;R$ 109,90
22/12/2023;22/12/2023;13404;Pagamento;transferência bancaria;Sim;R$ 109,90
22/12/2023;22/12/2023;13403;Pagamento;transferência bancaria;Sim;R$ 109,90
;;;;;;
;;;;;;
20/12/2023;20/12/2023;13401;Pagamento;Ton visa e master crédito 1x;Não;R$ 185,00
;;;;;;
20/12/2023;20/12/2023;13400;Pagamento;Ton visa e master débito;Não;R$ 170,00
;;;;;;
20/12/2023;20/12/2023;13399;Pagamento;transferência bancaria;Sim;R$ 285,00
20/12/2023;20/12/2023;13398;Pagamento;transferência bancaria;Sim;R$ 285,00
20/12/2023;20/12/2023;13392;Pagamento;Ton visa e master débito;Não;R$ 312,00
;;;;;;
;;;;;;
19/12/2023;19/12/2023;13396;Pagamento;transferência bancaria;Sim;R$ 350,00
19/12/2023;19/12/2023;13395;Pagamento;transferência bancaria;Sim;R$ 224,00
19/12/2023;19/12/2023;13393;Pagamento;transferência bancaria;Sim;R$ 162,00
16/12/2023;16/12/2023;13389;Pagamento;Ton visa e master crédito 1x;Não;R$ 53,00
;;;;;;
16/12/2023;16/12/2023;13387;Pagamento;Link mercado pago;Não;R$ 200,00
;;;;;;
;;;;;;
16/12/2023;16/12/2023;13384;Pagamento;transferência bancaria;Sim;R$ 221,45
16/12/2023;16/12/2023;13322;Pagamento;transferência bancaria;Sim;R$ 200,00
16/12/2023;16/12/2023;13322;Pagamento;Ton visa e master crédito 1x;Não;R$ 220,00
;;;;;;
15/12/2023;15/12/2023;13380;Pagamento;transferência bancaria;Sim;R$ 150,00
15/12/2023;15/12/2023;13379;Pagamento;transferência bancaria;Sim;R$ 150,00
15/12/2023;15/12/2023;13375;Pagamento;transferência bancaria;Sim;R$ 315,00
15/12/2023;15/12/2023;13374;Pagamento;transferência bancaria;Sim;R$ 315,00
14/12/2023;14/12/2023;13382;Pagamento;Dinheiro;Sim;R$ 170,00
14/12/2023;14/12/2023;13381;Pagamento;Ton visa/master parcelado - 1/3;Não;R$ 116,34
;;;;;;
14/12/2023;14/12/2023;13373;Pagamento;Link mercado pago - 3x antec.;Não;R$ 315,00
;;;;;;
;;;;;;
14/12/2023;14/12/2023;13372;Pagamento;Link mercado pago;Não;R$ 387,00
;;;;;;
;;;;;;
12/12/2023;12/12/2023;13369;Pagamento;Ton visa/master parcelado - 1/2;Não;R$ 95,00
;;;;;;
12/12/2023;12/12/2023;13368;Pagamento;Permute;Não;R$ 800,00
;;;;;;
;;;;;;
11/12/2023;11/12/2023;13370;Pagamento;Ton visa e master crédito 1x;Não;R$ 65,00
;;;;;;
10/10/2023;10/12/2023;13111;Pagamento;Ton visa/master parcelado - 3/3;Não;R$ 37,26
;;;;;;
10/10/2023;10/12/2023;13110;Pagamento;Ton visa/master parcelado - 3/3;Não;R$ 60,75
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
08/12/2023;08/12/2023;13364;Pagamento;transferência bancaria;Sim;R$ 285,00
