Data;Vencimento;Comanda;Categoria;Descrição;Realizado;Valor
30/12/2022;31/12/2022;11924;Pagamento;Master Rede Débito;Não;R$ 143,00
;;;;;;
29/12/2022;31/12/2022;11910;Pagamento;Master Crédito A VISTA Rede;Sim;R$ 143,00
;;;;;;
29/12/2022;31/12/2022;11908;Pagamento;Master Crédito A VISTA Rede;Sim;R$ 154,00
;;;;;;
29/12/2022;31/12/2022;11907;Pagamento;Master Crédito A VISTA Rede;Sim;R$ 165,00
;;;;;;
30/12/2022;30/12/2022;11923;Pagamento;transferência bancaria;Sim;R$ 240,00
30/12/2022;30/12/2022;11922;Pagamento;transferência bancaria;Sim;R$ 240,00
30/12/2022;30/12/2022;11921;Pagamento;transferência bancaria;Sim;R$ 240,00
30/12/2022;30/12/2022;11920;Pagamento;transferência bancaria;Sim;R$ 240,00
30/12/2022;30/12/2022;11919;Pagamento;transferência bancaria;Sim;R$ 240,00
30/12/2022;30/12/2022;11917;Pagamento;transferência bancaria;Sim;R$ 191,00
30/12/2022;30/12/2022;11916;Pagamento;transferência bancaria;Sim;R$ 191,00
29/12/2022;30/12/2022;11906;Pagamento;Master Rede Débito;Não;R$ 132,00
;;;;;;
28/12/2022;30/12/2022;11905;Pagamento;Master Crédito A VISTA Rede;Sim;R$ 158,00
;;;;;;
28/12/2022;30/12/2022;11904;Pagamento;Master Crédito A VISTA Rede;Sim;R$ 158,00
;;;;;;
28/12/2022;30/12/2022;11900;Pagamento;Master Crédito A VISTA Rede;Sim;R$ 151,00
;;;;;;
;;;;;;
29/12/2022;29/12/2022;11914;Pagamento;transferência bancaria;Sim;R$ 267,50
29/12/2022;29/12/2022;11913;Pagamento;transferência bancaria;Sim;R$ 267,50
29/12/2022;29/12/2022;11912;Pagamento;transferência bancaria;Sim;R$ 191,00
29/12/2022;29/12/2022;11911;Pagamento;transferência bancaria;Sim;R$ 302,00
26/05/2022;29/12/2022;10871;Pagamento;Boleto - 8/10;Sim;R$ 109,00
28/12/2022;28/12/2022;11903;Pagamento;transferência bancaria;Sim;R$ 274,00
28/12/2022;28/12/2022;11902;Pagamento;Link mercado pago - 6x antec.;Não;R$ 235,00
;;;;;;
;;;;;;
28/12/2022;28/12/2022;11901;Pagamento;transferência bancaria;Sim;R$ 621,00
28/12/2022;28/12/2022;11898;Pagamento;transferência bancaria;Sim;R$ 201,00
27/12/2022;27/12/2022;11895;Pagamento;Link mercado pago - 6x antec.;Não;R$ 286,50
;;;;;;
;;;;;;
27/12/2022;27/12/2022;11894;Pagamento;Link mercado pago - 6x antec.;Não;R$ 286,50
;;;;;;
;;;;;;
27/12/2022;27/12/2022;11892;Pagamento;transferência bancaria;Sim;R$ 997,00
26/11/2022;26/12/2022;11771;Pagamento;Rede Crédito parcelado MV - 2/6;Não;R$ 53,50
;;;;;;
26/11/2022;26/12/2022;11770;Pagamento;Rede Crédito parcelado MV - 2/6;Não;R$ 53,50
;;;;;;
26/08/2022;26/12/2022;11276;Pagamento;Rede Crédito parcelado MV - 5/6;Não;R$ 80,50
;;;;;;
23/12/2022;25/12/2022;11891;Pagamento;Master Crédito A VISTA Rede;Sim;R$ 165,00
;;;;;;
24/09/2022;24/12/2022;11402;Pagamento;Rede Crédito parcelado MV - 4/6;Não;R$ 120,00
;;;;;;
22/12/2022;22/12/2022;11889;Pagamento;transferência bancaria;Sim;R$ 425,00
21/12/2022;21/12/2022;11886;Pagamento;transferência bancaria;Sim;R$ 160,00
21/12/2022;21/12/2022;11885;Pagamento;Link mercado pago - 6x antec.;Não;R$ 283,33
;;;;;;
;;;;;;
21/12/2022;21/12/2022;11884;Pagamento;Link mercado pago - 6x antec.;Não;R$ 283,33
;;;;;;
;;;;;;
21/12/2022;21/12/2022;11883;Pagamento;Link mercado pago - 6x antec.;Não;R$ 283,34
;;;;;;
;;;;;;
21/12/2022;21/12/2022;11882;Pagamento;Elo Débito Rede;Sim;R$ 143,00
;;;;;;
17/12/2022;18/12/2022;11877;Pagamento;Master Rede Débito;Não;R$ 243,00
;;;;;;
17/12/2022;18/12/2022;11875;Pagamento;Master Rede Débito;Não;R$ 77,00
;;;;;;
17/12/2022;18/12/2022;11869;Pagamento;Master Rede Débito;Não;R$ 960,00
;;;;;;
17/12/2022;17/12/2022;11880;Pagamento;transferência bancaria;Sim;R$ 201,33
17/12/2022;17/12/2022;11879;Pagamento;transferência bancaria;Sim;R$ 201,33
17/12/2022;17/12/2022;11878;Pagamento;transferência bancaria;Sim;R$ 201,33
16/12/2022;17/12/2022;11866;Pagamento;Master Rede Débito;Não;R$ 220,00
;;;;;;
16/12/2022;17/12/2022;11861;Pagamento;Master Rede Débito;Não;R$ 88,00
;;;;;;
15/12/2022;17/12/2022;11860;Pagamento;Master Crédito A VISTA Rede;Sim;R$ 143,00
;;;;;;
15/12/2022;17/12/2022;11858;Pagamento;Master Crédito A VISTA Rede;Sim;R$ 65,00
;;;;;;
16/12/2022;16/12/2022;11867;Pagamento;transferência bancaria;Sim;R$ 165,00
15/12/2022;16/12/2022;11862;Pagamento;Master Rede Débito;Não;R$ 150,00
;;;;;;
14/12/2022;14/12/2022;11856;Pagamento;Link mercado pago - 4x antec.;Não;R$ 211,50
;;;;;;
;;;;;;
14/12/2022;14/12/2022;11855;Pagamento;Link mercado pago - 4x antec.;Não;R$ 211,50
;;;;;;
;;;;;;
12/12/2022;12/12/2022;11854;Pagamento;transferência bancaria;Sim;R$ 201,00
12/12/2022;12/12/2022;11853;Pagamento;transferência bancaria;Sim;R$ 90,00
12/12/2022;12/12/2022;11851;Pagamento;Link mercado pago;Não;R$ 90,00
