Data;Vencimento;Comanda;Categoria;Descrição;Realizado;Valor
;;;;;;
01/04/2018;01/04/2018;5;Pagamento;Dinheiro;Sim;R$ 100,00
;;;;;;
01/04/2018;01/04/2018;4;Pagamento;Dinheiro;Sim;R$ 100,00
06/04/2018;06/04/2018;6;Pagamento;Crédito Visa Master 1x;Sim;R$ 102,00
;;;;;;
;;;;;;
10/04/2018;12/04/2018;17;Pagamento;Cartão de Débito;Sim;R$ 30,00
;;;;;;
;;;;;;
10/04/2018;11/04/2018;9;Pagamento;Débito Visa Master;Sim;R$ 110,00
;;;;;;
;;;;;;
10/04/2018;10/04/2018;65;Pagamento;CREDITO ELO;Sim;R$ 800,00
;;;;;;
;;;;;;
10/04/2018;10/04/2018;20;Pagamento;Crédito Visa Master 1x;Sim;R$ 102,00
10/04/2018;10/04/2018;19;Pagamento;Crédito Visa Master 1x;Sim;R$ 102,00
;;;;;;
10/04/2018;10/04/2018;12;Pagamento;Dinheiro;Sim;R$ 55,00
;;;;;;
;;;;;;
10/04/2018;10/04/2018;11;Pagamento;Dinheiro;Sim;R$ 75,00
;;;;;;
;;;;;;
;;;;;;
;;;;;;
13/04/2018;13/04/2018;61;Pagamento;Crédito Visa Master 1x;Sim;R$ 120,00
;;;;;;
13/04/2018;13/04/2018;60;Pagamento;Crédito Visa Master 1x;Sim;R$ 120,00
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
13/04/2018;13/04/2018;34;Pagamento;Crédito Visa Master 1x;Sim;R$ 102,00
;;;;;;
;;;;;;
;;;;;;
14/04/2018;15/04/2018;64;Pagamento;Débito Visa Master;Sim;R$ 100,00
;;;;;;
;;;;;;
17/04/2018;17/04/2018;76;Pagamento;Dinheiro;Sim;R$ 120,00
;;;;;;
17/04/2018;17/04/2018;47;Pagamento;Crédito Visa Master 1x;Sim;R$ 120,00
;;;;;;
;;;;;;
;;;;;;
18/04/2018;20/04/2018;35;Pagamento;Cartão de Débito;Sim;R$ 100,00
18/04/2018;18/04/2018;69;Pagamento;Dinheiro;Sim;R$ 120,00
