Data;Vencimento;Comanda;Categoria;Descrição;Realizado;Valor
30/12/2021;31/12/2021;10007;Pagamento;Cielo débito master;Não;R$ 226,00
;;;;;;
30/12/2021;31/12/2021;10005;Pagamento;Cielo crédito á vista visa;Não;R$ 226,00
;;;;;;
;;;;;;
30/12/2021;31/12/2021;10003;Pagamento;Cielo débito master;Não;R$ 12,00
;;;;;;
30/12/2021;31/12/2021;10002;Pagamento;Cielo crédito á vista master;Não;R$ 72,00
;;;;;;
;;;;;;
30/12/2021;31/12/2021;9999;Pagamento;Cielo crédito á vista visa;Não;R$ 153,00
;;;;;;
;;;;;;
30/12/2021;31/12/2021;9994;Pagamento;Cielo débito master;Não;R$ 150,00
;;;;;;
30/12/2021;30/12/2021;10009;Pagamento;transferência bancaria;Sim;R$ 316,00
30/12/2021;30/12/2021;9997;Pagamento;transferência bancaria;Sim;R$ 10,00
29/12/2021;30/12/2021;9996;Pagamento;Cielo débito visa;Não;R$ 136,65
;;;;;;
29/12/2021;30/12/2021;9993;Pagamento;Cielo crédito á vista master;Não;R$ 90,00
;;;;;;
;;;;;;
29/12/2021;30/12/2021;9992;Pagamento;Cielo crédito á vista master;Não;R$ 84,80
;;;;;;
;;;;;;
29/12/2021;30/12/2021;9991;Pagamento;Cielo crédito á vista master;Não;R$ 91,17
;;;;;;
;;;;;;
29/12/2021;30/12/2021;9986;Pagamento;Cielo débito master;Não;R$ 287,00
;;;;;;
29/12/2021;29/12/2021;9995;Pagamento;Link mercado pago - 6x antec.;Não;R$ 171,00
;;;;;;
;;;;;;
;;;;;;
;;;;;;
28/12/2021;28/12/2021;9985;Pagamento;Dinheiro;Sim;R$ 10,00
28/12/2021;28/12/2021;9982;Pagamento;transferência bancaria;Sim;R$ 105,00
28/12/2021;28/12/2021;9980;Pagamento;transferência bancaria;Sim;R$ 36,33
28/12/2021;28/12/2021;9979;Pagamento;transferência bancaria;Sim;R$ 36,33
28/12/2021;28/12/2021;9975;Pagamento;transferência bancaria;Sim;R$ 212,00
28/12/2021;28/12/2021;9972;Pagamento;Dinheiro;Sim;R$ 100,00
27/12/2021;27/12/2021;9971;Pagamento;Dinheiro;Sim;R$ 10,00
27/12/2021;27/12/2021;9971;Pagamento;transferência bancaria;Sim;R$ 60,00
27/12/2021;27/12/2021;9970;Pagamento;transferência bancaria;Sim;R$ 43,35
27/12/2021;27/12/2021;9969;Pagamento;transferência bancaria;Sim;R$ 313,50
27/12/2021;27/12/2021;9968;Pagamento;transferência bancaria;Sim;R$ 313,50
27/12/2021;27/12/2021;9967;Pagamento;transferência bancaria;Sim;R$ 313,50
24/12/2021;25/12/2021;9962;Pagamento;Cielo débito elo;Não;R$ 117,00
;;;;;;
23/12/2021;24/12/2021;9960;Pagamento;Cielo crédito á vista master;Não;R$ 85,00
;;;;;;
;;;;;;
23/12/2021;23/12/2021;9954;Pagamento;transferência bancaria;Sim;R$ 117,00
23/12/2021;23/12/2021;9953;Pagamento;transferência bancaria;Sim;R$ 218,00
23/12/2021;23/12/2021;9952;Pagamento;Link mercado pago - 6x antec.;Não;R$ 171,00
;;;;;;
;;;;;;
23/12/2021;23/12/2021;9951;Pagamento;Link mercado pago - 6x antec.;Não;R$ 171,00
;;;;;;
;;;;;;
22/12/2021;23/12/2021;9946;Pagamento;Cielo crédito á vista visa;Não;R$ 85,00
;;;;;;
;;;;;;
22/12/2021;23/12/2021;9941;Pagamento;Cielo crédito á vista master;Não;R$ 117,00
;;;;;;
;;;;;;
;;;;;;
22/12/2021;22/12/2021;9944;Pagamento;transferência bancaria;Sim;R$ 205,00
22/12/2021;22/12/2021;9943;Pagamento;transferência bancaria;Sim;R$ 205,00
22/12/2021;22/12/2021;9942;Pagamento;transferência bancaria;Sim;R$ 255,00
21/12/2021;21/12/2021;9940;Pagamento;transferência bancaria;Sim;R$ 209,00
20/12/2021;21/12/2021;9938;Pagamento;Cielo débito master;Não;R$ 158,00
;;;;;;
20/12/2021;21/12/2021;9937;Pagamento;Cielo débito master;Não;R$ 21,00
;;;;;;
20/12/2021;21/12/2021;9934;Pagamento;Cielo crédito á vista amex;Não;R$ 24,00
;;;;;;
;;;;;;
;;;;;;
;;;;;;
19/12/2021;19/12/2021;9931;Pagamento;transferência bancaria;Sim;R$ 170,00
18/12/2021;19/12/2021;9927;Pagamento;Cielo crédito á vista visa;Não;R$ 117,00
;;;;;;
;;;;;;
18/12/2021;19/12/2021;9924;Pagamento;Cielo débito visa;Não;R$ 117,00
;;;;;;
18/12/2021;19/12/2021;9900;Pagamento;Cielo débito visa;Não;R$ 100,00
;;;;;;
;;;;;;
17/12/2021;17/12/2021;9896;Pagamento;Jmps;Sim;R$ 548,00
17/12/2021;17/12/2021;9895;Pagamento;Jmps;Sim;R$ 548,00
17/12/2021;17/12/2021;9894;Pagamento;transferência bancaria;Sim;R$ 185,00
;;;;;;
16/12/2021;16/12/2021;9890;Pagamento;transferência bancaria;Sim;R$ 21,00
16/12/2021;16/12/2021;9889;Pagamento;transferência bancaria;Sim;R$ 192,00
;;;;;;
15/12/2021;15/12/2021;9891;Pagamento;transferência bancaria;Sim;R$ 117,00
15/12/2021;15/12/2021;9887;Pagamento;transferência bancaria;Sim;R$ 117,00
15/12/2021;15/12/2021;9886;Pagamento;Dinheiro;Sim;R$ 17,00
15/12/2021;15/12/2021;9885;Pagamento;Dinheiro;Sim;R$ 20,00
14/12/2021;15/12/2021;9883;Pagamento;Cielo crédito parcelado master - 3x antec.;Não;R$ 142,50
;;;;;;
;;;;;;
14/12/2021;15/12/2021;9882;Pagamento;Cielo crédito parcelado master - 3x antec.;Não;R$ 142,50
;;;;;;
;;;;;;
14/12/2021;14/12/2021;9880;Pagamento;transferência bancaria;Sim;R$ 264,00
