ano censo,nome do municipio,nome da escola,dependência administrativa,categoria escola privada,localização,situação de funcionamento,internet,internet para alunos,computador,qt computador,computador portatil,qt computador portatil,tablet,qt tablet,contrato de prestação de serviço,termo de cooperação técnica e financeira,tipo de atendimento escolarização,Atendimento Educacional Especializado (AEE),Mediação Presencial,Mediação Semipresencial,Mediação EAD,Turno Diurno,Turno Noturno,Ensino Médio,Educação Profissional,Educação Profissional Técnica,Feminino,Masculino,Raça não Declarada,Branca,Preta,Parda,Amarela,Indígena
2023,Juazeiro,COLEGIO SHALOM LTDA,privada,particular,urbana,ativa,Sim,Não,Sim,1.0,Sim,5.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,147.0,179.0,48.0,127.0,9.0,142.0,0.0,0.0
2023,Juazeiro,COLEGIO DEMOCRATICO ESTADUAL PROFESSORA FLORENTINA ALVES DOS SANTOS TEMPO INTEGRAL,estadual,,urbana,ativa,Sim,Não,Sim,12.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,341.0,401.0,114.0,41.0,47.0,537.0,3.0,0.0
2023,Juazeiro,COLEGIO ESTADUAL LOMANTO JUNIOR,estadual,,urbana,ativa,Não,Não,Sim,19.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,643.0,1039.0,399.0,174.0,68.0,1035.0,4.0,2.0
2023,Juazeiro,COLEGIO MOURA,privada,particular,urbana,ativa,Sim,Sim,Sim,30.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,57.0,47.0,35.0,25.0,2.0,42.0,0.0,0.0
2023,Juazeiro,COLEGIO DOUTOR EDSON RIBEIRO,privada,particular,urbana,ativa,Sim,Sim,Sim,6.0,Sim,3.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,117.0,113.0,61.0,57.0,7.0,103.0,2.0,0.0
2023,Juazeiro,COMPLEXO INTEGRADO DE EDUCACAO BASICA PROFISSIONAL E TECNOLOGICA DA BAHIA TEMPO INTEGRAL,estadual,,urbana,ativa,Sim,Não,Sim,20.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,326.0,478.0,146.0,47.0,19.0,588.0,4.0,0.0
2023,Juazeiro,COLEGIO VALE DO SAO FRANCISCO,privada,particular,urbana,ativa,Sim,Não,Não,0.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,494.0,511.0,437.0,245.0,11.0,311.0,1.0,0.0
2023,Juazeiro,CENTRO TERRITORIAL DE EDUCACAO PROFISSIONAL DO SERTAO DO SAO FRANCISCO,estadual,,urbana,ativa,Sim,Sim,Não,0.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,365.0,547.0,147.0,65.0,63.0,626.0,10.0,1.0
2023,Juazeiro,COLEGIO ESTADUAL PEDRO RAYMUNDO MOREIRA REGO,estadual,,urbana,ativa,Sim,Sim,Sim,10.0,Sim,4.0,Sim,5.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,402.0,465.0,25.0,139.0,30.0,668.0,3.0,2.0
2023,Juazeiro,COLEGIO ESTADUAL ANTONILIO DA FRANCA CARDOSO,estadual,,urbana,ativa,Sim,Não,Não,0.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,382.0,517.0,92.0,32.0,35.0,736.0,3.0,1.0
2023,Juazeiro,CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM GESTAO E NEGOCIOS DO NORTE BAIANO,estadual,,urbana,ativa,Sim,Sim,Sim,6.0,Sim,36.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,335.0,201.0,45.0,66.0,43.0,376.0,3.0,3.0
2023,Juazeiro,COLEGIO ESTADUAL AGOSTINHO MUNIZ BAIRRO TABULEIRO,estadual,,urbana,ativa,Não,Não,Não,0.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,291.0,330.0,90.0,42.0,16.0,470.0,1.0,2.0
2023,Juazeiro,COLEGIO ESTADUAL CECILIO MATTOS,estadual,,urbana,ativa,Sim,Não,Sim,22.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,504.0,640.0,113.0,50.0,38.0,934.0,7.0,2.0
2023,Juazeiro,COLEGIO ESTADUAL ROTARY CLUBE,estadual,,urbana,ativa,Sim,Não,Não,0.0,Não,0.0,Não,0.0,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,257.0,427.0,144.0,111.0,27.0,398.0,4.0,0.0
2023,Juazeiro,COLEGIO DA POLICIA MILITAR CPM ALFREDO VIANNA,estadual,,urbana,ativa,Sim,Não,Não,0.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,555.0,722.0,1.0,81.0,56.0,1137.0,0.0,2.0
2023,Juazeiro,COLEGIO ESTADUAL HILDETE LOMANTO,estadual,,urbana,ativa,Sim,Não,Sim,10.0,Sim,4.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,196.0,282.0,14.0,32.0,22.0,409.0,1.0,0.0
2023,Juazeiro,COLEGIO ESTADUAL JUTAHY MAGALHAES,estadual,,urbana,ativa,Sim,Não,Sim,7.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,487.0,550.0,282.0,25.0,23.0,702.0,4.0,1.0
2023,Juazeiro,COLEGIO ESTADUAL DONA GUIOMAR BARRETO MEIRA,estadual,,urbana,ativa,Sim,Não,Sim,17.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,388.0,488.0,261.0,23.0,52.0,536.0,1.0,3.0
2023,Pilão Arcado,COLEGIO ESTADUAL SOFIA MASCARENHAS,estadual,,urbana,ativa,Sim,Sim,Sim,10.0,Sim,3.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,665.0,818.0,429.0,5.0,7.0,1039.0,1.0,2.0
2023,Remanso,COLEGIO ESTADUAL REITOR EDGARD SANTOS,estadual,,urbana,ativa,Sim,Não,Sim,30.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,291.0,289.0,258.0,14.0,5.0,302.0,1.0,0.0
2023,Remanso,ESCOLA GIRASSOL DE REMANSO,privada,particular,urbana,ativa,Sim,Sim,Sim,3.0,Sim,15.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,267.0,273.0,301.0,87.0,11.0,139.0,2.0,0.0
2023,Remanso,COLEGIO ESTADUAL PROFESSORA IRENE DE SOUZA ARAUJO,estadual,,urbana,ativa,Sim,Sim,Sim,8.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,503.0,535.0,179.0,56.0,27.0,764.0,7.0,5.0
2023,Sento Sé,COLEGIO ESTADUAL SETE DE SETEMBRO,estadual,,urbana,ativa,Sim,Não,Sim,7.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,243.0,280.0,114.0,33.0,35.0,341.0,0.0,0.0
2023,Sento Sé,COLEGIO ESTADUAL DOUTOR JUCA SENTO SE,estadual,,urbana,ativa,Sim,Não,Sim,7.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,470.0,457.0,208.0,28.0,11.0,678.0,1.0,1.0
2023,Sobradinho,COLEGIO ESTADUAL JORGE KHOURY,estadual,,urbana,ativa,Sim,Não,Sim,5.0,Sim,4.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,147.0,154.0,2.0,38.0,37.0,222.0,2.0,0.0
2023,Sobradinho,COLEGIO ESTADUAL VILA SAO JOAQUIM,estadual,,urbana,ativa,Sim,Não,Sim,11.0,Não,0.0,Não,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,340.0,422.0,127.0,57.0,62.0,512.0,3.0,1.0
