"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Mudança de Uso da Terra e Floresta","72077392.15899676","74089750.26727358","68087621.62467325","72214853.4275751","66897738.20244032","67149386.39167261","59104275.425540954","49532153.19114104","47505956.51174931","54746858.455465525","55581207.09887202","56685561.539362594","50708383.96005872","46388246.845131695","64506159.23971866","55953650.600383624","44514279.57816073","37469628.19042103","45894832.04666814","46775394.99438389","37606428.598589376","39482398.77184552","56149319.21679476","54180844.25629969","38695630.66246329","33167933.03827828","32601008.09885961","33670610.05444017","39635961.59290606","35151323.584785685","34639147.445011586","33150757.56421204","32599682"
"Agropecuária","29865556.97715902","30882756.279189464","31425904.784129567","26390834.524839938","26297665.73065533","26244881.07116397","24790853.41524182","25213297.803048115","23885613.114951733","24243719.74099137","25416156.23922249","25982251.04348274","25579084.25077972","26447163.078730755","27441533.02246226","27438089.543486197","28018074.69423572","28794261.54159831","28249433.66314639","26910753.905800138","27707352.752843495","27472531.809697848","25616658.675493445","27110298.05359962","27378115.258661687","26712448.43711987","25779258.833057676","25316223.686748646","25456882.314002324","25958576.08733604","25526194.63361384","29308203.213708177","30537872.103919562"
"Energia","7322816.918387413","8316641.954342842","8911062.072481155","8622408.956384659","8151673.678167343","8498112.287921667","9805011.72663641","9964585.136410445","10257332.096279979","10301040.15277072","11576717.504646093","12379669.640540391","11958760.739672244","12063702.770975113","13101120.039229214","13602984.925346892","13969766.545484275","16713673.573259799","18468545.228706565","16480158.44809238","17826515.699712493","19028617.229065962","21033584.500042096","23967310.934275534","25331518.050770424","22893501.29600511","20634000.440413605","20415174.6004249","19905256.32909321","19230556.094973765","18974218.893519435","21100747.678756032","21126842.068129327"
"Resíduos","1713134.9508427102","1791116.9696543145","1845424.0915235886","1898731.3570573311","1973588.4006659957","2057645.497965094","2146370.0948086414","2260821.9385145986","2389596.0505962716","2530295.55362948","2676375.6746999337","2797583.4279200737","2911458.392606524","3082087.839567231","3227023.472183412","2863952.606739447","2920954.240987851","3375718.141749361","3351820.259756469","3532890.6387605234","3563012.6176661667","3440427.6921878215","3601161.0894936933","4389718.650861771","4566029.63278257","4763370.336790962","4848314.64109684","5045507.310678988","5093498.506505493","5217471.558182499","5348885.17896642","5690283.732905156","5653321.84053301"
"Processos Industriais","1342657.064453125","1264259.67578125","1274258.341796875","1221547.701171875","1319871.166015625","1403253.5703125","1442261.513671875","1407606.5424804688","1294548.361328125","1334732.3178710938","1192450.9438171387","1024845.5756835938","1075607.9443359375","1324686.7319335938","1330852.11328125","1458906.162109375","1343634.737915039","1474039.302734375","1555923.4721679688","1235557.79296875","1438893.5219726562","1463153.7998046875","1347484.6845703125","1432394.44140625","1540158.056640625","1533505.3887023926","1384213.0283203125","1392331.4130859375","1411656.3369140625","1449104.72265625","1455857.7958984375","1491592.7275390625","1450865.1103515625"
