,Bairro ou grupo de bairros,Índice de Desenvolvimento Humano Municipal (IDH)_1991,Região,Índice de Desenvolvimento Humano Municipal (IDH)_2000
0,Gávea,0.939,Zona Sul,0.97
1,Jardim Botânico,0.927,Zona Sul,0.957
2,Ipanema,0.925,Zona Sul,0.962
3,Leblon,0.923,Zona Sul,0.967
4,Humaitá,0.923,Zona Sul,0.959
5,Flamengo,0.919,Zona Sul,0.959
6,Laranjeiras,0.919,Zona Sul,0.957
7,Joá. Barra da Tijuca,0.917,Zona Oeste,0.959
8,Lagoa,0.915,Zona Sul,0.959
9,Botafogo. Urca,0.909,Zona Sul,0.952
10,Jardim Guanabara,0.907,Ilha do Governador,0.963
11,Leme,0.903,Zona Sul,0.955
12,Copacabana,0.902,Zona Sul,0.956
13,Maracanã,0.901,Zona Norte,0.944
14,Méier,0.885,Zona Norte,0.931
15,Glória,0.883,Zona Sul,0.94
16,Grajaú,0.879,Zona Norte,0.938
17,Tijuca. Alto da Boa Vista,0.873,Zona Norte,0.926
18,Todos os Santos,0.868,Zona Norte,0.922
19,Andaraí,0.858,Zona Norte,0.909
20,Vila da Penha,0.853,Zona Norte,0.909
21,Catete,0.85,Zona Sul,0.901
22,Riachuelo,0.847,Zona Norte,0.905
23,Moneró. Portuguesa,0.845,Ilha do Governador,0.904
24,Cachambi,0.844,Zona Norte,0.9
25,Freguesia (Jacarepaguá),0.843,Zona Oeste,0.898
26,Pechincha,0.842,Zona Oeste,0.9
27,Vidigal. São Conrado,0.84,Zona Sul,0.873
28,Vila Isabel,0.838,Zona Norte,0.901
29,Campinho. Vila Valqueire,0.835,Zona Norte,0.904
30,Anil,0.833,Zona Oeste,0.911
31,Centro,0.825,Centro,0.894
32,Higienópolis,0.817,Zona Norte,0.882
33,Bonsucesso,0.817,Zona Norte,0.861
34,Água Santa. Encantado,0.816,Zona Norte,0.877
35,Vila Cosmos,0.812,Zona Norte,0.876
36,Abolição,0.812,Zona Norte,0.857
37,Cocotá. Bancários,0.812,Ilha do Governador,0.861
38,Santa Teresa. Cosme Velho,0.81,Zona Sul,0.878
39,Taquara,0.806,Zona Oeste,0.876
40,Engenho de Dentro,0.802,Zona Norte,0.857
41,Rio Comprido,0.801,Zona Norte,0.849
42,Ramos,0.801,Zona Norte,0.857
43,Olaria,0.801,Zona Norte,0.853
44,Lins de Vasconcelos,0.801,Zona Norte,0.859
45,Engenho Novo,0.796,Zona Norte,0.858
46,Praça Seca,0.795,Zona Norte,0.845
47,Ribeira. Cacuia,0.795,Ilha do Governador,0.859
48,Freguesia,0.794,Zona Oeste,0.839
49,Jacaré. Rocha. Sampaio,0.794,Zona Norte,0.839
50,Engenho da Rainha,0.794,Zona Norte,0.835
51,Zumbi. Pitangueiras. Praia da Bandeira,0.794,Ilha do Governador,0.858
52,Quintino Bocaiúva,0.794,Zona Norte,0.85
53,Cidade Nova. Praça da Bandeira,0.793,Zona Norte,0.867
54,Oswaldo Cruz,0.793,Zona Norte,0.855
55,Madureira,0.792,Zona Norte,0.831
56,Piedade,0.792,Zona Norte,0.85
57,Itanhangá,0.791,Zona Oeste,0.822
58,Deodoro. Vila Militar. Campo dos Afonsos. Jardim Sulacap,0.791,Zona Oeste,0.856
59,Pilares,0.791,Zona Norte,0.831
60,Bento Ribeiro,0.789,Zona Norte,0.851
61,Recreio dos Bandeirantes. Grumari,0.788,Zona Oeste,0.894
62,Tanque,0.785,Zona Oeste,0.831
63,Estácio,0.783,Centro,0.829
64,Penha Circular,0.782,Zona Norte,0.826
65,Maria da Graça. Del Castilho,0.781,Zona Norte,0.86
66,Brás de Pina,0.78,Zona Norte,0.835
67,Jardim América,0.779,Zona Norte,0.839
68,Jardim Carioca,0.776,Ilha do Governador,0.836
69,Cascadura,0.776,Zona Norte,0.833
70,Paquetá,0.775,Ilha de Paquetá,0.822
71,Parque Anchieta,0.774,Zona Norte,0.833
72,São Cristóvão. Vasco da Gama,0.772,Zona Norte,0.833
73,Coelho Neto,0.771,Zona Norte,0.806
