,Ordem segundo o IDH,Bairro ou grupo de bairros,Esperança de vida ao nascer (em anos),Taxa de alfabetização de adultos (%),Taxa bruta de frequência escolar (%),Renda per capita (em R$ de 2000),Índice de Longevidade (IDH-L),Índice de Educação (IDH-E),Índice de Renda (IDH-R),Índice de Desenvolvimento Humano Municipal (IDH),Ano,Região
92,93,Catumbi,64.93,92.58,76.94,250.59,0.666,0.874,0.695,0.745,1991,Centro
93,94,Padre Miguel,67.3,93.28,70.79,212.23,0.705,0.858,0.667,0.743,1991,Zona Oeste
94,95,Senador Vasconcelos,66.62,91.88,74.82,215.53,0.694,0.862,0.67,0.742,1991,Zona Oeste
95,96,Bangu,65.64,93.01,74.43,217.91,0.677,0.868,0.672,0.739,1991,Zona Oeste
96,97,Vista Alegre. Irajá,57.04,96.73,83.62,353.93,0.534,0.924,0.752,0.737,1991,Zona Norte
97,98,Mangueira. São Francisco Xavier,64.46,89.52,71.36,276.58,0.658,0.835,0.711,0.735,1991,Zona Norte
98,99,Honório Gurgel,64.69,94.03,70.92,225.3,0.662,0.863,0.677,0.734,1991,Zona Norte
99,100,Cordovil,64.46,93.49,73.64,218.69,0.658,0.869,0.672,0.733,1991,Zona Norte
100,101,Vicente de Carvalho,64.46,91.53,72.74,238.81,0.658,0.853,0.687,0.732,1991,Zona Norte
101,102,Anchieta,65.45,93.24,71.04,189.64,0.674,0.858,0.648,0.727,1991,Zona Norte
102,103,Jacarepaguá,64.92,86.09,66.03,282.48,0.665,0.794,0.715,0.725,1991,Zona Oeste
103,104,Santíssimo,64.93,91.78,74.26,184.52,0.666,0.859,0.644,0.723,1991,Zona Oeste
104,105,Senador Camará,64.32,90.31,67.96,188.38,0.655,0.829,0.647,0.71,1991,Zona Oeste
105,106,Colégio,62.87,90.57,66.15,219.45,0.631,0.824,0.673,0.709,1991,Zona Norte
106,107,Camorim. Vargem Pequena. Vargem Grande,62.37,84.04,61.33,327.36,0.623,0.765,0.739,0.709,1991,Zona Oeste
107,108,Sepetiba,63.67,90.67,65.54,193.12,0.645,0.823,0.651,0.706,1991,Zona Oeste
108,109,Parada de Lucas,62.93,89.6,67.65,204.22,0.632,0.823,0.661,0.705,1991,Zona Norte
109,110,Cosmos,64.5,91.04,64.74,162.91,0.658,0.823,0.623,0.701,1991,Zona Oeste
110,111,Gardênia Azul,63.19,86.26,71.13,196.17,0.637,0.812,0.654,0.701,1991,Zona Oeste
111,112,Vigário Geral,62.51,92.28,66.0,176.96,0.625,0.835,0.637,0.699,1991,Zona Norte
112,113,Paciência,62.84,91.77,69.18,156.33,0.631,0.842,0.616,0.696,1991,Zona Oeste
113,114,Inhoaíba,62.37,90.35,67.6,175.98,0.623,0.828,0.636,0.695,1991,Zona Oeste
114,115,Cidade de Deus,62.51,90.34,65.16,174.08,0.625,0.819,0.634,0.693,1991,Zona Oeste
115,116,Santa Cruz,62.49,90.26,66.16,170.16,0.625,0.822,0.63,0.692,1991,Zona Oeste
116,117,Caju,64.93,82.73,64.06,187.79,0.666,0.765,0.647,0.692,1991,Zona Portuária
117,118,Costa Barros,61.76,90.02,64.77,182.72,0.613,0.816,0.642,0.69,1991,Zona Norte
118,119,Barros Filho,64.03,87.27,64.94,157.4,0.65,0.798,0.617,0.689,1991,Zona Norte
119,120,Guaratiba. Barra de Guaratiba. Pedra de Guaratiba,62.37,87.55,64.59,168.54,0.623,0.799,0.629,0.683,1991,Zona Oeste
120,121,Jacarezinho,62.32,86.87,64.61,157.13,0.622,0.794,0.617,0.678,1991,Zona Norte
121,122,Rocinha,65.15,81.49,54.47,170.57,0.669,0.725,0.631,0.675,1991,Zona Sul
122,123,Manguinhos,62.32,85.92,62.98,157.26,0.622,0.783,0.617,0.674,1991,Zona Norte
123,124,Maré,62.71,83.31,60.57,156.26,0.628,0.757,0.616,0.667,1991,Zona Norte
124,125,Complexo do Alemão,62.36,83.6,56.52,144.01,0.623,0.746,0.602,0.657,1991,Zona Norte
125,126,Acari. Parque Colúmbia,60.29,86.21,60.57,147.17,0.588,0.777,0.606,0.657,1991,Zona Norte
126,1,Gávea,80.45,98.08,118.13,2139.56,0.924,0.987,1.0,0.97,2000,Zona Sul
127,2,Leblon,79.47,99.01,105.18,2441.28,0.908,0.993,1.0,0.967,2000,Zona Sul
128,3,Jardim Guanabara,80.47,98.92,111.15,1316.86,0.924,0.993,0.972,0.963,2000,Ilha do Governador
129,4,Ipanema,78.68,98.78,107.98,2465.45,0.895,0.992,1.0,0.962,2000,Zona Sul
130,5,Lagoa,77.91,99.46,115.26,2955.29,0.882,0.996,1.0,0.959,2000,Zona Sul
131,6,Flamengo,77.91,99.28,119.08,1781.71,0.882,0.995,1.0,0.959,2000,Zona Sul
132,7,Humaitá,77.91,99.28,122.2,1830.65,0.882,0.995,1.0,0.959,2000,Zona Sul
133,8,Joá. Barra da Tijuca,77.84,99.38,110.09,2488.47,0.881,0.996,1.0,0.959,2000,Zona Oeste
134,9,Laranjeiras,77.84,98.74,115.98,1679.22,0.881,0.992,1.0,0.957,2000,Zona Sul
135,10,Jardim Botânico,77.84,98.71,104.89,1952.77,0.881,0.991,1.0,0.957,2000,Zona Sul
136,11,Copacabana,77.78,98.48,107.54,1623.42,0.88,0.99,1.0,0.956,2000,Zona Sul
137,12,Leme,77.47,98.75,112.07,1713.89,0.875,0.992,1.0,0.955,2000,Zona Sul
138,13,Botafogo. Urca,78.25,98.46,113.01,1376.47,0.888,0.99,0.979,0.952,2000,Zona Sul
139,14,Maracanã,77.91,98.91,113.97,1206.73,0.882,0.993,0.957,0.944,2000,Zona Norte
140,15,Glória,77.37,99.06,114.55,1183.28,0.873,0.994,0.954,0.94,2000,Zona Sul
141,16,Grajaú,77.84,97.9,107.0,1134.93,0.881,0.986,0.947,0.938,2000,Zona Norte
142,17,Méier,77.37,99.01,108.63,1000.16,0.873,0.993,0.926,0.931,2000,Zona Norte
143,18,Tijuca. Alto da Boa Vista,75.04,98.02,107.38,1204.61,0.834,0.987,0.957,0.926,2000,Zona Norte
144,19,Todos os Santos,77.91,98.55,108.2,825.91,0.882,0.99,0.894,0.922,2000,Zona Norte
145,20,Anil,77.15,97.3,101.85,768.26,0.869,0.982,0.882,0.911,2000,Zona Oeste
146,21,Vila da Penha,77.64,98.79,103.71,669.34,0.877,0.992,0.859,0.909,2000,Zona Norte
147,22,Andaraí,74.99,98.05,103.85,897.07,0.833,0.987,0.908,0.909,2000,Zona Norte
148,23,Riachuelo,76.44,98.31,102.75,715.92,0.857,0.989,0.87,0.905,2000,Zona Norte
