Estados;Ano;Floresta;Formação Florestal não Natural ;Agropecuária;Área sem Vegetação;Água e Ambientes Marinhos;Não Observado;Área Total do Território
Acre;2008;14718910,93;7430,174764;1603071,308;19809,04873;49054,83739;178,8826862;16398455,19
Acre;2009;14673260,2;6975,657464;1647513,566;19950,1134;50584,85696;170,792677;16398455,19
Acre;2010;14629583,53;9141,014833;1691957,675;20223,86278;47374,5254;174,5810245;16398455,19
Acre;2011;14598638,78;8610,44917;1721431,738;20421,7994;49170,9788;181,4353794;16398455,19
Acre;2012;14571691,12;9611,418892;1746073,929;20648,11198;50263,66892;166,9371036;16398455,19
Acre;2013;14541589,87;9089,921453;1775687,009;20859,84999;51053,41615;175,1167845;16398455,19
Acre;2014;14507760,59;9343,579809;1807460,202;21069,99082;52645,97445;174,8524138;16398455,19
Acre;2015;14462870,34;10066,57968;1851313,538;21173,63605;52855,44242;175,6444497;16398455,19
Acre;2016;14427652,56;11037,43244;1886710,338;21520,8554;51355,79649;178,2020387;16398455,19
Acre;2017;14393943,26;10790,03747;1920120,49;21737,23053;51686,40535;177,7659286;16398455,19
Acre;2018;14349022,06;11760,83463;1964899,294;22042,42531;50559,31175;171,2575932;16398455,19
Acre;2019;14254287,01;11894,03247;2058370,269;22521,73199;51212,47586;169,6673281;16398455,19
Acre;2020;14168140,98;12805,57367;2142147,328;23414,61957;51773,94941;172,7382704;16398455,19
Acre;2021;14057040,2;15714,11272;2248943,708;25689,75552;50913,64133;153,7654139;16398455,19
Acre;2022;13932738,25;12756,1524;2371150,96;26062,36384;55579,71256;167,7494962;16398455,19
Acre;2023;13846969,66;21213,90668;2444261,785;29766,70597;56073,88922;169,2412193;16398455,19
Amazonas;1985;148011624,3;2750676,39;395667,4512;35589,51976;4644270,319;139,4940351;155837967,4
Amazonas;1986;147888345,5;2616423,732;440580,3052;39949,58012;4852527,186;141,0890629;155837967,4
Amazonas;1987;147855766,2;2417832,195;468520,5646;41117,47062;5054583,734;147,2438012;155837967,4
Amazonas;1988;147751430,5;2604561,805;485156,7862;43301,06519;4953390,812;126,5166521;155837967,4
Amazonas;1989;147512578,9;2548258,864;486334,9136;45149,169;5245531,928;113,6404705;155837967,4
Amazonas;1990;147609678,9;2407960,7;480991,6384;46666,30017;5292560,574;109,3651842;155837967,4
Amazonas;1991;147567244,4;2205825,044;465685,8268;47774,55866;5551301,415;136,1880176;155837967,4
Amazonas;1992;147529671,8;2365932,712;500517,9056;48509,65983;5393197,584;137,7828062;155837967,4
Amazonas;1993;147468000,3;2245592,307;536055,5036;48969,15448;5539208,309;141,8964798;155837967,4
Amazonas;1994;147493420,7;2326911,473;557955,648;49588,06698;5409939,536;152,0023913;155837967,4
Amazonas;1995;147520357,7;2323639,663;572479,8327;49894,33949;5371450,875;145,0179538;155837967,4
Amazonas;1996;147452516,4;2171184,174;626839,4969;50577,90259;5536704,953;144,4720307;155837967,4
Amazonas;1997;147414220,7;2441519,347;726331,8637;52010,7499;5203769,935;114,884774;155837967,4
Amazonas;1998;147319647,3;2692919,379;849426,6157;53176,98631;4922662,053;135,0736869;155837967,4
Amazonas;1999;147221189,4;2119599,943;906741,2989;53769,18501;5536526,301;141,3520706;155837967,4
Amazonas;2000;147438635;2529633,351;898847,7569;55720,78185;4914961,504;169,0324;155837967,4
Amazonas;2001;147469094,7;2646351,924;896093,2418;56669,62889;4769579,862;178,0649795;155837967,4
Amazonas;2002;147437007,1;2533213,671;924197,4905;57035,61434;4886346,603;166,9689221;155837967,4
Amazonas;2003;147368961,6;2683569,706;1001032,975;57913,98372;4726327,252;161,8802655;155837967,4
Amazonas;2004;147275785,5;2701494,357;1086817,515;58847,10844;4714886,238;136,6833236;155837967,4
Amazonas;2005;147208852,7;2658449,51;1184355,957;59165,52855;4726983,538;160,2544941;155837967,4
