country;state;municipality;municipality - state;geocode;feature_id;class;class_level_0;class_level_1;class_level_2;class_level_3;class_level_4;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Brasil;Rondônia;Alta Floresta D'Oeste;Alta Floresta D'Oeste - RO;1100015;1;33;Natural;5. Water and Marine Environment;5.1. River, Lake and Ocean;5.1. River, Lake and Ocean;5.1. River, Lake and Ocean;15656,88731;16104,68976;21193,32005;18431,46029;12713,80314;21148,11046;26930,78588;29287,16096;29487,01364;27783,31125;10942,69006;18094,88046;22203,4132;22275,26477;25171,38266;7425,833727;11599,26883;14329,14994;12336,56817;11683,22386;10516,41527;6938,668009;7639,095515;6966,530379;7074,479304;5627,193965;5800,969866;5931,427873;4635,561543;5000,779835;4110,068694;4167,572018;4317,192258;4445,671026;4762,405128;4459,095302;4520,912428;5388,039669;5606,546678
Brasil;Rondônia;Alta Floresta D'Oeste;Alta Floresta D'Oeste - RO;1100015;1;39;Antropic;3. Farming;3.2. Agriculture;3.2.1. Temporary Crop;3.2.1.1. Soybean;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,699724866;1,399790173;1,487762097;0,78769679;4,63864386;11,81537121;8,751575336;9,009756165;8,047556995;0;1,750317322;1,750317322;0;0;35,50416554;68,12190056;48,01204205;54,14621174;137,7628943;301,5818982;486,9116488;867,6413629;869,0412178;874,5524947
Brasil;Rondônia;Alta Floresta D'Oeste;Alta Floresta D'Oeste - RO;1100015;1;41;Antropic;3. Farming;3.2. Agriculture;3.2.1. Temporary Crop;3.2.1.5. Other Temporary Crops;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,900789307;40,95300073;41,65256318;19,59876945;64,91764653;219,7687935;293,787771;202,542345;123,9813652;90,38435609;72,97787385;85,05123101;98,61424334;77,3493999;114,1337573;324,7371044;495,4545571;699,8596648;873,4022501;662,9814136;526,4527626;138,2854444;138,9804125;134,4263277
Brasil;Rondônia;Ariquemes;Ariquemes - RO;1100023;2;3;Natural;1. Forest;1.1. Forest Formation;1.1. Forest Formation;1.1. Forest Formation;352455,3946;336423,109;329711,8786;327596,9351;326715,8694;326078,4005;319999,946;314216,6568;304934,7155;292449,4387;276064,9571;258905,3685;249525,52;241316,1255;233496,9531;226512,9458;218109,9492;205681,2408;194127,8767;185038,4129;176457,7625;173416,2203;172649,6503;171604,9153;171004,9583;170773,9814;169817,3484;168398,7788;165911,7488;163262,3503;158598,8077;154180,9237;150323,1919;147032,393;143434,6972;141022,3753;138507,2688;134835,9902;129352,2477
Brasil;Rondônia;Ariquemes;Ariquemes - RO;1100023;2;4;Natural;1. Forest;1.2. Savanna Formation;1.2. Savanna Formation;1.2. Savanna Formation;9207,501994;9143,635245;9048,138894;8821,635865;8689,276303;8645,790388;8493,301023;8353,15718;8224,702829;8230,568559;8211,609245;8064,569046;7876,9341;7818,614811;7832,008933;7815,44696;7759,765029;7630,955506;7493,242787;7364,340089;7243,020233;7078,033256;6988,37529;6888,227149;6816,712223;6688,863482;6390,902812;6274,358068;6036,682002;5502,57211;5398,452778;5252,314515;5058,873374;4939,616132;4914,937325;4927,447646;4551,404111;4013,9007;3261,25709
Brasil;Rondônia;Ariquemes;Ariquemes - RO;1100023;2;6;Natural;1. Forest;1.4 Floodable Forest;1.4 Floodable Forest;1.4 Floodable Forest;1902,854773;1887,082823;1872,460542;1874,839284;1884,968227;1887,338192;1849,887232;1839,489778;1766,438627;1760,704209;1720,528239;1643,884855;1582,484385;1542,934957;1534,389809;1551,302209;1537,386594;1543,465533;1543,291492;1547,256783;1537,567027;1525,229539;1519,849733;1520,813055;1524,605176;1526,368076;1522,754003;1524,603173;1513,94341;1490,51467;988,0282092;888,0026898;878,9291181;858,8516328;854,0057691;858,2349275;846,6970991;810,5819315;772,9629659
Brasil;Rondônia;Ariquemes;Ariquemes - RO;1100023;2;11;Natural;2. Non Forest Natural Formation;2.1. Wetland;2.1. Wetland;2.1. Wetland;677,2036687;615,3485405;624,3384296;515,8502518;459,263643;425,6836736;396,6914224;343,2026825;326,001625;231,804665;223,8686776;191,7880481;196,3641946;181,4780002;168,0855486;195,3909862;199,356835;217,2277359;210,537385;208,1573891;206,7469622;225,6887647;218,3789768;200,7561645;203,3118314;200,4936825;186,138519;218,1129293;371,8170539;368,82263;657,12334;475,2654022;443,7257685;333,289614;289,1791197;318,0033738;343,7865894;149,6692445;50,39526994
Brasil;Rondônia;Ariquemes;Ariquemes - RO;1100023;2;12;Natural;2. Non Forest Natural Formation;2.2. Grassland;2.2. Grassland;2.2. Grassland;4109,363694;3842,424773;3745,539324;3466,895903;3146,734373;2967,050043;2855,587956;2744,043104;2626,847835;2567,920015;2519,633084;2378,581059;2294,616404;2227,133686;2177,791954;2209,145318;2150,037549;2079,659883;2001,60506;1953,333459;1899,41769;1875,995944;1831,604893;1777,869298;1784,29964;1734,267191;1737,526731;1678,505856;1721,134035;1680,333182;1471,596074;1369,795664;1335,898943;1316,261518;1302,958466;1380,66276;1532,594017;1319,265831;678,5870206
Brasil;Rondônia;Ariquemes;Ariquemes - RO;1100023;2;15;Antropic;3. Farming;3.1. Pasture;3.1. Pasture;3.1. Pasture;68463,55019;84485,45355;91338,13365;93573,23324;94378,79009;94779,80964;100942,0265;106843,8523;116127,109;128524,0237;144929,3902;162152,6509;171658,2746;179873,8267;187612,1171;194752,0356;203154,9506;215551,6853;226972,9095;235996,4596;244501,7629;247464,6225;248141,0539;249036,1853;249548,0283;249720,8149;250483,5213;251748,4703;253954,3145;255662,0278;258444,3139;261672,0992;264548,0159;266512,6701;269272,0453;270769,4493;273370,7771;277435,3868;283777,6129
Brasil;Rondônia;Ariquemes;Ariquemes - RO;1100023;2;24;Antropic;4. Non vegetated area;4.2. Urban Area;4.2. Urban Area;4.2. Urban Area;1860,201545;2170,404121;2211,022697;2248,907185;2272,161402;2320,966365;2400,254592;2434,523908;2468,70721;2491,878405;2503,860136;2542,976735;2564,120992;2589,318259;2605,264389;2610,021889;2641,034553;2729,666568;2788,079856;2906,932542;3020,146573;3070,279044;3082,349259;3125,875092;3132,659287;3163,408651;3182,173344;3242,783822;3283,04307;3306,652062;3331,056003;3366,648937;3401,010729;3470,876746;3487,791292;3496,600651;3505,939579;3508,934832;3529,286425
