NOME_SALA;REGISTRO_SALA;CNPJ_SALA;SITUACAO_SALA;DATA_SITUACAO_SALA;DATA_INICIO_FUNCIONAMENTO_SALA;ASSENTOS_SALA;ASSENTOS_CADEIRANTES;ASSENTOS_MOBILIDADE_REDUZIDA;ASSENTOS_OBESIDADE;ACESSO_ASSENTOS_COM_RAMPA;ACESSO_SALA_COM_RAMPA;BANHEIROS_ACESSIVEIS;NOME_COMPLEXO;REGISTRO_COMPLEXO;SITUACAO_COMPLEXO;DATA_SITUACAO_COMPLEXO;PAGINA_ELETRONICA_COMPLEXO;ENDERECO_COMPLEXO;NUMERO_ENDERECO_COMPLEXO;COMPLEMENTO_COMPLEXO;BAIRRO_COMPLEXO;MUNICIPIO_COMPLEXO;CEP_COMPLEXO;UF_COMPLEXO;COMPLEXO_ITINERANTE;OPERACAO_USUAL;NOME_EXIBIDOR;REGISTRO_EXIBIDOR;CNPJ_EXIBIDOR;SITUACAO_EXIBIDOR;NOME_GRUPO_EXIBIDOR
ARCOPLEXCINEMAS- JARAGUA DO SUL I;5003827;17.040.988/0003-87;EM FUNCIONAMENTO;11/11/2021;01/01/2013;195;3;;2;SIM;NÃO;SIM;ARCOPLEXCINEMAS- JARAGUA DO SUL;24050;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AVENIDA GETULIO VARGAS ;268;LOJA 201;CENTRO;JARAGUÁ DO SUL;89251-000;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS-JARAGUA DO SUL II;5003828;17.040.988/0003-87;EM FUNCIONAMENTO;11/11/2021;01/01/2013;207;2;;2;SIM;NÃO;SIM;ARCOPLEXCINEMAS- JARAGUA DO SUL;24050;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AVENIDA GETULIO VARGAS ;268;LOJA 201;CENTRO;JARAGUÁ DO SUL;89251-000;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS-JARAGUA DO SUL III;5003829;17.040.988/0003-87;EM FUNCIONAMENTO;11/11/2021;01/01/2013;189;2;;2;SIM;NÃO;SIM;ARCOPLEXCINEMAS- JARAGUA DO SUL;24050;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AVENIDA GETULIO VARGAS ;268;LOJA 201;CENTRO;JARAGUÁ DO SUL;89251-000;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS-JARAGUA DO SUL IV;5005496;17.040.988/0003-87;EM FUNCIONAMENTO;11/11/2021;25/02/2016;180;2;;2;SIM;NÃO;SIM;ARCOPLEXCINEMAS- JARAGUA DO SUL;24050;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AVENIDA GETULIO VARGAS ;268;LOJA 201;CENTRO;JARAGUÁ DO SUL;89251-000;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS-JARAGUA DO SUL V;5005758;17.040.988/0003-87;EM FUNCIONAMENTO;11/11/2021;12/01/2017;160;2;2;2;SIM;NÃO;SIM;ARCOPLEXCINEMAS- JARAGUA DO SUL;24050;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AVENIDA GETULIO VARGAS ;268;LOJA 201;CENTRO;JARAGUÁ DO SUL;89251-000;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS LAJEADO I- 3D;5005041;17.040.988/0026-73;EM FUNCIONAMENTO;11/11/2021;01/01/2013;162;1;;1;SIM;NÃO;SIM;ARCOPLEXCINEMAS- LAJEADO;24051;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;BR 386 KM 346;346;;BR 386;LAJEADO;95900-000;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS LAJEADO II;5005042;17.040.988/0026-73;EM FUNCIONAMENTO;11/11/2021;01/01/2013;170;1;;1;SIM;NÃO;SIM;ARCOPLEXCINEMAS- LAJEADO;24051;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;BR 386 KM 346;346;;BR 386;LAJEADO;95900-000;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS LAJEADO III;5005043;17.040.988/0026-73;EM FUNCIONAMENTO;11/11/2021;01/01/2013;170;1;;1;SIM;NÃO;SIM;ARCOPLEXCINEMAS- LAJEADO;24051;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;BR 386 KM 346;346;;BR 386;LAJEADO;95900-000;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS LAJEADO IV;5005044;17.040.988/0026-73;EM FUNCIONAMENTO;11/11/2021;01/01/2013;170;1;;1;SIM;NÃO;SIM;ARCOPLEXCINEMAS- LAJEADO;24051;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;BR 386 KM 346;346;;BR 386;LAJEADO;95900-000;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- MARROCOS;5003830;17.040.988/0010-06;FECHADO;27/05/2022;01/01/2013;999;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- MARROCOS;24052;FECHADO;27/05/2022;WWW.ARCOPLEXCINEMAS.COM.BR;RUA GOVERNADOR JORGE LACERDA;92;;CENTRO;LAGES;88501-120;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- PARK EUROPEU I;5003831;17.040.988/0009-72;EM FUNCIONAMENTO;11/11/2021;01/01/2013;361;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- PARK EUROPEU;24053;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;VIA EXPRESSA PAUL KUEHNRICH;1600;2 PISO;ITOUPAVA NORTE;BLUMENAU;89052-381;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- PARK EUROPEU II;5003832;17.040.988/0009-72;EM FUNCIONAMENTO;11/11/2021;01/01/2013;262;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- PARK EUROPEU;24053;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;VIA EXPRESSA PAUL KUEHNRICH;1600;2 PISO;ITOUPAVA NORTE;BLUMENAU;89052-381;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- PARK EUROPEU III;5003833;17.040.988/0009-72;EM FUNCIONAMENTO;11/11/2021;01/01/2013;188;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- PARK EUROPEU;24053;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;VIA EXPRESSA PAUL KUEHNRICH;1600;2 PISO;ITOUPAVA NORTE;BLUMENAU;89052-381;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- PARK EUROPEU IV;5003834;17.040.988/0009-72;EM FUNCIONAMENTO;11/11/2021;01/01/2013;201;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- PARK EUROPEU;24053;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;VIA EXPRESSA PAUL KUEHNRICH;1600;2 PISO;ITOUPAVA NORTE;BLUMENAU;89052-381;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- PARK EUROPEU V;5003835;17.040.988/0009-72;EM FUNCIONAMENTO;11/11/2021;01/01/2013;222;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- PARK EUROPEU;24053;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;VIA EXPRESSA PAUL KUEHNRICH;1600;2 PISO;ITOUPAVA NORTE;BLUMENAU;89052-381;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- PATIO CHAPECÓ I;5003836;17.040.988/0011-97;FECHADO;10/11/2022;01/01/2013;284;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- PATIO CHAPECÓ;24054;FECHADO;10/11/2022;WWW.ARCOPLEXCINEMAS.COM.BR;AV. FERNANDO MACHADO;4000;D TERRENO;CENTRO;CHAPECÓ;89805-203;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- PATIO CHAPECÓ II;5003837;17.040.988/0011-97;FECHADO;10/11/2022;01/01/2013;226;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- PATIO CHAPECÓ;24054;FECHADO;10/11/2022;WWW.ARCOPLEXCINEMAS.COM.BR;AV. FERNANDO MACHADO;4000;D TERRENO;CENTRO;CHAPECÓ;89805-203;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- PATIO CHAPECÓ III;5003838;17.040.988/0011-97;FECHADO;10/11/2022;01/01/2013;226;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- PATIO CHAPECÓ;24054;FECHADO;10/11/2022;WWW.ARCOPLEXCINEMAS.COM.BR;AV. FERNANDO MACHADO;4000;D TERRENO;CENTRO;CHAPECÓ;89805-203;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- PATIO CHAPECÓ IV;5003839;17.040.988/0011-97;FECHADO;10/11/2022;01/01/2013;264;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- PATIO CHAPECÓ;24054;FECHADO;10/11/2022;WWW.ARCOPLEXCINEMAS.COM.BR;AV. FERNANDO MACHADO;4000;D TERRENO;CENTRO;CHAPECÓ;89805-203;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- PATIO DOM LUIS I;5003840;17.040.988/0015-10;FECHADO;30/11/2017;01/01/2013;110;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- PATIO DOM LUIS;24055;FECHADO;30/11/2017;WWW.ARCOPLEXCINEMAS.COM.BR;AVENIDA DOM LUIS;1200;;ALDEOTA;FORTALEZA;60160-230;CE;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- PATIO DOM LUIS II;5003841;17.040.988/0015-10;FECHADO;30/11/2017;01/01/2013;160;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- PATIO DOM LUIS;24055;FECHADO;30/11/2017;WWW.ARCOPLEXCINEMAS.COM.BR;AVENIDA DOM LUIS;1200;;ALDEOTA;FORTALEZA;60160-230;CE;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- PELOTAS I;5003842;17.040.988/0021-69;FECHADO;30/10/2014;01/01/2013;124;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- PELOTAS;24056;FECHADO;30/10/2014;WWW.ARCOPLEXCINEMAS.COM.BR;RUA ANDRADE NEVES;1934;2 ANDAR;CENTRO;PELOTAS;96020-080;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- PELOTAS III;5003844;17.040.988/0021-69;FECHADO;30/10/2014;01/01/2013;90;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- PELOTAS;24056;FECHADO;30/10/2014;WWW.ARCOPLEXCINEMAS.COM.BR;RUA ANDRADE NEVES;1934;2 ANDAR;CENTRO;PELOTAS;96020-080;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- PÉLOTAS II;5003843;17.040.988/0021-69;FECHADO;30/10/2014;01/01/2013;117;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- PELOTAS;24056;FECHADO;30/10/2014;WWW.ARCOPLEXCINEMAS.COM.BR;RUA ANDRADE NEVES;1934;2 ANDAR;CENTRO;PELOTAS;96020-080;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- RIO CLARO I;5003845;17.040.988/0016-00;FECHADO;27/01/2021;01/01/2013;225;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- RIO CLARO;24057;FECHADO;27/01/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AV. CONDE FRANCISCO MATARRAZZO JR;205;SALA 03;VILA PAULISTA;RIO CLARO;13506-845;SP;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- RIO CLARO II;5003846;17.040.988/0016-00;FECHADO;27/01/2021;01/01/2013;146;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- RIO CLARO;24057;FECHADO;27/01/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AV. CONDE FRANCISCO MATARRAZZO JR;205;SALA 03;VILA PAULISTA;RIO CLARO;13506-845;SP;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- RIO CLARO III;5003847;17.040.988/0016-00;FECHADO;27/01/2021;01/01/2013;135;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- RIO CLARO;24057;FECHADO;27/01/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AV. CONDE FRANCISCO MATARRAZZO JR;205;SALA 03;VILA PAULISTA;RIO CLARO;13506-845;SP;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- RIO CLARO IV;5003848;17.040.988/0016-00;FECHADO;27/01/2021;01/01/2013;135;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- RIO CLARO;24057;FECHADO;27/01/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AV. CONDE FRANCISCO MATARRAZZO JR;205;SALA 03;VILA PAULISTA;RIO CLARO;13506-845;SP;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- RIO CLARO V;5003849;17.040.988/0016-00;FECHADO;27/01/2021;01/01/2013;133;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- RIO CLARO;24057;FECHADO;27/01/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AV. CONDE FRANCISCO MATARRAZZO JR;205;SALA 03;VILA PAULISTA;RIO CLARO;13506-845;SP;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- RUA DA PRAIA I;5003850;17.040.988/0029-16;FECHADO;27/05/2022;01/01/2013;155;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- RUA DA PRAIA;24058;FECHADO;27/05/2022;WWW.ARCOPLEXCINEMAS.COM.BR;RUA. DAS ANDRAADAS;1001;SALA 201-11;CENTRO;PORTO ALEGRE;90020-015;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- RUA DA PRAIA II;5003851;17.040.988/0029-16;FECHADO;27/05/2022;01/01/2013;142;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- RUA DA PRAIA;24058;FECHADO;27/05/2022;WWW.ARCOPLEXCINEMAS.COM.BR;RUA. DAS ANDRAADAS;1001;SALA 201-11;CENTRO;PORTO ALEGRE;90020-015;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- SANTA CRUZ I;5003852;17.040.988/0025-92;FECHADO;29/10/2015;01/01/2013;155;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- SANTA CRUZ;24059;FECHADO;29/10/2015;WWW.ARCOPLEXCINEMAS.COM.BR;AV. ALBERTO PASQUALINE ;18;;CENTRO;SANTA CRUZ DO SUL;96820-050;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- SANTA CRUZ II;5003853;17.040.988/0025-92;FECHADO;29/10/2015;01/01/2013;103;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- SANTA CRUZ;24059;FECHADO;29/10/2015;WWW.ARCOPLEXCINEMAS.COM.BR;AV. ALBERTO PASQUALINE ;18;;CENTRO;SANTA CRUZ DO SUL;96820-050;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- SANTA CRUZ III;5003854;17.040.988/0025-92;FECHADO;29/10/2015;01/01/2013;66;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- SANTA CRUZ;24059;FECHADO;29/10/2015;WWW.ARCOPLEXCINEMAS.COM.BR;AV. ALBERTO PASQUALINE ;18;;CENTRO;SANTA CRUZ DO SUL;96820-050;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- SANTA MARIA I;5003855;17.040.988/0028-35;EM FUNCIONAMENTO;11/11/2021;01/01/2013;158;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- SANTA MARIA;24060;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AV. NOSSA SENHORA DAS DORES;305;;DORES;SANTA MARIA;97050-531;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- SANTA MARIA II;5003856;17.040.988/0028-35;EM FUNCIONAMENTO;11/11/2021;01/01/2013;164;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- SANTA MARIA;24060;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AV. NOSSA SENHORA DAS DORES;305;;DORES;SANTA MARIA;97050-531;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- SANTA MARIA III;5003857;17.040.988/0028-35;EM FUNCIONAMENTO;11/11/2021;01/01/2013;176;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- SANTA MARIA;24060;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AV. NOSSA SENHORA DAS DORES;305;;DORES;SANTA MARIA;97050-531;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- SANTA MARIA IV;5003858;17.040.988/0028-35;EM FUNCIONAMENTO;11/11/2021;01/01/2013;264;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- SANTA MARIA;24060;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AV. NOSSA SENHORA DAS DORES;305;;DORES;SANTA MARIA;97050-531;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- SERRA I;5003859;17.040.988/0007-00;FECHADO;28/10/2015;01/01/2013;129;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- SERRA;24061;FECHADO;28/10/2015;WWW.ARCOPLEXCINEMAS.COM.BR;RUA PRESIDENTE NEREU RAMOS ;303;;CENTRO;LAGES;88502-170;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- SERRA II;5003860;17.040.988/0007-00;FECHADO;28/10/2015;01/01/2013;130;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- SERRA;24061;FECHADO;28/10/2015;WWW.ARCOPLEXCINEMAS.COM.BR;RUA PRESIDENTE NEREU RAMOS ;303;;CENTRO;LAGES;88502-170;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- VIA CATARINA I;5003861;17.040.988/0008-91;EM FUNCIONAMENTO;11/11/2021;01/01/2013;234;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- VIA CATARINA;24062;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AVENIDA ATILIO PEDRO PAGANI;270;;PASSA VINTE;PALHOÇA;88132-149;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- VIA CATARINA II;5003862;17.040.988/0008-91;EM FUNCIONAMENTO;11/11/2021;01/01/2013;234;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- VIA CATARINA;24062;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AVENIDA ATILIO PEDRO PAGANI;270;;PASSA VINTE;PALHOÇA;88132-149;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- VIA CATARINA III;5003863;17.040.988/0008-91;EM FUNCIONAMENTO;11/11/2021;01/01/2013;311;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- VIA CATARINA;24062;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AVENIDA ATILIO PEDRO PAGANI;270;;PASSA VINTE;PALHOÇA;88132-149;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- VIA CATARINA IV;5003864;17.040.988/0008-91;EM FUNCIONAMENTO;11/11/2021;01/01/2013;190;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- VIA CATARINA;24062;EM FUNCIONAMENTO;11/11/2021;WWW.ARCOPLEXCINEMAS.COM.BR;AVENIDA ATILIO PEDRO PAGANI;270;;PASSA VINTE;PALHOÇA;88132-149;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- VITORIA I;5003865;17.040.988/0032-11;FECHADO;02/02/2015;01/01/2013;155;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- VITORIA;24063;FECHADO;02/02/2015;WWW.ARCOPLEXCINEMAS.COM.BR;AV. BORGES DE MADEIROS ;441;;CENTRO HISTORICO;PORTO ALEGRE;90020-023;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS- VITORIA II;5003866;17.040.988/0032-11;FECHADO;02/02/2015;01/01/2013;142;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS- VITORIA;24063;FECHADO;02/02/2015;WWW.ARCOPLEXCINEMAS.COM.BR;AV. BORGES DE MADEIROS ;441;;CENTRO HISTORICO;PORTO ALEGRE;90020-023;RS;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS-ARARANGUA SALA 01;5005408;17.040.988/0007-00;EM FUNCIONAMENTO;11/11/2021;12/11/2015;315;4;2;4;SIM;NÃO;SIM;ARCOPLEXCINEMAS-ARARANGUA;31752;EM FUNCIONAMENTO;11/11/2021;www.arcoplex.com.br;AV. SETE DE SETEMBRO;705;SL.99/100;CIDADE ALTA;ARARANGUÁ;88901-004;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS-ARARANGUA SALA 02;5005409;17.040.988/0007-00;EM FUNCIONAMENTO;11/11/2021;12/11/2015;201;4;2;4;SIM;NÃO;SIM;ARCOPLEXCINEMAS-ARARANGUA;31752;EM FUNCIONAMENTO;11/11/2021;www.arcoplex.com.br;AV. SETE DE SETEMBRO;705;SL.99/100;CIDADE ALTA;ARARANGUÁ;88901-004;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
ARCOPLEXCINEMAS-CRICIUMA I;5003814;17.040.988/0005-49;FECHADO;27/05/2022;01/01/2013;193;;;;NÃO;NÃO;NÃO;ARCOPLEXCINEMAS-CRICIUMA;24045;FECHADO;27/05/2022;www.arcoplexcinemas.com.br;AVENIDA GABRIEL ZANETTE;1455;;PROSPERA;CRICIÚMA;88815-060;SC;NÃO;COMERCIAL;EMPRESA DE CINEMAS ARCOPLEX S.A;24035;17.040.988/0001-15;REGULAR;ARCOPLEX
