NOME_SALA;REGISTRO_SALA;CNPJ_SALA;SITUACAO_SALA;DATA_SITUACAO_SALA;DATA_INICIO_FUNCIONAMENTO_SALA;ASSENTOS_SALA;ASSENTOS_CADEIRANTES;ASSENTOS_MOBILIDADE_REDUZIDA;ASSENTOS_OBESIDADE;ACESSO_ASSENTOS_COM_RAMPA;ACESSO_SALA_COM_RAMPA;BANHEIROS_ACESSIVEIS;NOME_COMPLEXO;REGISTRO_COMPLEXO;SITUACAO_COMPLEXO;DATA_SITUACAO_COMPLEXO;PAGINA_ELETRONICA_COMPLEXO;ENDERECO_COMPLEXO;NUMERO_ENDERECO_COMPLEXO;COMPLEMENTO_COMPLEXO;BAIRRO_COMPLEXO;MUNICIPIO_COMPLEXO;CEP_COMPLEXO;UF_COMPLEXO;COMPLEXO_ITINERANTE;OPERACAO_USUAL;NOME_EXIBIDOR;REGISTRO_EXIBIDOR;CNPJ_EXIBIDOR;SITUACAO_EXIBIDOR;NOME_GRUPO_EXIBIDOR
PATIO UBERLANDIA 4;5003550;00.779.721/0055-34;EM FUNCIONAMENTO;27/11/2021;30/03/2012;246;5;3;3;SIM;NÃO;SIM;2101 CINEMARK SHOPPING UBERLÂNDIA;21561;EM FUNCIONAMENTO;27/11/2021;www.cinemark.com.br;AVENIDA PAULO GRACINDO;15;;MORADA DA COLINA;UBERLÂNDIA;38411-145;MG;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
PATIO UBERLANDIA 5;5003551;00.779.721/0055-34;EM FUNCIONAMENTO;27/11/2021;30/03/2012;299;6;3;3;SIM;NÃO;SIM;2101 CINEMARK SHOPPING UBERLÂNDIA;21561;EM FUNCIONAMENTO;27/11/2021;www.cinemark.com.br;AVENIDA PAULO GRACINDO;15;;MORADA DA COLINA;UBERLÂNDIA;38411-145;MG;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK WEST PLAZA SALA 01;5005798;00.779.721/0075-88;EM FUNCIONAMENTO;24/04/2021;15/06/2017;116;5;2;4;SIM;NÃO;SIM;2102 CINEMARK WEST PLAZA;36652;EM FUNCIONAMENTO;24/04/2021;;AVENIDA ANTARTICA;408;BLOCO B;AGUA BRANCA;SÃO PAULO;05003-020;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK WEST PLAZA SALA 02;5005799;00.779.721/0075-88;EM FUNCIONAMENTO;24/04/2021;15/06/2017;116;5;2;4;SIM;NÃO;SIM;2102 CINEMARK WEST PLAZA;36652;EM FUNCIONAMENTO;24/04/2021;;AVENIDA ANTARTICA;408;BLOCO B;AGUA BRANCA;SÃO PAULO;05003-020;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK WEST PLAZA SALA 03;5005800;00.779.721/0075-88;EM FUNCIONAMENTO;24/04/2021;15/06/2017;135;4;1;2;SIM;NÃO;SIM;2102 CINEMARK WEST PLAZA;36652;EM FUNCIONAMENTO;24/04/2021;;AVENIDA ANTARTICA;408;BLOCO B;AGUA BRANCA;SÃO PAULO;05003-020;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK WEST PLAZA SALA 04;5005801;00.779.721/0075-88;EM FUNCIONAMENTO;24/04/2021;15/06/2017;135;4;1;2;SIM;NÃO;SIM;2102 CINEMARK WEST PLAZA;36652;EM FUNCIONAMENTO;24/04/2021;;AVENIDA ANTARTICA;408;BLOCO B;AGUA BRANCA;SÃO PAULO;05003-020;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK WEST PLAZA SALA 05;5005802;00.779.721/0075-88;EM FUNCIONAMENTO;24/04/2021;15/06/2017;203;5;2;3;SIM;NÃO;SIM;2102 CINEMARK WEST PLAZA;36652;EM FUNCIONAMENTO;24/04/2021;;AVENIDA ANTARTICA;408;BLOCO B;AGUA BRANCA;SÃO PAULO;05003-020;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK WEST PLAZA SALA 06;5005803;00.779.721/0075-88;EM FUNCIONAMENTO;24/04/2021;15/06/2017;218;5;2;3;SIM;NÃO;SIM;2102 CINEMARK WEST PLAZA;36652;EM FUNCIONAMENTO;24/04/2021;;AVENIDA ANTARTICA;408;BLOCO B;AGUA BRANCA;SÃO PAULO;05003-020;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK WEST PLAZA SALA 07;5005804;00.779.721/0075-88;EM FUNCIONAMENTO;24/04/2021;15/06/2017;305;7;3;3;SIM;NÃO;SIM;2102 CINEMARK WEST PLAZA;36652;EM FUNCIONAMENTO;24/04/2021;;AVENIDA ANTARTICA;408;BLOCO B;AGUA BRANCA;SÃO PAULO;05003-020;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK MOOCA PLAZA SHOPPING 01;5003426;00.779.721/0053-72;EM FUNCIONAMENTO;24/04/2021;29/11/2011;369;6;4;4;SIM;NÃO;SIM;2103 CINEMARK MOOCA PLAZA SHOPPING;20598;EM FUNCIONAMENTO;24/04/2021;;RUA CAPITÃO PACHECO E CHAVES;313;LJ 2026 - PAV 2;VILA PRUDENTE;SÃO PAULO;03126-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK MOOCA PLAZA SHOPPING 02;5003427;00.779.721/0053-72;EM FUNCIONAMENTO;24/04/2021;29/11/2011;162;3;1;2;SIM;NÃO;SIM;2103 CINEMARK MOOCA PLAZA SHOPPING;20598;EM FUNCIONAMENTO;24/04/2021;;RUA CAPITÃO PACHECO E CHAVES;313;LJ 2026 - PAV 2;VILA PRUDENTE;SÃO PAULO;03126-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK MOOCA PLAZA SHOPPING 03;5003428;00.779.721/0053-72;EM FUNCIONAMENTO;24/04/2021;29/11/2011;258;5;3;3;SIM;NÃO;SIM;2103 CINEMARK MOOCA PLAZA SHOPPING;20598;EM FUNCIONAMENTO;24/04/2021;;RUA CAPITÃO PACHECO E CHAVES;313;LJ 2026 - PAV 2;VILA PRUDENTE;SÃO PAULO;03126-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK MOOCA PLAZA SHOPPING 04;5003429;00.779.721/0053-72;EM FUNCIONAMENTO;24/04/2021;29/11/2011;176;4;1;2;SIM;NÃO;SIM;2103 CINEMARK MOOCA PLAZA SHOPPING;20598;EM FUNCIONAMENTO;24/04/2021;;RUA CAPITÃO PACHECO E CHAVES;313;LJ 2026 - PAV 2;VILA PRUDENTE;SÃO PAULO;03126-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK MOOCA PLAZA SHOPPING 05;5003430;00.779.721/0053-72;EM FUNCIONAMENTO;24/04/2021;29/11/2011;176;4;1;2;SIM;NÃO;SIM;2103 CINEMARK MOOCA PLAZA SHOPPING;20598;EM FUNCIONAMENTO;24/04/2021;;RUA CAPITÃO PACHECO E CHAVES;313;LJ 2026 - PAV 2;VILA PRUDENTE;SÃO PAULO;03126-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
CINEMARK MOOCA PLAZA SHOPPING 06;5003431;00.779.721/0053-72;EM FUNCIONAMENTO;24/04/2021;29/11/2011;176;4;1;2;SIM;NÃO;SIM;2103 CINEMARK MOOCA PLAZA SHOPPING;20598;EM FUNCIONAMENTO;24/04/2021;;RUA CAPITÃO PACHECO E CHAVES;313;LJ 2026 - PAV 2;VILA PRUDENTE;SÃO PAULO;03126-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA 01;5004261;00.779.721/0060-00;EM FUNCIONAMENTO;06/08/2021;22/06/2013;205;4;;;SIM;NÃO;SIM;2104 CINEMARK BOULEVARD LONDRINA;24767;EM FUNCIONAMENTO;06/08/2021;;AV. THEODORO VICTORELLI;150;;INTERLAGOS;LONDRINA;86027-750;PR;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA 02;5004262;00.779.721/0060-00;EM FUNCIONAMENTO;06/08/2021;22/06/2013;192;4;;;SIM;NÃO;SIM;2104 CINEMARK BOULEVARD LONDRINA;24767;EM FUNCIONAMENTO;06/08/2021;;AV. THEODORO VICTORELLI;150;;INTERLAGOS;LONDRINA;86027-750;PR;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA 04;5004264;00.779.721/0060-00;EM FUNCIONAMENTO;06/08/2021;22/06/2013;268;4;;;SIM;NÃO;SIM;2104 CINEMARK BOULEVARD LONDRINA;24767;EM FUNCIONAMENTO;06/08/2021;;AV. THEODORO VICTORELLI;150;;INTERLAGOS;LONDRINA;86027-750;PR;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA 05;5004265;00.779.721/0060-00;EM FUNCIONAMENTO;06/08/2021;22/06/2013;233;4;;;SIM;NÃO;SIM;2104 CINEMARK BOULEVARD LONDRINA;24767;EM FUNCIONAMENTO;06/08/2021;;AV. THEODORO VICTORELLI;150;;INTERLAGOS;LONDRINA;86027-750;PR;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA 06;5004266;00.779.721/0060-00;EM FUNCIONAMENTO;06/08/2021;22/06/2013;173;4;;;SIM;NÃO;SIM;2104 CINEMARK BOULEVARD LONDRINA;24767;EM FUNCIONAMENTO;06/08/2021;;AV. THEODORO VICTORELLI;150;;INTERLAGOS;LONDRINA;86027-750;PR;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA 07;5004267;00.779.721/0060-00;EM FUNCIONAMENTO;06/08/2021;22/06/2013;439;4;;;SIM;NÃO;SIM;2104 CINEMARK BOULEVARD LONDRINA;24767;EM FUNCIONAMENTO;06/08/2021;;AV. THEODORO VICTORELLI;150;;INTERLAGOS;LONDRINA;86027-750;PR;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA 3;5004263;00.779.721/0060-00;EM FUNCIONAMENTO;06/08/2021;22/06/2013;325;4;;;SIM;NÃO;SIM;2104 CINEMARK BOULEVARD LONDRINA;24767;EM FUNCIONAMENTO;06/08/2021;;AV. THEODORO VICTORELLI;150;;INTERLAGOS;LONDRINA;86027-750;PR;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA VILA VALE TAUBATE 01;5004255;00.779.721/0062-63;EM FUNCIONAMENTO;07/06/2021;15/03/2013;386;4;;;SIM;NÃO;SIM;2105 CINEMARK VIA VALE TAUBATÉ;24766;EM FUNCIONAMENTO;07/06/2021;;AV. DOM PEDRO I;7181;;JARDIM BARONESA;TAUBATÉ;12091-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA VILA VALE TAUBATE 02;5004256;00.779.721/0062-63;EM FUNCIONAMENTO;07/06/2021;15/03/2013;192;4;;;SIM;NÃO;SIM;2105 CINEMARK VIA VALE TAUBATÉ;24766;EM FUNCIONAMENTO;07/06/2021;;AV. DOM PEDRO I;7181;;JARDIM BARONESA;TAUBATÉ;12091-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA VILA VALE TAUBATE 03;5004257;00.779.721/0062-63;EM FUNCIONAMENTO;07/06/2021;15/03/2013;192;4;;;SIM;NÃO;SIM;2105 CINEMARK VIA VALE TAUBATÉ;24766;EM FUNCIONAMENTO;07/06/2021;;AV. DOM PEDRO I;7181;;JARDIM BARONESA;TAUBATÉ;12091-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
SALA VILA VALE TAUBATE 04;5004258;00.779.721/0062-63;EM FUNCIONAMENTO;07/06/2021;15/03/2013;177;4;;;SIM;NÃO;SIM;2105 CINEMARK VIA VALE TAUBATÉ;24766;EM FUNCIONAMENTO;07/06/2021;;AV. DOM PEDRO I;7181;;JARDIM BARONESA;TAUBATÉ;12091-000;SP;NÃO;COMERCIAL;CINEMARK BRASIL S.A;1843;00.779.721/0001-41;REGULAR;CINEMARK
