NOME_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,SITUACAO_EXIBIDOR
CINEMARK WEST PLAZA SALA 02,EM FUNCIONAMENTO,24/04/2021,116.0,5.0,2.0,4.0,SIM,NÃO,SIM,SÃO PAULO,05003-020,SP,REGULAR
CINEMARK WEST PLAZA SALA 03,EM FUNCIONAMENTO,24/04/2021,135.0,4.0,1.0,2.0,SIM,NÃO,SIM,SÃO PAULO,05003-020,SP,REGULAR
CINEMARK WEST PLAZA SALA 04,EM FUNCIONAMENTO,24/04/2021,135.0,4.0,1.0,2.0,SIM,NÃO,SIM,SÃO PAULO,05003-020,SP,REGULAR
CINEMARK WEST PLAZA SALA 05,EM FUNCIONAMENTO,24/04/2021,203.0,5.0,2.0,3.0,SIM,NÃO,SIM,SÃO PAULO,05003-020,SP,REGULAR
CINEMARK WEST PLAZA SALA 06,EM FUNCIONAMENTO,24/04/2021,218.0,5.0,2.0,3.0,SIM,NÃO,SIM,SÃO PAULO,05003-020,SP,REGULAR
CINEMARK WEST PLAZA SALA 07,EM FUNCIONAMENTO,24/04/2021,305.0,7.0,3.0,3.0,SIM,NÃO,SIM,SÃO PAULO,05003-020,SP,REGULAR
CINEMARK MOOCA PLAZA SHOPPING 01,EM FUNCIONAMENTO,24/04/2021,369.0,6.0,4.0,4.0,SIM,NÃO,SIM,SÃO PAULO,03126-000,SP,REGULAR
CINEMARK MOOCA PLAZA SHOPPING 02,EM FUNCIONAMENTO,24/04/2021,162.0,3.0,1.0,2.0,SIM,NÃO,SIM,SÃO PAULO,03126-000,SP,REGULAR
CINEMARK MOOCA PLAZA SHOPPING 03,EM FUNCIONAMENTO,24/04/2021,258.0,5.0,3.0,3.0,SIM,NÃO,SIM,SÃO PAULO,03126-000,SP,REGULAR
CINEMARK MOOCA PLAZA SHOPPING 04,EM FUNCIONAMENTO,24/04/2021,176.0,4.0,1.0,2.0,SIM,NÃO,SIM,SÃO PAULO,03126-000,SP,REGULAR
