NOME_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,SITUACAO_EXIBIDOR
AFA CINE UNIMED 01,EM FUNCIONAMENTO,03/10/2022,178.0,4.0,0.0,0.0,SIM,NÃO,NÃO,CACHOEIRO DE ITAPEMIRIM,29303-384,ES,REGULAR
AFA CINE UNIMED 02,EM FUNCIONAMENTO,16/09/2023,299.0,6.0,0.0,0.0,SIM,NÃO,SIM,CACHOEIRO DE ITAPEMIRIM,29303-384,ES,REGULAR
AFA CINE UNIMED 03,EM FUNCIONAMENTO,05/07/2024,275.0,6.0,0.0,0.0,SIM,NÃO,SIM,CACHOEIRO DE ITAPEMIRIM,29303-384,ES,REGULAR
AFA CINE UNIMED 04,EM FUNCIONAMENTO,21/06/2021,142.0,3.0,0.0,0.0,SIM,NÃO,SIM,CACHOEIRO DE ITAPEMIRIM,29303-384,ES,REGULAR
ALQUIMIA CULTURAL - SALA 01,EM FUNCIONAMENTO,17/12/2021,77.0,2.0,1.0,2.0,NÃO,NÃO,SIM,ARACAJU,49020-460,SE,REGULAR
CENTER IGUATEMI I,EM FUNCIONAMENTO,29/04/2021,150.0,4.0,0.0,2.0,SIM,NÃO,SIM,SÃO CARLOS,13560-970,SP,REGULAR
CENTER IGUATEMI II,EM FUNCIONAMENTO,29/04/2021,84.0,2.0,0.0,2.0,SIM,NÃO,SIM,SÃO CARLOS,13560-970,SP,REGULAR
CENTER IGUATEMI III,EM FUNCIONAMENTO,29/04/2021,150.0,4.0,0.0,2.0,SIM,NÃO,SIM,SÃO CARLOS,13560-970,SP,REGULAR
CINE PALADIUM I,EM FUNCIONAMENTO,12/05/2024,369.0,2.0,0.0,0.0,NÃO,NÃO,SIM,PONTA GROSSA,84035-000,PR,REGULAR
CINE PALADIUM II,EM FUNCIONAMENTO,21/05/2024,288.0,2.0,0.0,0.0,NÃO,NÃO,SIM,PONTA GROSSA,84035-000,PR,REGULAR
CINE PALADIUM III,EM FUNCIONAMENTO,30/05/2024,277.0,2.0,0.0,0.0,NÃO,NÃO,SIM,PONTA GROSSA,84035-000,PR,REGULAR
CINE PALADIUM IV,EM FUNCIONAMENTO,15/06/2024,378.0,2.0,0.0,0.0,NÃO,NÃO,SIM,PONTA GROSSA,84035-000,PR,REGULAR
CAMPINAS 1,EM FUNCIONAMENTO,29/04/2021,384.0,8.0,0.0,6.0,NÃO,NÃO,SIM,CAMPINAS,13060-803,SP,REGULAR
CAMPINAS 2,EM FUNCIONAMENTO,29/04/2021,387.0,8.0,0.0,6.0,NÃO,NÃO,SIM,CAMPINAS,13060-803,SP,REGULAR
CAMPINAS 3,EM FUNCIONAMENTO,29/04/2021,126.0,3.0,0.0,0.0,NÃO,NÃO,SIM,CAMPINAS,13060-803,SP,REGULAR
CAMPINAS 4,EM FUNCIONAMENTO,29/04/2021,208.0,5.0,0.0,6.0,NÃO,NÃO,SIM,CAMPINAS,13060-803,SP,REGULAR
CAMPINAS 5,EM FUNCIONAMENTO,31/03/2022,211.0,5.0,0.0,6.0,NÃO,NÃO,SIM,CAMPINAS,13060-803,SP,REGULAR
CAMPINAS 6,EM FUNCIONAMENTO,29/04/2021,140.0,3.0,0.0,4.0,NÃO,NÃO,SIM,CAMPINAS,13060-803,SP,REGULAR
MULTIPLEX RIO PRETO I,EM FUNCIONAMENTO,29/04/2021,285.0,6.0,0.0,0.0,SIM,NÃO,SIM,SÃO JOSÉ DO RIO PRETO,15090-305,SP,REGULAR
MULTIPLEX RIO PRETO II,EM FUNCIONAMENTO,31/03/2022,242.0,5.0,0.0,0.0,SIM,NÃO,SIM,SÃO JOSÉ DO RIO PRETO,15090-305,SP,REGULAR
MULTIPLEX RIO PRETO III,EM FUNCIONAMENTO,29/04/2021,221.0,5.0,0.0,0.0,SIM,NÃO,SIM,SÃO JOSÉ DO RIO PRETO,15090-305,SP,REGULAR
MULTIPLEX RIO PRETO IV,EM FUNCIONAMENTO,29/04/2021,220.0,5.0,0.0,0.0,SIM,NÃO,SIM,SÃO JOSÉ DO RIO PRETO,15090-305,SP,REGULAR
MULTIPLEX RIO PRETO V,EM FUNCIONAMENTO,29/04/2021,163.0,4.0,0.0,0.0,SIM,NÃO,SIM,SÃO JOSÉ DO RIO PRETO,15090-305,SP,REGULAR
MULTIPLEX SERRA 02,EM FUNCIONAMENTO,24/03/2022,164.0,4.0,0.0,1.0,SIM,NÃO,SIM,SERRA,29160-161,ES,REGULAR
MULTIPLEX SERRA 03,EM FUNCIONAMENTO,17/03/2022,306.0,8.0,0.0,1.0,SIM,NÃO,SIM,SERRA,29160-161,ES,REGULAR
MULTIPLEX SERRA 04,EM FUNCIONAMENTO,10/06/2021,306.0,8.0,0.0,1.0,SIM,NÃO,SIM,SERRA,29160-161,ES,REGULAR
MULTIPLEX SERRA 05,EM FUNCIONAMENTO,10/06/2021,244.0,6.0,0.0,1.0,SIM,NÃO,SIM,SERRA,29160-161,ES,REGULAR
CINE PIRACICABA SHOPPING I,EM FUNCIONAMENTO,21/12/2023,226.0,6.0,0.0,0.0,SIM,NÃO,SIM,PIRACICABA,13414-018,SP,REGULAR
CINE PIRACICABA SHOPPING II,EM FUNCIONAMENTO,21/12/2023,227.0,6.0,0.0,0.0,SIM,NÃO,SIM,PIRACICABA,13414-018,SP,REGULAR
CINE PIRACICABA SHOPPING III,EM FUNCIONAMENTO,28/12/2023,275.0,6.0,0.0,0.0,SIM,NÃO,SIM,PIRACICABA,13414-018,SP,REGULAR
CINE PIRACICABA SHOPPING IV,EM FUNCIONAMENTO,21/12/2023,275.0,6.0,0.0,0.0,SIM,NÃO,SIM,PIRACICABA,13414-018,SP,REGULAR
CINE PIRACICABA SHOPPING V,EM FUNCIONAMENTO,07/12/2023,98.0,2.0,0.0,0.0,SIM,NÃO,SIM,PIRACICABA,13414-018,SP,REGULAR
CINE PIRACICABA SHOPPING VI,EM FUNCIONAMENTO,29/04/2021,88.0,3.0,0.0,2.0,SIM,NÃO,SIM,PIRACICABA,13414-018,SP,REGULAR
CINE PIRACICABA SHOPPING VII,EM FUNCIONAMENTO,29/04/2021,383.0,8.0,0.0,4.0,SIM,NÃO,SIM,PIRACICABA,13414-018,SP,REGULAR
DOURADOS AVENIDA CENTER I,EM FUNCIONAMENTO,15/06/2021,300.0,3.0,0.0,1.0,SIM,NÃO,SIM,DOURADOS,79830-903,MS,REGULAR
DOURADOS AVENIDA CENTER II,EM FUNCIONAMENTO,15/06/2021,234.0,5.0,0.0,1.0,SIM,NÃO,SIM,DOURADOS,79830-903,MS,REGULAR
DOURADOS AVENIDA CENTER III,EM FUNCIONAMENTO,15/06/2021,234.0,5.0,0.0,1.0,SIM,NÃO,SIM,DOURADOS,79830-903,MS,REGULAR
ARAÚJO MULTIPLEX VIA VERDE 01,EM FUNCIONAMENTO,13/05/2021,199.0,3.0,0.0,0.0,NÃO,NÃO,SIM,RIO BRANCO,69914-220,AC,REGULAR
ARAÚJO MULTIPLEX VIA VERDE 02,EM FUNCIONAMENTO,31/03/2022,298.0,6.0,0.0,0.0,NÃO,NÃO,SIM,RIO BRANCO,69914-220,AC,REGULAR
ARAÚJO MULTIPLEX VIA VERDE 03,EM FUNCIONAMENTO,13/05/2021,200.0,3.0,0.0,0.0,NÃO,NÃO,SIM,RIO BRANCO,69914-220,AC,REGULAR
ARAÚJO MULTIPLEX VIA VERDE 04,EM FUNCIONAMENTO,13/05/2021,295.0,6.0,0.0,0.0,NÃO,NÃO,SIM,RIO BRANCO,69914-220,AC,REGULAR
ARAÚJO MULTIPLEX VIA VERDE 05,EM FUNCIONAMENTO,21/05/2021,103.0,3.0,0.0,2.0,NÃO,NÃO,SIM,RIO BRANCO,69914-220,AC,REGULAR
ARAÚJO MULTIPLEX VIA VERDE 06,EM FUNCIONAMENTO,21/05/2021,103.0,3.0,0.0,2.0,NÃO,NÃO,SIM,RIO BRANCO,69914-220,AC,REGULAR
ARCOPLEXCINEMAS - BELLA CITTÁ I 3D,EM FUNCIONAMENTO,11/11/2021,300.0,,,,NÃO,NÃO,NÃO,PASSO FUNDO,99010-050,RS,REGULAR
ARCOPLEXCINEMAS BELLA CITTÁ II,EM FUNCIONAMENTO,11/11/2021,300.0,,,,NÃO,NÃO,NÃO,PASSO FUNDO,99010-050,RS,REGULAR
ARCOPLEXCINEMAS LIMEIRA I,EM FUNCIONAMENTO,11/11/2021,425.0,5.0,4.0,4.0,SIM,NÃO,SIM,LIMEIRA,13480-013,SP,REGULAR
ARCOPLEXCINEMAS LIMEIRA II,EM FUNCIONAMENTO,11/11/2021,183.0,3.0,3.0,2.0,SIM,NÃO,SIM,LIMEIRA,13480-013,SP,REGULAR
ARCOPLEXCINEMAS LIMEIRA III,EM FUNCIONAMENTO,11/11/2021,136.0,3.0,3.0,2.0,SIM,NÃO,SIM,LIMEIRA,13480-013,SP,REGULAR
ARCOPLEXCINEMAS LIMEIRA IV,EM FUNCIONAMENTO,11/11/2021,150.0,3.0,2.0,2.0,SIM,NÃO,SIM,LIMEIRA,13480-013,SP,REGULAR
ARCOPLEXCINEMAS LIMEIRA V,EM FUNCIONAMENTO,11/11/2021,183.0,3.0,,2.0,SIM,NÃO,SIM,LIMEIRA,13480-013,SP,REGULAR
ARCOPLEXCINEMAS AGUAS CLARAS I - 3D,EM FUNCIONAMENTO,11/11/2021,226.0,,,,NÃO,NÃO,NÃO,BRASÍLIA,71936-250,DF,REGULAR
ARCOPLEXCINEMAS AGUAS CLARAS II,EM FUNCIONAMENTO,11/11/2021,166.0,,,,NÃO,NÃO,NÃO,BRASÍLIA,71936-250,DF,REGULAR
ARCOPLEXCINEMAS AGUAS CLARAS III,EM FUNCIONAMENTO,11/11/2021,166.0,,,,NÃO,NÃO,NÃO,BRASÍLIA,71936-250,DF,REGULAR
ARCOPLEXCINEMAS AGUAS CLARAS IV,EM FUNCIONAMENTO,11/11/2021,173.0,,,,NÃO,NÃO,NÃO,BRASÍLIA,71936-250,DF,REGULAR
ARCOPLEXCINEMAS - CACHOEIRINHA I,EM FUNCIONAMENTO,11/11/2021,190.0,,,,NÃO,NÃO,NÃO,CACHOEIRINHA,94950-001,RS,REGULAR
ARCOPLEXCINEMAS - CACHOEIRINHA II,EM FUNCIONAMENTO,11/11/2021,190.0,,,,NÃO,NÃO,NÃO,CACHOEIRINHA,94950-001,RS,REGULAR
ARCOPLEXCINEMAS- CACHOERINHA III 3D,EM FUNCIONAMENTO,11/11/2021,285.0,,,,NÃO,NÃO,NÃO,CACHOEIRINHA,94950-001,RS,REGULAR
ARCOPLEXCINEMAS-CACHOEIRINHA IV,EM FUNCIONAMENTO,11/11/2021,269.0,4.0,4.0,4.0,SIM,NÃO,SIM,CACHOEIRINHA,94950-001,RS,REGULAR
ARCOPLEXCINEMAS GRAVATAÍ SALA 01,EM FUNCIONAMENTO,11/11/2021,234.0,5.0,4.0,4.0,SIM,NÃO,SIM,GRAVATAÍ,94035-240,RS,REGULAR
ARCOPLEXCINEMAS GRAVATAÍ SALA 02,EM FUNCIONAMENTO,11/11/2021,178.0,5.0,4.0,5.0,SIM,NÃO,SIM,GRAVATAÍ,94035-240,RS,REGULAR
ARCOPLEXCINEMAS GRAVATAÍ SALA 03,EM FUNCIONAMENTO,11/11/2021,132.0,5.0,4.0,5.0,SIM,NÃO,SIM,GRAVATAÍ,94035-240,RS,REGULAR
ARCOPLEXCINEMAS GRAVATAÍ SALA 04,EM FUNCIONAMENTO,11/11/2021,100.0,5.0,4.0,5.0,SIM,NÃO,SIM,GRAVATAÍ,94035-240,RS,REGULAR
ARCOPLEXCINEMAS GRAVATAÍ SALA 05,EM FUNCIONAMENTO,11/11/2021,131.0,5.0,4.0,5.0,SIM,NÃO,SIM,GRAVATAÍ,94035-240,RS,REGULAR
ARCOPLEXCINEMAS- ITAJAÍ I,EM FUNCIONAMENTO,11/11/2021,192.0,4.0,,2.0,SIM,NÃO,SIM,ITAJAÍ,88301-320,SC,REGULAR
ARCOPLEXCINEMAS-ITAJAÍ II,EM FUNCIONAMENTO,11/11/2021,163.0,4.0,,2.0,SIM,NÃO,SIM,ITAJAÍ,88301-320,SC,REGULAR
ARCOPLEXCINEMAS-ITAJAÍ III,EM FUNCIONAMENTO,11/11/2021,138.0,4.0,,2.0,SIM,NÃO,SIM,ITAJAÍ,88301-320,SC,REGULAR
ARCOPLEXCINEMAS-ITAJAÍ IV,EM FUNCIONAMENTO,11/11/2021,143.0,4.0,,2.0,SIM,NÃO,SIM,ITAJAÍ,88301-320,SC,REGULAR
ARCOPLEXCINEMAS- JARAGUA DO SUL I,EM FUNCIONAMENTO,11/11/2021,195.0,3.0,,2.0,SIM,NÃO,SIM,JARAGUÁ DO SUL,89251-000,SC,REGULAR
ARCOPLEXCINEMAS-JARAGUA DO SUL II,EM FUNCIONAMENTO,11/11/2021,207.0,2.0,,2.0,SIM,NÃO,SIM,JARAGUÁ DO SUL,89251-000,SC,REGULAR
ARCOPLEXCINEMAS-JARAGUA DO SUL III,EM FUNCIONAMENTO,11/11/2021,189.0,2.0,,2.0,SIM,NÃO,SIM,JARAGUÁ DO SUL,89251-000,SC,REGULAR
ARCOPLEXCINEMAS-JARAGUA DO SUL IV,EM FUNCIONAMENTO,11/11/2021,180.0,2.0,,2.0,SIM,NÃO,SIM,JARAGUÁ DO SUL,89251-000,SC,REGULAR
ARCOPLEXCINEMAS-JARAGUA DO SUL V,EM FUNCIONAMENTO,11/11/2021,160.0,2.0,2.0,2.0,SIM,NÃO,SIM,JARAGUÁ DO SUL,89251-000,SC,REGULAR
ARCOPLEXCINEMAS LAJEADO I- 3D,EM FUNCIONAMENTO,11/11/2021,162.0,1.0,,1.0,SIM,NÃO,SIM,LAJEADO,95900-000,RS,REGULAR
ARCOPLEXCINEMAS LAJEADO II,EM FUNCIONAMENTO,11/11/2021,170.0,1.0,,1.0,SIM,NÃO,SIM,LAJEADO,95900-000,RS,REGULAR
ARCOPLEXCINEMAS LAJEADO III,EM FUNCIONAMENTO,11/11/2021,170.0,1.0,,1.0,SIM,NÃO,SIM,LAJEADO,95900-000,RS,REGULAR
ARCOPLEXCINEMAS LAJEADO IV,EM FUNCIONAMENTO,11/11/2021,170.0,1.0,,1.0,SIM,NÃO,SIM,LAJEADO,95900-000,RS,REGULAR
ARCOPLEXCINEMAS- PARK EUROPEU I,EM FUNCIONAMENTO,11/11/2021,361.0,,,,NÃO,NÃO,NÃO,BLUMENAU,89052-381,SC,REGULAR
ARCOPLEXCINEMAS- PARK EUROPEU II,EM FUNCIONAMENTO,11/11/2021,262.0,,,,NÃO,NÃO,NÃO,BLUMENAU,89052-381,SC,REGULAR
ARCOPLEXCINEMAS- PARK EUROPEU III,EM FUNCIONAMENTO,11/11/2021,188.0,,,,NÃO,NÃO,NÃO,BLUMENAU,89052-381,SC,REGULAR
ARCOPLEXCINEMAS- PARK EUROPEU IV,EM FUNCIONAMENTO,11/11/2021,201.0,,,,NÃO,NÃO,NÃO,BLUMENAU,89052-381,SC,REGULAR
ARCOPLEXCINEMAS- PARK EUROPEU V,EM FUNCIONAMENTO,11/11/2021,222.0,,,,NÃO,NÃO,NÃO,BLUMENAU,89052-381,SC,REGULAR
ARCOPLEXCINEMAS- SANTA MARIA I,EM FUNCIONAMENTO,11/11/2021,158.0,,,,NÃO,NÃO,NÃO,SANTA MARIA,97050-531,RS,REGULAR
ARCOPLEXCINEMAS- SANTA MARIA II,EM FUNCIONAMENTO,11/11/2021,164.0,,,,NÃO,NÃO,NÃO,SANTA MARIA,97050-531,RS,REGULAR
ARCOPLEXCINEMAS- SANTA MARIA III,EM FUNCIONAMENTO,11/11/2021,176.0,,,,NÃO,NÃO,NÃO,SANTA MARIA,97050-531,RS,REGULAR
ARCOPLEXCINEMAS- SANTA MARIA IV,EM FUNCIONAMENTO,11/11/2021,264.0,,,,NÃO,NÃO,NÃO,SANTA MARIA,97050-531,RS,REGULAR
ARCOPLEXCINEMAS- VIA CATARINA I,EM FUNCIONAMENTO,11/11/2021,234.0,,,,NÃO,NÃO,NÃO,PALHOÇA,88132-149,SC,REGULAR
ARCOPLEXCINEMAS- VIA CATARINA II,EM FUNCIONAMENTO,11/11/2021,234.0,,,,NÃO,NÃO,NÃO,PALHOÇA,88132-149,SC,REGULAR
ARCOPLEXCINEMAS- VIA CATARINA III,EM FUNCIONAMENTO,11/11/2021,311.0,,,,NÃO,NÃO,NÃO,PALHOÇA,88132-149,SC,REGULAR
ARCOPLEXCINEMAS- VIA CATARINA IV,EM FUNCIONAMENTO,11/11/2021,190.0,,,,NÃO,NÃO,NÃO,PALHOÇA,88132-149,SC,REGULAR
ARCOPLEXCINEMAS-ARARANGUA SALA 01,EM FUNCIONAMENTO,11/11/2021,315.0,4.0,2.0,4.0,SIM,NÃO,SIM,ARARANGUÁ,88901-004,SC,REGULAR
ARCOPLEXCINEMAS-ARARANGUA SALA 02,EM FUNCIONAMENTO,11/11/2021,201.0,4.0,2.0,4.0,SIM,NÃO,SIM,ARARANGUÁ,88901-004,SC,REGULAR
ARCOS DIGITAL FILMES,EM FUNCIONAMENTO,10/09/2015,88.0,2.0,2.0,2.0,SIM,NÃO,SIM,RIO DE JANEIRO,20230-060,RJ,REGULAR
ARTECINE,EM FUNCIONAMENTO,10/07/2017,40.0,1.0,6.0,1.0,NÃO,NÃO,SIM,BALNEÁRIO CAMBORIÚ,88339-025,SC,REGULAR
CINE FAVELA,EM FUNCIONAMENTO,14/08/2004,110.0,,,,NÃO,NÃO,NÃO,SÃO PAULO,04235-020,SP,REGULAR
CINECLUB TAMBORIL,EM FUNCIONAMENTO,29/07/2019,100.0,5.0,10.0,10.0,SIM,SIM,NÃO,PIRAPORA,39272-106,MG,REGULAR
C.VALE 01,EM FUNCIONAMENTO,06/10/2022,240.0,2.0,2.0,2.0,SIM,NÃO,SIM,ASSIS CHATEAUBRIAND,85935-000,PR,REGULAR
C.VALE 02,EM FUNCIONAMENTO,06/10/2022,240.0,2.0,2.0,2.0,SIM,NÃO,SIM,ASSIS CHATEAUBRIAND,85935-000,PR,REGULAR
CENTER CINE,EM FUNCIONAMENTO,13/04/2021,108.0,2.0,,,NÃO,NÃO,SIM,OLIVEIRA,35540-000,MG,REGULAR
CENTERPLEX ARACAJU 01,EM FUNCIONAMENTO,19/06/2021,76.0,1.0,0.0,1.0,SIM,NÃO,SIM,ARACAJU,49065-450,SE,REGULAR
CENTERPLEX ARACAJU 02,EM FUNCIONAMENTO,04/01/2024,81.0,1.0,0.0,1.0,SIM,NÃO,SIM,ARACAJU,49065-450,SE,REGULAR
CENTERPLEX ARACAJU 03(MEGA),EM FUNCIONAMENTO,25/06/2021,374.0,6.0,0.0,4.0,SIM,NÃO,SIM,ARACAJU,49065-450,SE,REGULAR
CENTERPLEX ARACAJU 04,EM FUNCIONAMENTO,10/06/2021,201.0,4.0,0.0,4.0,SIM,NÃO,SIM,ARACAJU,49065-450,SE,REGULAR
CENTERPLEX ARACAJU 05,EM FUNCIONAMENTO,10/06/2021,128.0,2.0,0.0,2.0,SIM,NÃO,SIM,ARACAJU,49065-450,SE,REGULAR
CENTERPLEX ARACAJU 06,EM FUNCIONAMENTO,10/06/2021,135.0,4.0,0.0,4.0,SIM,NÃO,SIM,ARACAJU,49065-450,SE,REGULAR
CENTERPLEX ARACAJU 07,EM FUNCIONAMENTO,09/12/2023,92.0,2.0,0.0,2.0,NÃO,NÃO,NÃO,ARACAJU,49065-450,SE,REGULAR
CENTERPLEX CASCAVEL 1,EM FUNCIONAMENTO,15/01/2021,164.0,2.0,0.0,1.0,SIM,NÃO,SIM,CASCAVEL,62850-000,CE,REGULAR
CENTERPLEX CASCAVEL 2,EM FUNCIONAMENTO,15/01/2021,159.0,2.0,0.0,1.0,SIM,NÃO,SIM,CASCAVEL,62850-000,CE,REGULAR
CENTERPLEX GRANDE CIRCULAR 01,EM FUNCIONAMENTO,03/09/2020,174.0,4.0,0.0,2.0,SIM,NÃO,SIM,MANAUS,69085-000,AM,REGULAR
CENTERPLEX GRANDE CIRCULAR 02,EM FUNCIONAMENTO,03/09/2020,174.0,4.0,0.0,2.0,SIM,NÃO,SIM,MANAUS,69085-000,AM,REGULAR
CENTERPLEX GRANDE CIRCULAR 03,EM FUNCIONAMENTO,07/12/2023,56.0,1.0,0.0,0.0,SIM,NÃO,SIM,MANAUS,69085-000,AM,REGULAR
CENTERPLEX GRANDE CIRCULAR 04,EM FUNCIONAMENTO,10/09/2020,275.0,4.0,0.0,2.0,SIM,NÃO,SIM,MANAUS,69085-000,AM,REGULAR
CENTERPLEX GRANDE CIRCULAR 05,EM FUNCIONAMENTO,03/09/2020,165.0,4.0,0.0,2.0,SIM,NÃO,SIM,MANAUS,69085-000,AM,REGULAR
CENTERPLEX PÁTIO MACEIÓ 01,EM FUNCIONAMENTO,08/07/2021,245.0,7.0,15.0,15.0,SIM,NÃO,SIM,MACEIÓ,57083-410,AL,REGULAR
CENTERPLEX PÁTIO MACEIÓ 02,EM FUNCIONAMENTO,08/07/2021,173.0,6.0,4.0,8.0,SIM,NÃO,SIM,MACEIÓ,57083-410,AL,REGULAR
CENTERPLEX PÁTIO MACEIÓ 03,EM FUNCIONAMENTO,08/07/2021,203.0,9.0,5.0,12.0,SIM,NÃO,SIM,MACEIÓ,57083-410,AL,REGULAR
CENTERPLEX PÁTIO MACEIÓ 04,EM FUNCIONAMENTO,08/07/2021,292.0,9.0,15.0,25.0,SIM,NÃO,SIM,MACEIÓ,57083-410,AL,REGULAR
CENTERPLEX PÁTIO MACEIÓ 05,EM FUNCIONAMENTO,02/06/2022,225.0,87.0,7.0,6.0,NÃO,NÃO,SIM,MACEIÓ,57083-410,AL,REGULAR
CENTERPLEX GRAND SHOPPING MESSEJANA SALA 01,EM FUNCIONAMENTO,10/09/2020,185.0,4.0,0.0,2.0,SIM,NÃO,SIM,FORTALEZA,60840-285,CE,REGULAR
CENTERPLEX GRAND SHOPPING MESSEJANA SALA 02,EM FUNCIONAMENTO,10/09/2020,222.0,5.0,0.0,2.0,SIM,NÃO,SIM,FORTALEZA,60840-285,CE,REGULAR
CENTERPLEX GRAND SHOPPING MESSEJANA SALA 03,EM FUNCIONAMENTO,24/09/2020,136.0,4.0,0.0,2.0,SIM,NÃO,SIM,FORTALEZA,60840-285,CE,REGULAR
CENTERPLEX GRAND SHOPPING MESSEJANA SALA 04,EM FUNCIONAMENTO,10/09/2020,141.0,4.0,0.0,2.0,SIM,NÃO,SIM,FORTALEZA,60840-285,CE,REGULAR
CENTERPLEX GRAND SHOPPING MESSEJANA SALA 05,EM FUNCIONAMENTO,31/03/2022,185.0,4.0,0.0,2.0,SIM,NÃO,SIM,FORTALEZA,60840-285,CE,REGULAR
CENTERPLEX PÁTIO NORTE SHOPPING - SALA 1,EM FUNCIONAMENTO,01/07/2021,164.0,4.0,,25.0,SIM,NÃO,SIM,SÃO JOSÉ DE RIBAMAR,65110-000,MA,REGULAR
CENTERPLEX PÁTIO NORTE SHOPPING - SALA 2,EM FUNCIONAMENTO,02/01/2021,164.0,4.0,,25.0,SIM,NÃO,SIM,SÃO JOSÉ DE RIBAMAR,65110-000,MA,REGULAR
CENTERPLEX PÁTIO NORTE SHOPPING - SALA 3,EM FUNCIONAMENTO,02/01/2021,256.0,6.0,,30.0,SIM,NÃO,SIM,SÃO JOSÉ DE RIBAMAR,65110-000,MA,REGULAR
CENTERPLEX PÁTIO NORTE SHOPPING - SALA 4,EM FUNCIONAMENTO,10/03/2022,256.0,6.0,,30.0,SIM,NÃO,SIM,SÃO JOSÉ DE RIBAMAR,65110-000,MA,REGULAR
CENTERPLEX PÁTIO NORTE SHOPPING - SALA 5,EM FUNCIONAMENTO,02/01/2021,164.0,4.0,,25.0,SIM,NÃO,SIM,SÃO JOSÉ DE RIBAMAR,65110-000,MA,REGULAR
CENTERPLEX PÁTIO NORTE SHOPPING - SALA 6,EM FUNCIONAMENTO,02/01/2021,164.0,4.0,,25.0,SIM,NÃO,SIM,SÃO JOSÉ DE RIBAMAR,65110-000,MA,REGULAR
CENTERPLEX SUZANO 1,EM FUNCIONAMENTO,09/12/2021,211.0,9.0,6.0,11.0,SIM,NÃO,SIM,SUZANO,08673-020,SP,REGULAR
CENTERPLEX SUZANO 2,EM FUNCIONAMENTO,29/04/2021,212.0,8.0,6.0,12.0,SIM,NÃO,SIM,SUZANO,08673-020,SP,REGULAR
CENTERPLEX SUZANO 3,EM FUNCIONAMENTO,29/04/2021,208.0,11.0,7.0,12.0,SIM,NÃO,SIM,SUZANO,08673-020,SP,REGULAR
CENTERPLEX SUZANO 4,EM FUNCIONAMENTO,29/04/2021,174.0,6.0,7.0,9.0,SIM,NÃO,SIM,SUZANO,08673-020,SP,REGULAR
CENTERPLEX SUZANO 5,EM FUNCIONAMENTO,11/08/2021,174.0,4.0,4.0,4.0,SIM,NÃO,SIM,SUZANO,08673-020,SP,REGULAR
CENTERPLEX VIA SUL SHOPPING 1,EM FUNCIONAMENTO,10/09/2020,208.0,6.0,5.0,21.0,NÃO,SIM,SIM,FORTALEZA,60883-005,CE,REGULAR
CENTERPLEX VIA SUL SHOPPING 2,EM FUNCIONAMENTO,09/09/2021,208.0,4.0,5.0,21.0,SIM,SIM,SIM,FORTALEZA,60883-005,CE,REGULAR
CENTERPLEX VIA SUL SHOPPING 3,EM FUNCIONAMENTO,10/09/2020,312.0,8.0,8.0,15.0,NÃO,SIM,SIM,FORTALEZA,60883-005,CE,REGULAR
CENTERPLEX VIA SUL SHOPPING 4,EM FUNCIONAMENTO,15/10/2020,305.0,,,,NÃO,SIM,NÃO,FORTALEZA,60883-005,CE,REGULAR
CENTERPLEX VIA SUL SHOPPING 5,EM FUNCIONAMENTO,15/10/2020,220.0,5.0,10.0,10.0,NÃO,SIM,SIM,FORTALEZA,60883-005,CE,REGULAR
CENTERPLEX VIA SUL SHOPPING 6,EM FUNCIONAMENTO,06/04/2023,116.0,2.0,0.0,1.0,SIM,SIM,SIM,FORTALEZA,60883-005,CE,REGULAR
CINERITZ GUARAPARI 1,EM FUNCIONAMENTO,10/06/2021,118.0,4.0,1.0,1.0,NÃO,NÃO,SIM,GUARAPARI,29200-340,ES,REGULAR
CINERITZ GUARAPARI 2,EM FUNCIONAMENTO,17/06/2021,103.0,1.0,1.0,1.0,NÃO,NÃO,SIM,GUARAPARI,29200-340,ES,REGULAR
CINERITZ GUARAPARI 3,EM FUNCIONAMENTO,10/06/2021,257.0,4.0,1.0,1.0,NÃO,NÃO,SIM,GUARAPARI,29200-340,ES,REGULAR
SALA CINE ARTE PAJUÇARA 01,EM FUNCIONAMENTO,13/07/2021,163.0,4.0,4.0,2.0,SIM,NÃO,SIM,MACEIÓ,57030-170,AL,REGULAR
CINE TEATRO DA VILA,EM FUNCIONAMENTO,01/06/2022,245.0,5.0,5.0,3.0,NÃO,SIM,NÃO,CURITIBA,81305-600,PR,REGULAR
CENTRO CULTURAL JOÃO BRACKS,EM FUNCIONAMENTO,23/04/2021,300.0,5.0,5.0,1.0,SIM,NÃO,SIM,MANHUAÇU,36900-000,MG,REGULAR
CENTRO DA TERRA,EM FUNCIONAMENTO,04/06/2024,100.0,2.0,0.0,0.0,SIM,SIM,NÃO,SÃO PAULO,05017-040,SP,REGULAR
SALA 1 - LEON CAKOFF,EM FUNCIONAMENTO,26/08/2021,295.0,5.0,0.0,4.0,SIM,NÃO,SIM,SÃO PAULO,01301-100,SP,REGULAR
