DEPADM;DEPBOL;NOMEDEPBOL;CODRMET;CODMUN;MUN;SERIE_ANO;COD_PER;PERIODO;CO_COMP;DS_COMP;MEDPROF
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;165,3
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;2;TARDE;2;MATEMÁTICA;160,4
1;1;Rede Estadual;1;100;SAO PAULO;2º Ano EF;9;GERAL;2;MATEMÁTICA;162,2
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;213,2
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;2;TARDE;2;MATEMÁTICA;210,1
1;1;Rede Estadual;1;100;SAO PAULO;5º Ano EF;9;GERAL;2;MATEMÁTICA;212,1
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;243,6
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;2;TARDE;2;MATEMÁTICA;238,8
1;1;Rede Estadual;1;100;SAO PAULO;9º Ano EF;9;GERAL;2;MATEMÁTICA;242
1;1;Rede Estadual;5;150;ADAMANTINA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;255,8
1;1;Rede Estadual;5;150;ADAMANTINA;9º Ano EF;9;GERAL;2;MATEMÁTICA;255,8
1;1;Rede Estadual;5;152;AGUAI;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;164,4
1;1;Rede Estadual;5;152;AGUAI;2º Ano EF;9;GERAL;2;MATEMÁTICA;164,4
1;1;Rede Estadual;5;152;AGUAI;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;204,5
1;1;Rede Estadual;5;152;AGUAI;5º Ano EF;9;GERAL;2;MATEMÁTICA;204,5
1;1;Rede Estadual;5;152;AGUAI;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;241,4
1;1;Rede Estadual;5;152;AGUAI;9º Ano EF;2;TARDE;2;MATEMÁTICA;249,6
1;1;Rede Estadual;5;152;AGUAI;9º Ano EF;9;GERAL;2;MATEMÁTICA;243,2
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;2º Ano EF;2;TARDE;2;MATEMÁTICA;230
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;2º Ano EF;9;GERAL;2;MATEMÁTICA;230
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;5º Ano EF;2;TARDE;2;MATEMÁTICA;247,8
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;5º Ano EF;9;GERAL;2;MATEMÁTICA;247,8
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;268,4
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;9º Ano EF;9;GERAL;2;MATEMÁTICA;268,4
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;243,9
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;2;TARDE;2;MATEMÁTICA;257,2
1;1;Rede Estadual;5;154;AGUAS DA PRATA;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,2
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;237,8
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;2;TARDE;2;MATEMÁTICA;234,2
1;1;Rede Estadual;5;156;AGUDOS;9º Ano EF;9;GERAL;2;MATEMÁTICA;236,7
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;2º Ano EF;2;TARDE;2;MATEMÁTICA;165,6
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;2º Ano EF;9;GERAL;2;MATEMÁTICA;165,6
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;5º Ano EF;2;TARDE;2;MATEMÁTICA;203,9
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;5º Ano EF;9;GERAL;2;MATEMÁTICA;203,9
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;244,1
1;1;Rede Estadual;5;157;ALFREDO MARCONDES;9º Ano EF;9;GERAL;2;MATEMÁTICA;244,1
1;1;Rede Estadual;5;158;ALTAIR;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;256,7
1;1;Rede Estadual;5;158;ALTAIR;9º Ano EF;9;GERAL;2;MATEMÁTICA;256,7
1;1;Rede Estadual;6;159;ALTINOPOLIS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;240,5
1;1;Rede Estadual;6;159;ALTINOPOLIS;9º Ano EF;9;GERAL;2;MATEMÁTICA;240,5
1;1;Rede Estadual;5;160;ALTO ALEGRE;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;262,4
