DEPADM;DEPBOL;NOMEDEPBOL;CODRMET;CODMUN;MUN;SERIE_ANO;COD_PER;PERIODO;CO_COMP;DS_COMP;MEDPROF
1;1;Rede Estadual;5;160;ALTO ALEGRE;9º Ano EF;9;GERAL;2;MATEMÁTICA;262,4
1;1;Rede Estadual;5;161;ALVARES FLORENCE;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;268
1;1;Rede Estadual;5;161;ALVARES FLORENCE;9º Ano EF;9;GERAL;2;MATEMÁTICA;268
1;1;Rede Estadual;5;163;ALVARO DE CARVALHO;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;229,3
1;1;Rede Estadual;5;163;ALVARO DE CARVALHO;9º Ano EF;9;GERAL;2;MATEMÁTICA;229,3
1;1;Rede Estadual;5;164;ALVINLANDIA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;256,3
1;1;Rede Estadual;5;164;ALVINLANDIA;9º Ano EF;2;TARDE;2;MATEMÁTICA;250
1;1;Rede Estadual;5;164;ALVINLANDIA;9º Ano EF;9;GERAL;2;MATEMÁTICA;253,3
1;1;Rede Estadual;3;165;AMERICANA;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;165,8
1;1;Rede Estadual;3;165;AMERICANA;2º Ano EF;2;TARDE;2;MATEMÁTICA;163
1;1;Rede Estadual;3;165;AMERICANA;2º Ano EF;9;GERAL;2;MATEMÁTICA;165,2
1;1;Rede Estadual;3;165;AMERICANA;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;229,5
1;1;Rede Estadual;3;165;AMERICANA;5º Ano EF;2;TARDE;2;MATEMÁTICA;228,2
1;1;Rede Estadual;3;165;AMERICANA;5º Ano EF;9;GERAL;2;MATEMÁTICA;229,3
1;1;Rede Estadual;3;165;AMERICANA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;256,3
1;1;Rede Estadual;3;165;AMERICANA;9º Ano EF;2;TARDE;2;MATEMÁTICA;254,7
1;1;Rede Estadual;3;165;AMERICANA;9º Ano EF;9;GERAL;2;MATEMÁTICA;256,1
1;1;Rede Estadual;5;166;AMERICO BRASILIENSE;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;237
1;1;Rede Estadual;5;166;AMERICO BRASILIENSE;9º Ano EF;2;TARDE;2;MATEMÁTICA;231,7
1;1;Rede Estadual;5;166;AMERICO BRASILIENSE;9º Ano EF;9;GERAL;2;MATEMÁTICA;233,8
1;1;Rede Estadual;5;167;AMERICO DE CAMPOS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;249,4
1;1;Rede Estadual;5;167;AMERICO DE CAMPOS;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,4
1;1;Rede Estadual;5;168;AMPARO;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;190,7
1;1;Rede Estadual;5;168;AMPARO;2º Ano EF;2;TARDE;2;MATEMÁTICA;167,2
1;1;Rede Estadual;5;168;AMPARO;2º Ano EF;9;GERAL;2;MATEMÁTICA;177,5
1;1;Rede Estadual;5;168;AMPARO;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;242,8
1;1;Rede Estadual;5;168;AMPARO;5º Ano EF;2;TARDE;2;MATEMÁTICA;221,1
1;1;Rede Estadual;5;168;AMPARO;5º Ano EF;9;GERAL;2;MATEMÁTICA;233,6
1;1;Rede Estadual;5;168;AMPARO;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;251,5
1;1;Rede Estadual;5;168;AMPARO;9º Ano EF;2;TARDE;2;MATEMÁTICA;245,2
1;1;Rede Estadual;5;168;AMPARO;9º Ano EF;9;GERAL;2;MATEMÁTICA;251,1
1;1;Rede Estadual;5;170;ANDRADINA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;247,3
1;1;Rede Estadual;5;170;ANDRADINA;9º Ano EF;2;TARDE;2;MATEMÁTICA;226,2
1;1;Rede Estadual;5;170;ANDRADINA;9º Ano EF;9;GERAL;2;MATEMÁTICA;244,6
1;1;Rede Estadual;5;171;ANGATUBA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;257,1
1;1;Rede Estadual;5;171;ANGATUBA;9º Ano EF;9;GERAL;2;MATEMÁTICA;257,1
1;1;Rede Estadual;5;173;ANHUMAS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;237,3
1;1;Rede Estadual;5;173;ANHUMAS;9º Ano EF;9;GERAL;2;MATEMÁTICA;237,3
1;1;Rede Estadual;5;175;APARECIDA D'OESTE;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;263,1
1;1;Rede Estadual;5;175;APARECIDA D'OESTE;9º Ano EF;9;GERAL;2;MATEMÁTICA;263,1
1;1;Rede Estadual;5;176;APIAI;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;178,3
1;1;Rede Estadual;5;176;APIAI;2º Ano EF;2;TARDE;2;MATEMÁTICA;144,9
1;1;Rede Estadual;5;176;APIAI;2º Ano EF;9;GERAL;2;MATEMÁTICA;156,2
1;1;Rede Estadual;5;176;APIAI;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;203,1
1;1;Rede Estadual;5;176;APIAI;5º Ano EF;2;TARDE;2;MATEMÁTICA;203,4
1;1;Rede Estadual;5;176;APIAI;5º Ano EF;9;GERAL;2;MATEMÁTICA;203,3
1;1;Rede Estadual;5;176;APIAI;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;249,9
1;1;Rede Estadual;5;176;APIAI;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,9
1;1;Rede Estadual;5;177;ARACATUBA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;256,3
1;1;Rede Estadual;5;177;ARACATUBA;9º Ano EF;2;TARDE;2;MATEMÁTICA;234,7
1;1;Rede Estadual;5;177;ARACATUBA;9º Ano EF;9;GERAL;2;MATEMÁTICA;255,8
1;1;Rede Estadual;5;179;ARAMINA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;235,1
1;1;Rede Estadual;5;179;ARAMINA;9º Ano EF;2;TARDE;2;MATEMÁTICA;260,6
1;1;Rede Estadual;5;179;ARAMINA;9º Ano EF;9;GERAL;2;MATEMÁTICA;248,5
1;1;Rede Estadual;5;180;ARANDU;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;239,5
1;1;Rede Estadual;5;180;ARANDU;9º Ano EF;9;GERAL;2;MATEMÁTICA;239,5
1;1;Rede Estadual;5;181;ARARAQUARA;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;169,8
1;1;Rede Estadual;5;181;ARARAQUARA;2º Ano EF;2;TARDE;2;MATEMÁTICA;186,8
1;1;Rede Estadual;5;181;ARARAQUARA;2º Ano EF;9;GERAL;2;MATEMÁTICA;181,4
1;1;Rede Estadual;5;181;ARARAQUARA;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;230,1
1;1;Rede Estadual;5;181;ARARAQUARA;5º Ano EF;2;TARDE;2;MATEMÁTICA;218,3
1;1;Rede Estadual;5;181;ARARAQUARA;5º Ano EF;9;GERAL;2;MATEMÁTICA;228,1
1;1;Rede Estadual;5;181;ARARAQUARA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;247,5
1;1;Rede Estadual;5;181;ARARAQUARA;9º Ano EF;2;TARDE;2;MATEMÁTICA;257,2
1;1;Rede Estadual;5;181;ARARAQUARA;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,5
1;1;Rede Estadual;5;182;ARARAS;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;178,6
1;1;Rede Estadual;5;182;ARARAS;2º Ano EF;2;TARDE;2;MATEMÁTICA;175,1
1;1;Rede Estadual;5;182;ARARAS;2º Ano EF;9;GERAL;2;MATEMÁTICA;177
1;1;Rede Estadual;5;182;ARARAS;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;237,2
1;1;Rede Estadual;5;182;ARARAS;5º Ano EF;2;TARDE;2;MATEMÁTICA;241,8
1;1;Rede Estadual;5;182;ARARAS;5º Ano EF;9;GERAL;2;MATEMÁTICA;238,7
1;1;Rede Estadual;5;182;ARARAS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;260,2
1;1;Rede Estadual;5;182;ARARAS;9º Ano EF;2;TARDE;2;MATEMÁTICA;244,1
1;1;Rede Estadual;5;182;ARARAS;9º Ano EF;9;GERAL;2;MATEMÁTICA;256,3
1;1;Rede Estadual;5;183;AREALVA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;248,8
1;1;Rede Estadual;5;183;AREALVA;9º Ano EF;2;TARDE;2;MATEMÁTICA;221,5
1;1;Rede Estadual;5;183;AREALVA;9º Ano EF;9;GERAL;2;MATEMÁTICA;241,3
1;1;Rede Estadual;5;186;ARIRANHA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;263,2
1;1;Rede Estadual;5;186;ARIRANHA;9º Ano EF;9;GERAL;2;MATEMÁTICA;263,2
1;1;Rede Estadual;3;187;ARTUR NOGUEIRA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;249,5
1;1;Rede Estadual;3;187;ARTUR NOGUEIRA;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,5
1;1;Rede Estadual;1;188;ARUJA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;244,4
1;1;Rede Estadual;1;188;ARUJA;9º Ano EF;2;TARDE;2;MATEMÁTICA;244,5
1;1;Rede Estadual;1;188;ARUJA;9º Ano EF;9;GERAL;2;MATEMÁTICA;244,4
1;1;Rede Estadual;5;189;ASSIS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;252,7
1;1;Rede Estadual;5;189;ASSIS;9º Ano EF;2;TARDE;2;MATEMÁTICA;246,6
1;1;Rede Estadual;5;189;ASSIS;9º Ano EF;9;GERAL;2;MATEMÁTICA;252,2
1;1;Rede Estadual;5;190;ATIBAIA;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;184,8
1;1;Rede Estadual;5;190;ATIBAIA;2º Ano EF;9;GERAL;2;MATEMÁTICA;184,8
1;1;Rede Estadual;5;190;ATIBAIA;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;260,9
1;1;Rede Estadual;5;190;ATIBAIA;5º Ano EF;2;TARDE;2;MATEMÁTICA;201
1;1;Rede Estadual;5;190;ATIBAIA;5º Ano EF;9;GERAL;2;MATEMÁTICA;230,9
1;1;Rede Estadual;5;190;ATIBAIA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;249,9
1;1;Rede Estadual;5;190;ATIBAIA;9º Ano EF;2;TARDE;2;MATEMÁTICA;243,5
1;1;Rede Estadual;5;190;ATIBAIA;9º Ano EF;9;GERAL;2;MATEMÁTICA;248,1
1;1;Rede Estadual;5;191;AURIFLAMA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;269,1
1;1;Rede Estadual;5;191;AURIFLAMA;9º Ano EF;2;TARDE;2;MATEMÁTICA;246
1;1;Rede Estadual;5;191;AURIFLAMA;9º Ano EF;9;GERAL;2;MATEMÁTICA;263,7
1;1;Rede Estadual;5;192;AVAI;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;240,7
1;1;Rede Estadual;5;192;AVAI;9º Ano EF;9;GERAL;2;MATEMÁTICA;240,7
1;1;Rede Estadual;5;193;AVANHANDAVA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;227,8
1;1;Rede Estadual;5;193;AVANHANDAVA;9º Ano EF;9;GERAL;2;MATEMÁTICA;227,8
1;1;Rede Estadual;5;194;AVARE;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;243,1
1;1;Rede Estadual;5;194;AVARE;9º Ano EF;9;GERAL;2;MATEMÁTICA;243,1
1;1;Rede Estadual;5;195;BADY BASSITT;9º Ano EF;2;TARDE;2;MATEMÁTICA;262,1
1;1;Rede Estadual;5;195;BADY BASSITT;9º Ano EF;9;GERAL;2;MATEMÁTICA;262,1
1;1;Rede Estadual;5;196;BALBINOS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;235,4
1;1;Rede Estadual;5;196;BALBINOS;9º Ano EF;9;GERAL;2;MATEMÁTICA;235,4
1;1;Rede Estadual;5;197;BALSAMO;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;256,9
1;1;Rede Estadual;5;197;BALSAMO;9º Ano EF;2;TARDE;2;MATEMÁTICA;243,4
1;1;Rede Estadual;5;197;BALSAMO;9º Ano EF;9;GERAL;2;MATEMÁTICA;250,1
1;1;Rede Estadual;5;199;BARAO DE ANTONINA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;266,3
1;1;Rede Estadual;5;199;BARAO DE ANTONINA;9º Ano EF;2;TARDE;2;MATEMÁTICA;238,7
1;1;Rede Estadual;5;199;BARAO DE ANTONINA;9º Ano EF;9;GERAL;2;MATEMÁTICA;253,1
1;1;Rede Estadual;5;200;BARBOSA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;237,9
1;1;Rede Estadual;5;200;BARBOSA;9º Ano EF;9;GERAL;2;MATEMÁTICA;237,9
1;1;Rede Estadual;5;201;BARIRI;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;251
1;1;Rede Estadual;5;201;BARIRI;9º Ano EF;2;TARDE;2;MATEMÁTICA;246,3
1;1;Rede Estadual;5;201;BARIRI;9º Ano EF;9;GERAL;2;MATEMÁTICA;247,5
1;1;Rede Estadual;5;202;BARRA BONITA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;250
1;1;Rede Estadual;5;202;BARRA BONITA;9º Ano EF;9;GERAL;2;MATEMÁTICA;250
1;1;Rede Estadual;5;203;BARRA DO TURVO;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;249,8
1;1;Rede Estadual;5;203;BARRA DO TURVO;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,8
1;1;Rede Estadual;5;204;BARRETOS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;258,9
1;1;Rede Estadual;5;204;BARRETOS;9º Ano EF;2;TARDE;2;MATEMÁTICA;235,2
1;1;Rede Estadual;5;204;BARRETOS;9º Ano EF;9;GERAL;2;MATEMÁTICA;256,4
1;1;Rede Estadual;5;207;BASTOS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;255,2
1;1;Rede Estadual;5;207;BASTOS;9º Ano EF;9;GERAL;2;MATEMÁTICA;255,2
1;1;Rede Estadual;6;208;BATATAIS;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;191
1;1;Rede Estadual;6;208;BATATAIS;2º Ano EF;9;GERAL;2;MATEMÁTICA;191
1;1;Rede Estadual;6;208;BATATAIS;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;244,3
1;1;Rede Estadual;6;208;BATATAIS;5º Ano EF;9;GERAL;2;MATEMÁTICA;244,3
1;1;Rede Estadual;6;208;BATATAIS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;254,3
1;1;Rede Estadual;6;208;BATATAIS;9º Ano EF;2;TARDE;2;MATEMÁTICA;256,3
1;1;Rede Estadual;6;208;BATATAIS;9º Ano EF;9;GERAL;2;MATEMÁTICA;255,2
1;1;Rede Estadual;5;209;BAURU;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;169,2
1;1;Rede Estadual;5;209;BAURU;2º Ano EF;2;TARDE;2;MATEMÁTICA;163,6
1;1;Rede Estadual;5;209;BAURU;2º Ano EF;9;GERAL;2;MATEMÁTICA;165
1;1;Rede Estadual;5;209;BAURU;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;208,9
1;1;Rede Estadual;5;209;BAURU;5º Ano EF;2;TARDE;2;MATEMÁTICA;209,2
1;1;Rede Estadual;5;209;BAURU;5º Ano EF;9;GERAL;2;MATEMÁTICA;209
1;1;Rede Estadual;5;209;BAURU;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;240,4
1;1;Rede Estadual;5;209;BAURU;9º Ano EF;2;TARDE;2;MATEMÁTICA;239
1;1;Rede Estadual;5;209;BAURU;9º Ano EF;9;GERAL;2;MATEMÁTICA;240,3
1;1;Rede Estadual;5;210;BEBEDOURO;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;247,6
1;1;Rede Estadual;5;210;BEBEDOURO;9º Ano EF;2;TARDE;2;MATEMÁTICA;220,5
1;1;Rede Estadual;5;210;BEBEDOURO;9º Ano EF;9;GERAL;2;MATEMÁTICA;246,7
1;1;Rede Estadual;5;211;BENTO DE ABREU;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;264
1;1;Rede Estadual;5;211;BENTO DE ABREU;9º Ano EF;9;GERAL;2;MATEMÁTICA;264
1;1;Rede Estadual;5;212;BERNARDINO DE CAMPOS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;256,6
1;1;Rede Estadual;5;212;BERNARDINO DE CAMPOS;9º Ano EF;2;TARDE;2;MATEMÁTICA;246,3
1;1;Rede Estadual;5;212;BERNARDINO DE CAMPOS;9º Ano EF;9;GERAL;2;MATEMÁTICA;251,7
1;1;Rede Estadual;5;213;BILAC;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;255,3
1;1;Rede Estadual;5;213;BILAC;9º Ano EF;9;GERAL;2;MATEMÁTICA;255,3
1;1;Rede Estadual;5;214;BIRIGUI;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;261,4
1;1;Rede Estadual;5;214;BIRIGUI;9º Ano EF;2;TARDE;2;MATEMÁTICA;246,9
1;1;Rede Estadual;5;214;BIRIGUI;9º Ano EF;9;GERAL;2;MATEMÁTICA;260,2
1;1;Rede Estadual;1;215;BIRITIBA-MIRIM;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;240,8
1;1;Rede Estadual;1;215;BIRITIBA-MIRIM;9º Ano EF;2;TARDE;2;MATEMÁTICA;238,1
1;1;Rede Estadual;1;215;BIRITIBA-MIRIM;9º Ano EF;9;GERAL;2;MATEMÁTICA;238,9
1;1;Rede Estadual;5;217;BOCAINA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;248,9
1;1;Rede Estadual;5;217;BOCAINA;9º Ano EF;9;GERAL;2;MATEMÁTICA;248,9
1;1;Rede Estadual;5;218;BOFETE;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;299,6
1;1;Rede Estadual;5;218;BOFETE;9º Ano EF;9;GERAL;2;MATEMÁTICA;299,6
1;1;Rede Estadual;5;220;BOM JESUS DOS PERDOES;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;246,3
1;1;Rede Estadual;5;220;BOM JESUS DOS PERDOES;9º Ano EF;2;TARDE;2;MATEMÁTICA;242,3
1;1;Rede Estadual;5;220;BOM JESUS DOS PERDOES;9º Ano EF;9;GERAL;2;MATEMÁTICA;245,3
1;1;Rede Estadual;5;221;BORA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;271,1
1;1;Rede Estadual;5;221;BORA;9º Ano EF;9;GERAL;2;MATEMÁTICA;271,1
1;1;Rede Estadual;5;222;BORACEIA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;247,5
1;1;Rede Estadual;5;222;BORACEIA;9º Ano EF;9;GERAL;2;MATEMÁTICA;247,5
1;1;Rede Estadual;5;223;BORBOREMA;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;177,6
1;1;Rede Estadual;5;223;BORBOREMA;2º Ano EF;2;TARDE;2;MATEMÁTICA;227,9
1;1;Rede Estadual;5;223;BORBOREMA;2º Ano EF;9;GERAL;2;MATEMÁTICA;207,2
1;1;Rede Estadual;5;223;BORBOREMA;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;236
1;1;Rede Estadual;5;223;BORBOREMA;5º Ano EF;2;TARDE;2;MATEMÁTICA;234,6
1;1;Rede Estadual;5;223;BORBOREMA;5º Ano EF;9;GERAL;2;MATEMÁTICA;235,5
1;1;Rede Estadual;5;223;BORBOREMA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;256,7
1;1;Rede Estadual;5;223;BORBOREMA;9º Ano EF;9;GERAL;2;MATEMÁTICA;256,7
1;1;Rede Estadual;5;224;BOTUCATU;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;242,4
1;1;Rede Estadual;5;224;BOTUCATU;9º Ano EF;2;TARDE;2;MATEMÁTICA;234,8
1;1;Rede Estadual;5;224;BOTUCATU;9º Ano EF;9;GERAL;2;MATEMÁTICA;240,8
1;1;Rede Estadual;5;225;BRAGANCA PAULISTA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;247,5
1;1;Rede Estadual;5;225;BRAGANCA PAULISTA;9º Ano EF;2;TARDE;2;MATEMÁTICA;245,1
1;1;Rede Estadual;5;225;BRAGANCA PAULISTA;9º Ano EF;9;GERAL;2;MATEMÁTICA;247,2
1;1;Rede Estadual;5;226;BRAUNA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;257,8
1;1;Rede Estadual;5;226;BRAUNA;9º Ano EF;9;GERAL;2;MATEMÁTICA;257,8
1;1;Rede Estadual;6;227;BRODOWSKI;9º Ano EF;2;TARDE;2;MATEMÁTICA;234,4
1;1;Rede Estadual;6;227;BRODOWSKI;9º Ano EF;9;GERAL;2;MATEMÁTICA;234,4
1;1;Rede Estadual;5;228;BROTAS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;239,3
1;1;Rede Estadual;5;228;BROTAS;9º Ano EF;2;TARDE;2;MATEMÁTICA;213,6
1;1;Rede Estadual;5;228;BROTAS;9º Ano EF;9;GERAL;2;MATEMÁTICA;234,2
1;1;Rede Estadual;5;230;BURITAMA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;242,5
1;1;Rede Estadual;5;230;BURITAMA;9º Ano EF;9;GERAL;2;MATEMÁTICA;242,5
1;1;Rede Estadual;5;232;CABRALIA PAULISTA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;251,1
1;1;Rede Estadual;5;232;CABRALIA PAULISTA;9º Ano EF;9;GERAL;2;MATEMÁTICA;251,1
1;1;Rede Estadual;5;233;CABREUVA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;248,3
1;1;Rede Estadual;5;233;CABREUVA;9º Ano EF;9;GERAL;2;MATEMÁTICA;248,3
1;1;Rede Estadual;4;234;CACAPAVA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;246,8
1;1;Rede Estadual;4;234;CACAPAVA;9º Ano EF;2;TARDE;2;MATEMÁTICA;245,1
1;1;Rede Estadual;4;234;CACAPAVA;9º Ano EF;9;GERAL;2;MATEMÁTICA;246,5
1;1;Rede Estadual;4;235;CACHOEIRA PAULISTA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;250
1;1;Rede Estadual;4;235;CACHOEIRA PAULISTA;9º Ano EF;2;TARDE;2;MATEMÁTICA;248,3
1;1;Rede Estadual;4;235;CACHOEIRA PAULISTA;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,7
1;1;Rede Estadual;5;236;CACONDE;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;167,2
