CD_ALUNO;NOMEDEP;RegiaoMetropolitana;DE;MUN;TIPOCLASSE;SERIE_ANO;SEXO;PERIODO;DEF1;DEF2;DEF3;DEF4;DEF5;TOTAL_PONTO_LP;TOTAL_PONTO_MAT;TOTAL_PONTO_CIE;profic_lp;profic_mat;profic_cie;nivel_profic_lp;nivel_profic_mat;nivel_profic_cie
7511824;ESTADUAL-SE;Região Metropolitana de São Paulo;GUARULHOS SUL;GUARULHOS;0;5º Ano EF;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;21;18;16;258;237;228;Avançado;Adequado;Adequado
7580258;ESTADUAL-SE;Interior;MIRANTE DO PARANAPANEMA;TARABAI;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
7607781;ESTADUAL-SE;Região Metropolitana de Ribeirão Preto;RIBEIRAO PRETO;SANTA CRUZ DA ESPERANCA;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;12;3;NULL;272;182;NULL;Básico;Abaixo do Básico;NULL
8118085;ESTADUAL-SE;Interior;ITARARE;ITABERA;0;9º Ano EF;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8;NULL;NULL;225,7;NULL;NULL;Básico
8231106;ESTADUAL-SE;Região Metropolitana de São Paulo;SUZANO;FERRAZ DE VASCONCELOS;17;EM-3ª série;M;TARDE;NULL;NULL;NULL;NULL;NULL;2;4;6;161;202;249;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
8467845;ESTADUAL-SE;Interior;PIRACICABA;PIRACICABA;0;EM-3ª série;M;TARDE;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
8631859;MUNICIPAL;Interior;JUNDIAI;ITUPEVA;0;2º Ano EF;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;10;4;NULL;135;91;NULL;Adequado;Abaixo do Básico;NULL
8762073;ESTADUAL-SE;Interior;BIRIGUI;BIRIGUI;17;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
8804917;ESTADUAL-SE;Interior;TAQUARITINGA;ITAPOLIS;0;9º Ano EF;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;21;20;22;297;293;361;Adequado;Básico;Avançado
8895158;ESTADUAL-SE;Região Metropolitana do Vale do Paraíba e Litoral Norte;GUARATINGUETA;BANANAL;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;6;2;8;204;181;210;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
