CD_ALUNO;NOMEDEP;RegiaoMetropolitana;DE;MUN;TIPOCLASSE;SERIE_ANO;SEXO;PERIODO;DEF1;DEF2;DEF3;DEF4;DEF5;TOTAL_PONTO_LP;TOTAL_PONTO_MAT;TOTAL_PONTO_CIE;profic_lp;profic_mat;profic_cie;nivel_profic_lp;nivel_profic_mat;nivel_profic_cie
17067665;ESTADUAL-SE;Interior;ITAPETININGA;ITAPETININGA;0;9º Ano EF;M;MANHÃ;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17073294;ESTADUAL-SE;Região Metropolitana do Vale do Paraíba e Litoral Norte;GUARATINGUETA;CRUZEIRO;0;EM-3ª série;F;MANHÃ;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17076887;ESTADUAL-SE;Interior;ANDRADINA;ILHA SOLTEIRA;0;EM-3ª série;M;TARDE;10;NULL;NULL;NULL;NULL;7;7;5;224;226;228;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
17080325;ESTADUAL-SE;Região Metropolitana do Vale do Paraíba e Litoral Norte;GUARATINGUETA;BANANAL;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;4;8;NULL;174;223;NULL;Abaixo do Básico;Abaixo do Básico;NULL
17115320;ESTADUAL-SE;Região Metropolitana de São Paulo;SANTO ANDRE;SANTO ANDRE;0;EM-3ª série;M;MANHÃ;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17122676;MUNICIPAL;Interior;PIRACICABA;PIRACICABA;0;2º Ano EF;F;TARDE;NULL;NULL;NULL;NULL;NULL;4;7;NULL;106;135;NULL;Básico;Básico;NULL
17145643;MUNICIPAL;Região Metropolitana da Baixada Santista;SANTOS;CUBATAO;0;9º Ano EF;F;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17186438;MUNICIPAL;Região Metropolitana de Ribeirão Preto;SERTAOZINHO;JARDINOPOLIS;0;9º Ano EF;M;MANHÃ;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17214611;ESTADUAL-SE;Interior;PIRASSUNUNGA;PORTO FERREIRA;0;EM-3ª série;F;MANHÃ;10;NULL;NULL;NULL;NULL;0;0;0;148;180;201;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico
17241142;ESTADUAL-SE;Interior;BARRETOS;SEVERINIA;0;EM-3ª série;M;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17288782;ESTADUAL-SE;Região Metropolitana de São Paulo;LESTE 2;SAO PAULO;0;9º Ano EF;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;13;11;11;243;238;265;Básico;Básico;Básico
17291083;ESTADUAL-SE;Interior;APIAI;ITAPIRAPUA PAULISTA;0;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;7;8;9;226;218;285;Abaixo do Básico;Abaixo do Básico;Básico
17312642;ESTADUAL-SE;Interior;JOSE BONIFACIO;UNIAO PAULISTA;0;EM-3ª série;F;NOITE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17341743;ESTADUAL-SE;Região Metropolitana de São Paulo;TABOAO DA SERRA;TABOAO DA SERRA;0;EM-3ª série;F;TARDE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17346066;ESTADUAL-SE;Região Metropolitana do Vale do Paraíba e Litoral Norte;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;0;EM-3ª série;M;MANHÃ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
