nquest,idade1,faixa etária,sexo,cor,REGIAO,RCLASSE2,estcivil,renda,escola,nfilhos,p52aa,p55,p56,p66,p64g,p64h,rendacat,escolacat,p64b,p64gn,p64hn,p52aan,p55n,p56n,perfil,perfil binário
192963673,20,16-24,Masculino,Outras,Nordeste,B2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,0,Sim,Sites de noticias,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,5,5,1,1,0,1,3,apostador,1
192967196,48,45-59,Masculino,Parda,Sudeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental II completo,1,0,Sim,Sites de noticias,Frequentemente,Concorda Totalmente,Discorda Totalmente,9,3,5,5,1,0,1,3,apostador,1
192967724,54,45-59,Feminino,Branca,Nordeste,D/E,Viuvo(a),"Até R$ 1.320,00",Ensino Médio incompleto,3,0,Nao,0,Frequentemente,Concorda Em Parte,Concorda Em Parte,9,4,5,4,4,0,2,0,apostador,1
192969677,29,25-34,Masculino,Parda,Nordeste,B2,Separado/Divorciado,"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,1,0,Nao,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,2,5,5,5,5,0,2,0,apostador,1
192970503,30,25-34,Masculino,Preta,Sudeste,C1,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio completo,2,Instagram,0,0,Frequentemente,Concorda Em Parte,Concorda Totalmente,3,5,5,4,5,2,0,0,apostador,1
192970728,33,25-34,Masculino,Parda,Norte,C2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,2,0,Sim,Aplicativos de corretoras e investimentos (do banco/ bancos digitais),Frequentemente,Discorda Em Parte,Discorda Totalmente,1,5,5,2,1,0,1,2,apostador,1
192974647,35,35-44,Masculino,Branca,Nordeste,B2,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Superior incompleto,3,Portal / site,0,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,3,6,4,5,5,5,0,0,apostador,1
192981816,36,35-44,Feminino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,WhatsApp,0,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,9,5,5,5,5,3,0,0,apostador,1
193015131,28,25-34,Masculino,Amarela,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,2,Instagram,0,0,Frequentemente,Concorda Totalmente,Discorda Totalmente,9,2,5,5,1,2,0,0,apostador,1
193015337,22,16-24,Masculino,Preta,Nordeste,C1,Solteiro (a),"Até R$ 1.320,00",Analfabeto/ Fundamental I incompleto,4,Youtube,0,0,Frequentemente,Concorda Em Parte,Concorda Totalmente,9,1,5,4,5,1,0,0,apostador,1
193016753,26,25-34,Masculino,Outras,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,Instagram,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,9,5,5,1,1,2,0,0,apostador,1
193017417,42,35-44,Masculino,Branca,Nordeste,C1,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,0,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Em Parte,2,5,5,1,2,0,2,0,apostador,1
193024273,18,16-24,Masculino,Preta,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,Instagram,0,0,Frequentemente,Discorda Em Parte,Discorda Totalmente,9,4,2,2,1,2,0,0,apostador,1
