nquest,idade1,faixa etária,sexo,cor,REGIAO,RCLASSE2,estcivil,renda,escola,nfilhos,p52aa,p55,p56,p66,p67a,p68,p27,p28,rendacat,escolacat,p64b,p64g,p64h,perfil
192956123,54,45-59,Feminino,Preta,Nordeste,D/E,Viuvo(a),"Até R$ 1.320,00",Fundamental II completo,2,0,Nao,0,Não usou em 2023,0,0,55,Ja comecou uma reserva para a aposentadoria,9,3,5,5,5,investidor
192957178,67,60+,Feminino,Branca,Nordeste,D/E,Viuvo(a),"De R$ 1.321,00 Até R$ 2.640,00",Analfabeto/ Fundamental I incompleto,2,0,Nao,0,Não sabe,0,0,0,0,1,1,5,5,1,investidor
192958083,44,35-44,Feminino,Preta,Nordeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,4,0,0,0,Não usou em 2023,0,0,45,Ja comecou uma reserva para a aposentadoria,9,5,5,1,1,investidor
192958117,35,35-44,Feminino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,4,Portal / site,0,0,Não usou em 2023,0,0,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,2,5,5,1,investidor
192958632,69,60+,Feminino,Parda,Nordeste,C2,Separado/Divorciado,Recusa,Ensino Médio completo,1,Nenhum,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,97,5,1,1,1,investidor
192959345,55,45-59,Masculino,Parda,Nordeste,C1,Solteiro (a),"De R$ 13.201,00 Até R$ 26.400,00",Superior completo,1,Youtube,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,5,7,2,1,1,investidor
192959667,36,35-44,Feminino,Parda,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio incompleto,1,Telegram,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,62,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,4,5,1,1,investidor
192959738,18,16-24,Masculino,Outras,Nordeste,B2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,Instagram,0,0,Raramente,e. Chance de ganhar uma grande quantia de dinheiro,Uma forma de investir seu dinheiro pensando em montar uma reserva para o futuro,Não sabe,Ja comecou uma reserva para a aposentadoria,9,4,5,2,5,investidor
192960006,64,60+,Masculino,Branca,Nordeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,2,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,64,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,2,4,1,1,investidor
192960180,53,45-59,Feminino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Fundamental II completo,3,0,Nao,0,Não usou em 2023,0,0,65,Ja comecou uma reserva para a aposentadoria,9,3,5,5,1,investidor
192960282,70,60+,Masculino,Outras,Nordeste,C2,Viuvo(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,3,0,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,1,5,5,1,5,investidor
192960438,21,16-24,Masculino,Preta,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,4,5,2,1,investidor
192960836,65,60+,Feminino,Parda,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,9,5,4,1,1,investidor
192960942,45,45-59,Masculino,Outras,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,1,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,2,2,1,1,investidor
192960971,28,25-34,Masculino,Parda,Nordeste,B2,Casado(a)/com companheiro(a),"De R$ 3.961,00 Até R$ 6.600,00",Superior completo,1,Youtube,0,0,Raramente,h. Considerar uma forma de investir,0,50,Ja comecou uma reserva para a aposentadoria,3,7,5,1,1,investidor
192961023,29,25-34,Feminino,Preta,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,1,Televisao,0,0,Raramente,d. Chance de ganhar um dinheiro rápido em momentos de necessidade,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,57,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,5,5,1,1,investidor
192961082,26,25-34,Masculino,Parda,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,1,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,5,4,4,investidor
192961162,43,35-44,Feminino,Branca,Nordeste,C2,Separado/Divorciado,"Até R$ 1.320,00",Ensino Médio completo,2,0,Sim,Aplicativos de corretoras e investimentos (do banco/ bancos digitais),De vez em quando,d. Chance de ganhar um dinheiro rápido em momentos de necessidade,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,44,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,5,4,1,1,investidor
192961675,29,25-34,Masculino,Preta,Nordeste,D/E,Separado/Divorciado,"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,1,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,50,Ja comecou uma reserva para a aposentadoria,9,2,5,4,1,investidor
192961695,42,35-44,Feminino,Preta,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,Não sabe,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,5,5,5,4,investidor
192961704,53,45-59,Masculino,Parda,Norte,B2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Superior incompleto,2,0,Nao,0,Raramente,f. Oportunidade de apostar valores pequenos,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,70,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",1,6,5,5,5,investidor
192961748,50,45-59,Masculino,Preta,Nordeste,C1,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,2,0,Sim,Amigos/ Parentes,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",1,5,5,2,2,investidor
192961974,27,25-34,Feminino,Parda,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,5,1,1,investidor
192962041,76,60+,Masculino,Parda,Nordeste,B2,Casado(a)/com companheiro(a),Não sabe,Analfabeto/ Fundamental I incompleto,3,0,Nao,0,Não usou em 2023,0,0,0,0,99,1,4,1,1,investidor
192962124,26,25-34,Masculino,Preta,Nordeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,0,Youtube,0,0,Raramente,b. A emoção de apostar,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,55,Ja comecou uma reserva para a aposentadoria,9,5,5,1,1,investidor
192962251,41,35-44,Masculino,Parda,Nordeste,B2,Casado(a)/com companheiro(a),Recusa,Ensino Médio incompleto,3,0,Sim,Sites de noticias,Não usou em 2023,0,0,65,Não comecou uma reserva para a aposentadoria e Não pretende comecar,97,4,5,1,1,investidor
192962273,26,25-34,Feminino,Parda,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,0,0,0,0,Não usou em 2023,0,0,45,Ja comecou uma reserva para a aposentadoria,9,5,5,2,5,investidor
192962284,35,35-44,Masculino,Branca,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,1,0,Sim,Amigos/ Parentes,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,55,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,2,5,1,5,investidor
192962289,58,45-59,Feminino,Preta,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,2,0,Nao,0,Não sabe,0,0,62,Ja comecou uma reserva para a aposentadoria,9,5,5,5,4,investidor
192962290,48,45-59,Masculino,Parda,Nordeste,C2,Solteiro (a),Não sabe,Fundamental II completo,4,0,Sim,Cursos/ cursos online/ palestras/ na faculdade/ escola/ professor,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,60,Ja comecou uma reserva para a aposentadoria,99,3,5,4,4,investidor
192962291,68,60+,Feminino,Parda,Nordeste,C1,Casado(a)/com companheiro(a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio completo,2,0,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,Não pensa em se aposentar,Não comecou uma reserva para a aposentadoria e Não pretende comecar,3,5,5,1,1,investidor
192962292,30,25-34,Feminino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,Televisao,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,Ja comecou uma reserva para a aposentadoria,9,5,5,2,1,investidor
192962637,60,60+,Feminino,Preta,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,2,0,Nao,0,Não usou em 2023,0,0,60,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,2,2,1,1,investidor
192962747,31,25-34,Masculino,Preta,Nordeste,B2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,0,Youtube,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,58,Ja comecou uma reserva para a aposentadoria,2,5,4,1,1,investidor
192962834,52,45-59,Feminino,Branca,Nordeste,C1,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,1,Portal / site,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,62,Ja comecou uma reserva para a aposentadoria,1,5,5,5,1,investidor
192962851,18,16-24,Feminino,Branca,Nordeste,B2,Solteiro (a),"Até R$ 1.320,00",Superior incompleto,0,Instagram,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,6,5,4,5,investidor
192962981,51,45-59,Feminino,Preta,Norte,B2,Casado(a)/com companheiro(a),"De R$ 6.601,00 Até R$ 13.200,00",Pós-graduação,2,Portal / site,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,55,Ja comecou uma reserva para a aposentadoria,4,8,1,1,1,investidor
192963018,20,16-24,Masculino,Preta,Nordeste,B2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,0,0,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,50,Ja comecou uma reserva para a aposentadoria,9,5,5,1,1,investidor
192963019,32,25-34,Feminino,Parda,Norte,B2,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Superior completo,0,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube",Raramente,c. Considerar como uma diversao,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,60,Não comecou uma reserva para a aposentadoria e Não pretende comecar,1,7,5,1,1,investidor
192963239,70,60+,Masculino,Parda,Nordeste,C2,Separado/Divorciado,"De R$ 1.321,00 Até R$ 2.640,00",Fundamental I completo/ Fundamental II incompleto,3,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,1,2,5,5,1,investidor
192963312,41,35-44,Feminino,Parda,Nordeste,D/E,Separado/Divorciado,"Até R$ 1.320,00",Fundamental II completo,3,Revistas / jornais,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,55,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,3,5,1,5,investidor
192963407,45,45-59,Feminino,Parda,Nordeste,D/E,Separado/Divorciado,"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,1,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,2,5,5,5,investidor
192963626,41,35-44,Masculino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,5,1,1,investidor
192963673,20,16-24,Masculino,Outras,Nordeste,B2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,0,Sim,Sites de noticias,Frequentemente,a. A facilidade de usar os aplicativos,Uma forma de investir seu dinheiro pensando em montar uma reserva para o futuro,Não sabe,Ja comecou uma reserva para a aposentadoria,1,5,5,1,1,apostador
192963683,64,60+,Feminino,Parda,Sudeste,D/E,Viuvo(a),"De R$ 1.321,00 Até R$ 2.640,00",Fundamental I completo/ Fundamental II incompleto,1,Youtube,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,Ja comecou uma reserva para a aposentadoria,1,2,5,1,1,investidor
192963845,49,45-59,Feminino,Parda,Norte,B1,Casado(a)/com companheiro(a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio completo,2,0,Nao,0,Não usou em 2023,0,0,65,Não comecou uma reserva para a aposentadoria e Não pretende comecar,3,5,1,1,1,investidor
192963896,24,16-24,Feminino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Analfabeto/ Fundamental I incompleto,4,0,0,0,Não usou em 2023,0,0,Não sabe,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,1,4,4,4,investidor
192963971,16,16-24,Feminino,Preta,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,0,Sim,Sites de noticias,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,4,4,5,5,investidor
192964226,65,60+,Feminino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Analfabeto/ Fundamental I incompleto,1,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,Não sabe,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,1,4,2,5,investidor
192964227,49,45-59,Masculino,Branca,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,1,0,0,0,Não usou em 2023,0,0,49,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,2,5,5,5,investidor
192964274,63,60+,Feminino,Parda,Sudeste,D/E,Viuvo(a),"De R$ 1.321,00 Até R$ 2.640,00",Fundamental I completo/ Fundamental II incompleto,4,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,63,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",1,2,5,2,1,investidor
192964592,18,16-24,Feminino,Parda,Nordeste,B2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,Youtube,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,80,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,4,4,1,1,investidor
192964639,21,16-24,Masculino,Preta,Nordeste,B1,Solteiro (a),Não sabe,Superior incompleto,0,Youtube,0,0,Não usou em 2023,0,0,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",99,6,4,1,1,investidor
192964880,51,45-59,Masculino,Branca,Nordeste,D/E,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Fundamental II completo,2,0,Nao,0,Não usou em 2023,0,0,Não sabe,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",2,3,5,5,4,investidor
192964896,80,60+,Masculino,Outras,Norte,B2,Viuvo(a),"De R$ 6.601,00 Até R$ 13.200,00",Superior completo,3,Nenhum,0,0,Não usou em 2023,0,0,0,0,4,7,1,1,1,investidor
192964960,33,25-34,Masculino,Parda,Nordeste,C2,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,1,Youtube,0,0,Não usou em 2023,0,0,50,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",2,5,5,1,1,investidor
192965022,19,16-24,Feminino,Branca,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Nao,0,Não usou em 2023,0,0,55,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,5,4,4,investidor
192965135,79,60+,Masculino,Branca,Centro Oeste,D/E,Separado/Divorciado,"De R$ 1.321,00 Até R$ 2.640,00",Analfabeto/ Fundamental I incompleto,4,0,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,1,1,1,1,1,investidor
192965166,38,35-44,Masculino,Parda,Nordeste,D/E,Solteiro (a),Não sabe,Ensino Médio completo,0,Televisao,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",99,5,2,1,1,investidor
192965167,50,45-59,Masculino,Preta,Nordeste,B2,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,2,Portal / site,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,55,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",1,5,5,1,4,investidor
192965494,48,45-59,Feminino,Preta,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,1,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,Não sabe,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,4,1,1,investidor
192965646,36,35-44,Feminino,Branca,Nordeste,C1,Solteiro (a),"Até R$ 1.320,00",Superior incompleto,0,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube",Raramente,b. A emoção de apostar,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,Não sabe,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,6,5,1,1,investidor
192965842,53,45-59,Masculino,Parda,Nordeste,B2,Casado(a)/com companheiro(a),"De R$ 3.961,00 Até R$ 6.600,00",Superior completo,2,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,70,Ja comecou uma reserva para a aposentadoria,3,7,5,4,1,investidor
192966041,58,45-59,Feminino,Parda,Sudeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,4,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,5,5,1,investidor
192966085,27,25-34,Feminino,Branca,Nordeste,C1,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Superior completo,0,0,Nao,0,Raramente,d. Chance de ganhar um dinheiro rápido em momentos de necessidade,Uma forma de investir seu dinheiro pensando em montar uma reserva para o futuro,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",1,7,5,5,5,investidor
192966154,17,16-24,Feminino,Parda,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,Instagram,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,4,1,1,1,investidor
192966155,46,45-59,Feminino,Preta,Nordeste,C2,Solteiro (a),"De R$ 13.201,00 Até R$ 26.400,00",Ensino Médio completo,1,Instagram,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,50,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",5,5,4,4,4,investidor
192966172,24,16-24,Masculino,Parda,Norte,B2,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio completo,0,Youtube,0,0,Não usou em 2023,0,0,70,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",3,5,5,1,1,investidor
192966266,69,60+,Masculino,Branca,Nordeste,D/E,Separado/Divorciado,"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,3,0,Nao,0,Não usou em 2023,0,0,0,0,9,2,5,4,2,investidor
192966513,60,60+,Feminino,Parda,Nordeste,D/E,Separado/Divorciado,"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,1,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,9,2,2,1,1,investidor
192966690,30,25-34,Masculino,Preta,Nordeste,C2,Separado/Divorciado,"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,1,0,Sim,Influenciadores que abordam assuntos sobre investimento,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,2,4,1,1,investidor
192966884,37,35-44,Feminino,Parda,Nordeste,D/E,Separado/Divorciado,"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,1,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,66,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,2,5,5,5,investidor
192966911,71,60+,Feminino,Parda,Nordeste,C2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,1,5,4,1,1,investidor
192967043,63,60+,Feminino,Parda,Centro Oeste,D/E,Viuvo(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,2,0,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,62,Não comecou uma reserva para a aposentadoria e Não pretende comecar,1,5,5,1,1,investidor
192967196,48,45-59,Masculino,Parda,Sudeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental II completo,1,0,Sim,Sites de noticias,Frequentemente,d. Chance de ganhar um dinheiro rápido em momentos de necessidade,0,56,Ja comecou uma reserva para a aposentadoria,9,3,5,5,1,apostador
192967201,72,60+,Masculino,Branca,Nordeste,C2,Separado/Divorciado,"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,5,Televisao,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,"Aposentou,mas continua trabalhado",0,2,5,5,4,1,investidor
192967724,54,45-59,Feminino,Branca,Nordeste,D/E,Viuvo(a),"Até R$ 1.320,00",Ensino Médio incompleto,3,0,Nao,0,Frequentemente,d. Chance de ganhar um dinheiro rápido em momentos de necessidade,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,57,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,4,5,4,4,apostador
192968160,37,35-44,Feminino,Preta,Nordeste,B2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Superior completo,2,WhatsApp,0,0,Raramente,c. Considerar como uma diversao,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",1,7,5,2,5,investidor
192968189,27,25-34,Feminino,Preta,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio incompleto,2,Instagram,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,4,4,4,4,investidor
192968310,41,35-44,Masculino,Preta,Sudeste,C2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Fundamental II completo,2,0,Sim,Aplicativos de corretoras e investimentos (do banco/ bancos digitais),"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,Não pensa em se aposentar,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",2,3,5,1,1,investidor
192968711,63,60+,Masculino,Parda,Sudeste,D/E,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Fundamental II completo,2,WhatsApp,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,Não comecou uma reserva para a aposentadoria e Não pretende comecar,1,3,5,1,1,investidor
192968857,59,45-59,Feminino,Parda,Centro Oeste,D/E,Viuvo(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,4,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,9,2,5,1,1,investidor
192968997,52,45-59,Masculino,Parda,Nordeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental II completo,3,Instagram,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,60,Ja comecou uma reserva para a aposentadoria,9,3,5,1,1,investidor
192969087,68,60+,Feminino,Preta,Nordeste,C2,Viuvo(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,2,Televisao,0,0,De vez em quando,c. Considerar como uma diversao,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,0,0,2,5,2,2,1,investidor
192969568,33,25-34,Feminino,Preta,Norte,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,55,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,5,5,1,4,investidor
192969592,18,16-24,Masculino,Parda,Nordeste,C2,Solteiro (a),Não sabe,Ensino Médio completo,0,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube","Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,55,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",99,5,5,4,2,investidor
192969612,37,35-44,Masculino,Parda,Norte,B2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Superior completo,0,Youtube,0,0,Não usou em 2023,0,0,55,Não comecou uma reserva para a aposentadoria e Não pretende comecar,2,7,1,4,1,investidor
192969677,29,25-34,Masculino,Parda,Nordeste,B2,Separado/Divorciado,"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,1,0,Nao,0,Frequentemente,d. Chance de ganhar um dinheiro rápido em momentos de necessidade,Nenhum dos dois (Não LER - ESPONTANEO),50,Ja comecou uma reserva para a aposentadoria,2,5,5,5,5,apostador
