nquest,idade1,faixa etária,sexo,cor,REGIAO,RCLASSE2,estcivil,renda,escola,nfilhos,p52aa,p55,p56,p66,p67a,p68,p27,p28,rendacat,escolacat,p64b,p64g,p64h,perfil
193071857,69,60+,Feminino,Branca,Sudeste,B2,Separado/Divorciado,"De R$ 2.640,00 Até R$ 3.960,00",Superior completo,1,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,2,7,5,1,5,investidor
193071872,31,25-34,Feminino,Branca,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,4,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,70,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,5,1,5,2,investidor
193071887,45,45-59,Feminino,Parda,Centro Oeste,B2,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Superior completo,3,Portal / site,0,0,Não usou em 2023,0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",1,7,1,2,1,investidor
193071888,48,45-59,Masculino,Preta,Nordeste,C2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Superior incompleto,4,Portal / site,0,0,Raramente,d. Chance de ganhar um dinheiro rápido em momentos de necessidade,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,60,Ja comecou uma reserva para a aposentadoria,2,6,5,2,4,investidor
193071889,33,25-34,Masculino,Parda,Nordeste,C2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,2,Televisao,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,85,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",1,5,5,5,4,investidor
193071890,34,25-34,Feminino,Parda,Nordeste,B2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Superior completo,1,E-mail,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,75,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,7,4,1,5,investidor
193071901,29,25-34,Feminino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,1,0,Nao,0,Não usou em 2023,0,0,61,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,5,2,2,investidor
193071916,68,60+,Masculino,Parda,Sudeste,C1,Casado(a)/com companheiro(a),"De R$ 3.961,00 Até R$ 6.600,00",Fundamental I completo/ Fundamental II incompleto,0,0,Nao,0,Não usou em 2023,0,0,0,0,3,2,4,1,1,investidor
193072062,68,60+,Masculino,Parda,Sudeste,C1,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Fundamental I completo/ Fundamental II incompleto,2,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,69,Não comecou uma reserva para a aposentadoria e Não pretende comecar,1,2,5,1,1,investidor
193072064,73,60+,Masculino,Branca,Sul,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Analfabeto/ Fundamental I incompleto,3,Nenhum,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,9,1,5,5,1,investidor
193072083,68,60+,Masculino,Parda,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,4,Instagram,0,0,Não usou em 2023,0,0,0,0,9,2,5,1,5,investidor
193072092,46,45-59,Feminino,Branca,Sudeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,2,0,Sim,Sites de noticias,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,Não sabe,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,5,2,2,investidor
193072139,57,45-59,Masculino,Branca,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,2,0,Nao,0,Não usou em 2023,0,0,65,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,5,5,5,1,investidor
193072200,72,60+,Masculino,Parda,Sudeste,D/E,Solteiro (a),"Até R$ 1.320,00",Analfabeto/ Fundamental I incompleto,6,WhatsApp,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,9,1,5,1,1,investidor
193072262,44,35-44,Masculino,Outras,Sudeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,2,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,2,1,1,1,investidor
193072271,26,25-34,Feminino,Preta,Nordeste,D/E,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,1,Nenhum,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,60,Não comecou uma reserva para a aposentadoria e Não pretende comecar,2,5,5,1,1,investidor
193072365,37,35-44,Masculino,Parda,Sudeste,B2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,3,Youtube,0,0,De vez em quando,c. Considerar como uma diversao,Uma forma de se divertir e eventualmente ganhar um dinheiro extra?,60,Ja comecou uma reserva para a aposentadoria,2,5,5,1,1,investidor
193072368,57,45-59,Masculino,Branca,Sudeste,B2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Fundamental II completo,0,Youtube,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",1,3,1,1,1,investidor
193072385,34,25-34,Masculino,Outras,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,1,0,0,0,Não usou em 2023,0,0,65,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,2,2,1,1,investidor
193072397,34,25-34,Feminino,Preta,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,1,Televisao,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,Não sabe,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,5,4,1,investidor
193072428,47,45-59,Feminino,Parda,Sudeste,D/E,Solteiro (a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,4,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,Não sabe,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,2,5,2,5,investidor
193072466,38,35-44,Feminino,Parda,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,2,0,Nao,0,Não usou em 2023,0,0,50,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,4,5,1,5,investidor
193072591,30,25-34,Feminino,Branca,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,0,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,Não sabe,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,2,5,4,5,investidor
193072607,57,45-59,Feminino,Branca,Norte,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental II completo,1,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,"Aposentou,mas continua trabalhado",0,9,3,5,4,1,investidor
193072645,23,16-24,Feminino,Parda,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,Televisao,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,55,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,5,1,1,investidor
193072658,40,35-44,Feminino,Parda,Nordeste,B1,Casado(a)/com companheiro(a),"De R$ 3.961,00 Até R$ 6.600,00",Superior completo,3,Portal / site,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",3,7,4,2,1,investidor
193072665,59,45-59,Masculino,Parda,Centro Oeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,4,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,9,2,5,4,1,investidor
193072677,56,45-59,Feminino,Parda,Nordeste,D/E,Viuvo(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,5,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,0,0,9,2,4,4,2,investidor
193072694,56,45-59,Feminino,Parda,Centro Oeste,B2,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,2,0,Sim,Sites de noticias,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,57,Ja comecou uma reserva para a aposentadoria,1,5,5,1,1,investidor
193072703,24,16-24,Feminino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Nao,0,Não sabe,0,0,Não sabe,Não comecou uma reserva para a aposentadoria e Não pretende comecar,9,5,5,1,1,investidor
193072717,28,25-34,Masculino,Parda,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube",Frequentemente,d. Chance de ganhar um dinheiro rápido em momentos de necessidade,Nenhum dos dois (Não LER - ESPONTANEO),60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,5,1,5,apostador
193072723,53,45-59,Feminino,Amarela,Nordeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,0,0,Nao,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,2,5,5,2,investidor
193072725,22,16-24,Feminino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,1,0,Sim,Sites de noticias,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,55,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",9,5,5,5,5,investidor
193072726,44,35-44,Feminino,Preta,Nordeste,C1,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,4,Youtube,0,0,"Nunca usou aplicativos de apostas, como de apostas esportivas, conhecidas como bets",0,0,60,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",1,5,5,1,4,investidor
193072747,65,60+,Masculino,Parda,Nordeste,B2,Casado(a)/com companheiro(a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio completo,4,0,Nao,0,Não usou em 2023,0,0,70,"Ainda Não comecou uma reserva para a aposentadoria,mas pretende comecar",3,5,5,1,1,investidor
