BIOMA,MUNICIPIO,AREAHA,ANODETEC,DATADETEC,Municípios,Ano,CO2_emitido
Cerrado,formosa do rio preto,1.73,2020,2020/01/01,formosa do rio preto,2020,3073766.4334418774
Cerrado,formosa do rio preto,17.74,2020,2020/01/01,formosa do rio preto,2020,3073766.4334418774
Cerrado,santa rita de cássia,4.29,2020,2020/01/01,santa rita de cássia,2020,859509.3606863022
Caatinga,cocos,3.88,2020,2020/01/01,cocos,2020,1218387.32458961
Cerrado,baianópolis,67.64,2021,2021/05/01,baianópolis,2021,1700892.2622466087
Cerrado,baianópolis,30.37,2021,2021/07/27,baianópolis,2021,1700892.2622466087
Cerrado,jaborandi,1.13,2021,2021/06/01,jaborandi,2021,2051920.940728784
Cerrado,riachão das neves,66.38,2021,2021/06/01,riachão das neves,2021,761963.2862440944
Cerrado,jaborandi,92.92,2021,2021/08/05,jaborandi,2021,2051920.940728784
Cerrado,barreiras,8.17,2021,2021/09/26,barreiras,2021,958306.347179532
Cerrado,luís eduardo magalhães,7.27,2021,2021/09/26,luís eduardo magalhães,2021,654262.0002045631
Cerrado,luís eduardo magalhães,13.09,2021,2021/09/26,luís eduardo magalhães,2021,654262.0002045631
Caatinga,cotegipe,43.4,2021,2021/10/02,cotegipe,2021,292547.2605621815
Cerrado,luís eduardo magalhães,621.88,2021,2021/10/13,luís eduardo magalhães,2021,654262.0002045631
Mata Atlântica,encruzilhada,37.48,2021,2021/09/01,encruzilhada,2021,587315.3614428043
Mata Atlântica,itapetinga,4.26,2021,2021/09/01,itapetinga,2021,20727.768303871155
Mata Atlântica,encruzilhada,20.38,2021,2021/11/01,encruzilhada,2021,587315.3614428043
Cerrado,santa rita de cássia,36.36,2021,2021/11/20,santa rita de cássia,2021,998700.5789114236
Caatinga,santa rita de cássia,19.61,2021,2021/09/01,santa rita de cássia,2021,998700.5789114236
Caatinga,santa rita de cássia,1.47,2021,2021/09/01,santa rita de cássia,2021,998700.5789114236
Caatinga,barra,177.98,2021,2021/10/01,barra,2021,79058.81857037544
Caatinga,santa rita de cássia,5.79,2021,2021/12/01,santa rita de cássia,2021,998700.5789114236
Cerrado,formosa do rio preto,14.29,2021,2021/03/10,formosa do rio preto,2021,2299737.8741800785
Cerrado,formosa do rio preto,28.93,2021,2021/05/01,formosa do rio preto,2021,2299737.8741800785
Cerrado,cocos,4.77,2021,2021/08/01,cocos,2021,1229644.9681953788
Mata Atlântica,itambé,8.57,2022,2022/02/28,itambé,2022,227632.0
Cerrado,riachão das neves,419.67,2022,2022/05/06,riachão das neves,2022,670183.0
Cerrado,formosa do rio preto,13.03,2022,2022/05/29,formosa do rio preto,2022,2432263.0
Cerrado,barreiras,86.98,2022,2022/05/06,barreiras,2022,996163.0
Cerrado,são desidério,1152.42,2022,2022/04/07,são desidério,2022,2729422.0
Cerrado,jaborandi,25.7,2022,2022/04/25,jaborandi,2022,1734316.0
Cerrado,jaborandi,15.37,2022,2022/04/25,jaborandi,2022,1734316.0
Cerrado,são desidério,1626.19,2022,2022/04/10,são desidério,2022,2729422.0
Cerrado,santa rita de cássia,5.15,2022,2022/02/01,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,6.97,2022,2022/02/01,cotegipe,2022,297663.0
Cerrado,baianópolis,142.81,2022,2022/06/16,baianópolis,2022,413632.0
Mata Atlântica,ilhéus,0.49,2022,2022/06/30,ilhéus,2022,209209.0
Mata Atlântica,igrapiúna,0.72,2022,2022/06/30,igrapiúna,2022,210971.0
Caatinga,cotegipe,0.77,2022,2022/03/01,cotegipe,2022,297663.0
Caatinga,barra,43.61,2022,2022/03/01,barra,2022,312169.0
Cerrado,riachão das neves,30.41,2022,2022/08/09,riachão das neves,2022,670183.0
Cerrado,baianópolis,51.49,2022,2022/08/02,baianópolis,2022,413632.0
Caatinga,barra,0.77,2022,2022/05/01,barra,2022,312169.0
Cerrado,santa rita de cássia,4.41,2022,2022/06/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,13.87,2019,2019/06/20,santa rita de cássia,2019,694797.0868461728
Cerrado,formosa do rio preto,89.61,2019,2019/09/20,formosa do rio preto,2019,4220327.0016454905
Caatinga,cotegipe,5.8,2019,2019/12/07,cotegipe,2019,331163.8086628318
Cerrado,cotegipe,10.12,2019,2019/04/23,cotegipe,2019,331163.8086628318
Cerrado,luís eduardo magalhães,417.37,2019,2019/01/23,luís eduardo magalhães,2019,800435.7103590965
Cerrado,formosa do rio preto,148.63,2019,2019/04/26,formosa do rio preto,2019,4220327.0016454905
Cerrado,são desidério,599.9,2019,2019/04/23,são desidério,2019,2024107.6610826247
Caatinga,cotegipe,9.17,2019,2019/03/31,cotegipe,2019,331163.8086628318
Cerrado,são desidério,14.24,2019,2019/05/04,são desidério,2019,2024107.6610826247
Cerrado,baianópolis,3.09,2019,2019/08/02,baianópolis,2019,607436.7982445955
Cerrado,barreiras,18.16,2019,2019/05/19,barreiras,2019,1568927.0175619423
Cerrado,santa rita de cássia,17.34,2019,2019/06/20,santa rita de cássia,2019,694797.0868461728
Cerrado,são desidério,41.05,2019,2019/06/08,são desidério,2019,2024107.6610826247
Mata Atlântica,jequié,4.29,2019,2019/02/25,jequié,2019,249169.2120203972
Mata Atlântica,valença,1.11,2019,2019/01/08,valença,2019,247673.75340151787
Cerrado,cotegipe,1309.16,2020,2020/01/11,cotegipe,2020,559960.0834841728
Caatinga,cotegipe,9.85,2020,2020/01/11,cotegipe,2020,559960.0834841728
Cerrado,barreiras,12.15,2020,2020/02/26,barreiras,2020,1179766.0970728395
Mata Atlântica,ilhéus,4.71,2020,2020/04/01,ilhéus,2020,191205.86366391185
Mata Atlântica,belmonte,3.34,2020,2020/02/12,belmonte,2020,350558.8480718136
Cerrado,baianópolis,10.25,2020,2020/05/01,baianópolis,2020,790814.9751247168
Caatinga,santa rita de cássia,8.82,2020,2020/02/01,santa rita de cássia,2020,859509.3606863022
Cerrado,são desidério,129.05,2020,2020/02/01,são desidério,2020,3091203.197527945
Mata Atlântica,itagibá,5.53,2020,2020/06/30,itagibá,2020,72102.08046793938
Mata Atlântica,iguaí,4.55,2020,2020/06/30,iguaí,2020,127471.2907333374
Cerrado,luís eduardo magalhães,48.04,2020,2020/05/20,luís eduardo magalhães,2020,1523413.1056941748
Cerrado,barreiras,153.03,2020,2020/05/23,barreiras,2020,1179766.0970728395
Caatinga,santa rita de cássia,6.88,2020,2020/07/01,santa rita de cássia,2020,859509.3606863022
Cerrado,cocos,5.29,2020,2020/07/01,cocos,2020,1218387.32458961
Cerrado,jaborandi,7.2,2020,2020/08/01,jaborandi,2020,1744004.154955864
Cerrado,jaborandi,13.45,2020,2020/09/01,jaborandi,2020,1744004.154955864
Cerrado,cocos,435.94,2020,2020/09/24,cocos,2020,1218387.32458961
Mata Atlântica,valença,4.9,2020,2020/10/17,valença,2020,427637.707020998
Cerrado,baianópolis,7.18,2020,2020/11/09,baianópolis,2020,790814.9751247168
Caatinga,santa rita de cássia,8.93,2020,2020/11/01,santa rita de cássia,2020,859509.3606863022
Caatinga,santa rita de cássia,10.25,2020,2020/12/01,santa rita de cássia,2020,859509.3606863022
Cerrado,riachão das neves,7.04,2020,2020/12/17,riachão das neves,2020,1085054.2665590644
Caatinga,santa rita de cássia,7.64,2020,2020/12/17,santa rita de cássia,2020,859509.3606863022
Mata Atlântica,belmonte,1.51,2020,2020/12/13,belmonte,2020,350558.8480718136
Mata Atlântica,encruzilhada,16.78,2020,2020/12/12,encruzilhada,2020,451620.4507952333
Cerrado,baianópolis,340.0,2020,2020/12/31,baianópolis,2020,790814.9751247168
Caatinga,santa rita de cássia,17.37,2020,2020/12/01,santa rita de cássia,2020,859509.3606863022
Mata Atlântica,ilhéus,1.02,2020,2020/12/29,ilhéus,2020,191205.86366391185
Cerrado,riachão das neves,39.67,2021,2021/01/09,riachão das neves,2021,761963.2862440944
Mata Atlântica,nilo peçanha,5.66,2021,2021/01/21,nilo peçanha,2021,59568.41939795017
Mata Atlântica,nilo peçanha,15.57,2021,2021/02/14,nilo peçanha,2021,59568.41939795017
Mata Atlântica,valença,0.94,2021,2021/02/06,valença,2021,195332.51262283325
Mata Atlântica,dário meira,3.4,2021,2021/02/22,dário meira,2021,101797.88742160796
Cerrado,baianópolis,1134.59,2021,2021/03/05,baianópolis,2021,1700892.2622466087
Mata Atlântica,valença,0.42,2021,2021/03/26,valença,2021,195332.51262283325
Cerrado,são desidério,16.23,2021,2021/03/28,são desidério,2021,3159579.701361537
Cerrado,cocos,1680.4,2021,2021/03/19,cocos,2021,1229644.9681953788
Cerrado,correntina,10.55,2021,2021/03/28,correntina,2021,1585476.3940644264
Cerrado,formosa do rio preto,610.17,2021,2021/04/05,formosa do rio preto,2021,2299737.8741800785
Mata Atlântica,belmonte,4.63,2021,2021/04/28,belmonte,2021,331485.0170983076
Cerrado,riachão das neves,1.95,2021,2021/01/01,riachão das neves,2021,761963.2862440944
