BIOMA,MUNICIPIO,AREAHA,ANODETEC,DATADETEC,Municípios,Ano,CO2_emitido
Cerrado,são desidério,12.52,2021,2021/07/28,são desidério,2021,3159579.701361537
Cerrado,luís eduardo magalhães,4.83,2021,2021/07/28,luís eduardo magalhães,2021,654262.0002045631
Cerrado,riachão das neves,7.41,2021,2021/07/28,riachão das neves,2021,761963.2862440944
Cerrado,baianópolis,2.91,2021,2021/08/22,baianópolis,2021,1700892.2622466087
Cerrado,santa rita de cássia,2.3,2021,2021/07/05,santa rita de cássia,2021,998700.5789114236
Cerrado,santa rita de cássia,2.48,2021,2021/07/05,santa rita de cássia,2021,998700.5789114236
Cerrado,riachão das neves,25.49,2022,2022/02/01,riachão das neves,2022,670183.0
Cerrado,baianópolis,366.63,2022,2022/09/03,baianópolis,2022,413632.0
Cerrado,cotegipe,143.85,2022,2022/09/06,cotegipe,2022,297663.0
Cerrado,baianópolis,32.63,2022,2022/09/05,baianópolis,2022,413632.0
Cerrado,são desidério,332.29,2022,2022/09/28,são desidério,2022,2729422.0
Cerrado,jaborandi,1389.44,2022,2022/09/02,jaborandi,2022,1734316.0
Mata Atlântica,encruzilhada,5.06,2022,2022/07/31,encruzilhada,2022,414662.0
Caatinga,jaborandi,5.74,2022,2022/05/01,jaborandi,2022,1734316.0
Caatinga,barra,217.43,2022,2022/05/01,barra,2022,312169.0
Cerrado,barreiras,27.66,2022,2022/09/16,barreiras,2022,996163.0
Cerrado,são desidério,1666.34,2022,2022/09/06,são desidério,2022,2729422.0
Cerrado,correntina,2200.52,2022,2022/09/06,correntina,2022,1473135.0
Cerrado,formosa do rio preto,280.92,2022,2022/10/18,formosa do rio preto,2022,2432263.0
Cerrado,correntina,661.07,2022,2022/10/06,correntina,2022,1473135.0
Cerrado,são desidério,240.87,2022,2022/10/18,são desidério,2022,2729422.0
Cerrado,luís eduardo magalhães,433.0,2022,2022/10/03,luís eduardo magalhães,2022,343098.0
Cerrado,são desidério,120.03,2022,2022/10/13,são desidério,2022,2729422.0
Cerrado,santa rita de cássia,88.82,2022,2022/10/06,santa rita de cássia,2022,569631.0
Cerrado,riachão das neves,8.51,2022,2022/10/29,riachão das neves,2022,670183.0
Cerrado,cotegipe,46.26,2022,2022/10/26,cotegipe,2022,297663.0
Cerrado,jaborandi,3.81,2022,2022/10/21,jaborandi,2022,1734316.0
Cerrado,correntina,21.65,2022,2022/10/03,correntina,2022,1473135.0
Cerrado,barreiras,58.34,2022,2022/10/26,barreiras,2022,996163.0
Cerrado,riachão das neves,90.58,2022,2022/10/15,riachão das neves,2022,670183.0
Caatinga,barra,135.99,2022,2022/06/01,barra,2022,312169.0
Caatinga,barra,65.6,2022,2022/06/01,barra,2022,312169.0
Caatinga,barra,152.97,2022,2022/05/01,barra,2022,312169.0
Caatinga,barra,11.6,2022,2022/06/01,barra,2022,312169.0
Cerrado,santa rita de cássia,6.65,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,barra,8.77,2022,2022/06/01,barra,2022,312169.0
Cerrado,riachão das neves,38.47,2022,2022/08/01,riachão das neves,2022,670183.0
Cerrado,santa rita de cássia,3.91,2022,2022/09/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,10.5,2022,2022/09/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,1.79,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,6.36,2022,2022/08/01,cotegipe,2022,297663.0
Cerrado,santa rita de cássia,4.53,2022,2022/08/01,santa rita de cássia,2022,569631.0
Caatinga,barra,4.34,2022,2022/06/01,barra,2022,312169.0
Caatinga,barra,4.57,2022,2022/06/01,barra,2022,312169.0
Caatinga,barra,444.6,2022,2022/06/01,barra,2022,312169.0
Cerrado,santa rita de cássia,10.61,2022,2022/09/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,10.77,2022,2022/08/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,26.2,2022,2022/07/01,santa rita de cássia,2022,569631.0
Cerrado,riachão das neves,191.21,2022,2022/09/01,riachão das neves,2022,670183.0
Caatinga,barra,2.17,2022,2022/07/01,barra,2022,312169.0
Caatinga,santa rita de cássia,9.58,2022,2022/07/01,santa rita de cássia,2022,569631.0
Cerrado,são desidério,1342.62,2022,2022/11/13,são desidério,2022,2729422.0
Cerrado,riachão das neves,550.93,2022,2022/11/13,riachão das neves,2022,670183.0
Caatinga,santa rita de cássia,49.8,2022,2022/06/01,santa rita de cássia,2022,569631.0
Cerrado,correntina,420.63,2022,2022/11/10,correntina,2022,1473135.0
Cerrado,santa rita de cássia,8.59,2022,2022/08/01,santa rita de cássia,2022,569631.0
Mata Atlântica,ibicuí,1.72,2022,2022/09/30,ibicuí,2022,245755.0
Caatinga,barra,84.85,2022,2022/06/01,barra,2022,312169.0
Mata Atlântica,valença,2.0,2022,2022/09/30,valença,2022,378871.0
Cerrado,santa rita de cássia,140.77,2022,2022/08/01,santa rita de cássia,2022,569631.0
Cerrado,barreiras,7.15,2022,2022/09/01,barreiras,2022,996163.0
Caatinga,santa rita de cássia,31.57,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,30.09,2022,2022/09/01,cotegipe,2022,297663.0
Caatinga,cotegipe,49.05,2022,2022/08/01,cotegipe,2022,297663.0
Cerrado,barreiras,154.47,2022,2022/09/01,barreiras,2022,996163.0
Cerrado,santa rita de cássia,3.33,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,jequié,23.0,2022,2022/08/01,jequié,2022,498001.0
Caatinga,cotegipe,8.54,2022,2022/08/01,cotegipe,2022,297663.0
Caatinga,cotegipe,0.99,2022,2022/08/01,cotegipe,2022,297663.0
Caatinga,santa rita de cássia,2.29,2022,2022/08/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,5.0,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,12.81,2022,2022/08/01,cotegipe,2022,297663.0
Caatinga,cotegipe,49.15,2022,2022/08/01,cotegipe,2022,297663.0
Cerrado,cotegipe,11.44,2022,2022/12/10,cotegipe,2022,297663.0
Cerrado,santa rita de cássia,18.25,2022,2022/12/29,santa rita de cássia,2022,569631.0
Cerrado,jaborandi,13.91,2022,2022/12/29,jaborandi,2022,1734316.0
Cerrado,baianópolis,722.1,2022,2022/12/05,baianópolis,2022,413632.0
Cerrado,riachão das neves,105.99,2022,2022/12/20,riachão das neves,2022,670183.0
Cerrado,santa rita de cássia,33.08,2022,2022/12/30,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,22.21,2022,2022/12/30,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,9.33,2022,2022/08/01,cotegipe,2022,297663.0
Cerrado,santa rita de cássia,122.73,2022,2022/12/30,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,1.7,2022,2022/08/01,santa rita de cássia,2022,569631.0
Cerrado,cotegipe,18.46,2022,2022/12/10,cotegipe,2022,297663.0
Cerrado,cotegipe,386.17,2022,2022/12/10,cotegipe,2022,297663.0
Cerrado,jaborandi,279.21,2022,2022/12/29,jaborandi,2022,1734316.0
Caatinga,santa rita de cássia,14.79,2022,2022/08/01,santa rita de cássia,2022,569631.0
Caatinga,barra,93.79,2022,2022/08/01,barra,2022,312169.0
Cerrado,formosa do rio preto,263.58,2022,2022/12/29,formosa do rio preto,2022,2432263.0
Cerrado,santa rita de cássia,29.68,2022,2022/12/30,santa rita de cássia,2022,569631.0
Cerrado,formosa do rio preto,12.93,2022,2022/12/20,formosa do rio preto,2022,2432263.0
Caatinga,santa rita de cássia,94.66,2022,2022/08/01,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,277.34,2022,2022/08/01,cotegipe,2022,297663.0
Caatinga,cotegipe,39.72,2022,2022/08/01,cotegipe,2022,297663.0
Cerrado,formosa do rio preto,18.92,2022,2022/12/20,formosa do rio preto,2022,2432263.0
Cerrado,barreiras,148.0,2022,2022/12/30,barreiras,2022,996163.0
Cerrado,são desidério,1588.41,2022,2022/12/10,são desidério,2022,2729422.0
Cerrado,jaborandi,1048.97,2022,2022/12/20,jaborandi,2022,1734316.0
Cerrado,baianópolis,115.56,2022,2022/12/10,baianópolis,2022,413632.0
Cerrado,baianópolis,283.33,2022,2022/12/10,baianópolis,2022,413632.0
Cerrado,correntina,1556.07,2022,2022/12/10,correntina,2022,1473135.0
Caatinga,santa rita de cássia,7.83,2022,2022/09/01,santa rita de cássia,2022,569631.0
Cerrado,luís eduardo magalhães,162.93,2022,2022/12/29,luís eduardo magalhães,2022,343098.0
Caatinga,jaborandi,12.56,2022,2022/09/01,jaborandi,2022,1734316.0
Caatinga,santa rita de cássia,3.65,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,12.28,2022,2022/09/01,santa rita de cássia,2022,569631.0
Cerrado,riachão das neves,301.64,2022,2022/12/20,riachão das neves,2022,670183.0
Cerrado,são desidério,74.25,2022,2022/12/29,são desidério,2022,2729422.0
Caatinga,santa rita de cássia,5.5,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,8.62,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,5.24,2022,2022/09/01,cotegipe,2022,297663.0
Caatinga,cotegipe,11.3,2022,2022/09/01,cotegipe,2022,297663.0
Cerrado,formosa do rio preto,3116.95,2022,2022/12/07,formosa do rio preto,2022,2432263.0
Caatinga,cotegipe,36.57,2022,2022/09/01,cotegipe,2022,297663.0
Caatinga,cotegipe,4.78,2022,2022/09/01,cotegipe,2022,297663.0
Caatinga,cotegipe,6.75,2022,2022/09/01,cotegipe,2022,297663.0
Caatinga,cotegipe,2.54,2022,2022/09/01,cotegipe,2022,297663.0
Caatinga,cotegipe,6.32,2022,2022/09/01,cotegipe,2022,297663.0
Caatinga,cotegipe,2.21,2022,2022/09/01,cotegipe,2022,297663.0
Caatinga,santa rita de cássia,2.58,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,36.01,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,9.9,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,1.39,2022,2022/09/01,cotegipe,2022,297663.0
Caatinga,cotegipe,576.18,2022,2022/09/01,cotegipe,2022,297663.0
Caatinga,cotegipe,22.87,2022,2022/09/01,cotegipe,2022,297663.0
Caatinga,santa rita de cássia,3.01,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,5.35,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,5.41,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,5.3,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,8.75,2022,2022/09/01,cotegipe,2022,297663.0
Caatinga,cotegipe,11.87,2022,2022/08/01,cotegipe,2022,297663.0
Mata Atlântica,guaratinga,2.15,2022,2022/10/31,guaratinga,2022,243882.0
Caatinga,santa rita de cássia,3.56,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,1.61,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,24.46,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,7.61,2022,2022/09/01,cotegipe,2022,297663.0
Caatinga,cotegipe,29.51,2022,2022/09/01,cotegipe,2022,297663.0
Mata Atlântica,igrapiúna,1.18,2022,2022/09/30,igrapiúna,2022,210971.0
Caatinga,jaborandi,24.93,2022,2022/09/01,jaborandi,2022,1734316.0
Mata Atlântica,belmonte,59.37,2022,2022/09/30,belmonte,2022,354868.0
Caatinga,barra,14.04,2022,2022/09/01,barra,2022,312169.0
Caatinga,santa rita de cássia,13.47,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,barra,229.96,2022,2022/08/01,barra,2022,312169.0
Cerrado,jaborandi,2470.16,2022,2022/01/05,jaborandi,2022,1734316.0
Mata Atlântica,itarantim,18.82,2022,2022/11/30,itarantim,2022,203154.0
Mata Atlântica,valença,3.83,2022,2022/11/30,valença,2022,378871.0
Mata Atlântica,itarantim,9.73,2022,2022/11/30,itarantim,2022,203154.0
Mata Atlântica,camamu,7.17,2022,2022/10/31,camamu,2022,232571.0
Mata Atlântica,iguaí,0.58,2022,2022/09/30,iguaí,2022,277970.0
Mata Atlântica,camamu,0.69,2022,2022/09/30,camamu,2022,232571.0
Mata Atlântica,itagibá,5.32,2022,2022/09/30,itagibá,2022,288483.0
Cerrado,formosa do rio preto,3454.91,2022,2022/04/04,formosa do rio preto,2022,2432263.0
Mata Atlântica,ilhéus,0.73,2022,2022/11/30,ilhéus,2022,209209.0
Mata Atlântica,encruzilhada,1.66,2022,2022/11/30,encruzilhada,2022,414662.0
Mata Atlântica,itarantim,6.98,2022,2022/11/30,itarantim,2022,203154.0
Mata Atlântica,dário meira,21.15,2022,2022/10/31,dário meira,2022,217077.0
Caatinga,jequié,9.74,2022,2022/09/01,jequié,2022,498001.0
Caatinga,santa rita de cássia,4.23,2022,2022/08/01,santa rita de cássia,2022,569631.0
Cerrado,jaborandi,1986.71,2022,2022/04/10,jaborandi,2022,1734316.0
Caatinga,jequié,5.07,2022,2022/09/01,jequié,2022,498001.0
Mata Atlântica,jequié,2.64,2022,2022/10/31,jequié,2022,498001.0
Mata Atlântica,itarantim,15.55,2022,2022/10/31,itarantim,2022,203154.0
Mata Atlântica,itambé,12.52,2022,2022/10/31,itambé,2022,227632.0
Mata Atlântica,encruzilhada,1.33,2022,2022/10/31,encruzilhada,2022,414662.0
Mata Atlântica,encruzilhada,57.62,2022,2022/10/31,encruzilhada,2022,414662.0
Mata Atlântica,itambé,4.86,2022,2022/11/30,itambé,2022,227632.0
Mata Atlântica,ibicuí,3.41,2022,2022/10/31,ibicuí,2022,245755.0
Mata Atlântica,iguaí,0.96,2022,2022/10/31,iguaí,2022,277970.0
Mata Atlântica,encruzilhada,6.25,2022,2022/10/31,encruzilhada,2022,414662.0
Mata Atlântica,camamu,0.72,2022,2022/09/30,camamu,2022,232571.0
Mata Atlântica,dário meira,13.74,2022,2022/09/30,dário meira,2022,217077.0
Mata Atlântica,ilhéus,9.89,2022,2022/09/30,ilhéus,2022,209209.0
Mata Atlântica,itagibá,5.3,2022,2022/09/30,itagibá,2022,288483.0
Mata Atlântica,ilhéus,3.58,2022,2022/09/30,ilhéus,2022,209209.0
Mata Atlântica,iguaí,2.19,2022,2022/09/30,iguaí,2022,277970.0
Cerrado,jaborandi,2455.87,2022,2022/05/21,jaborandi,2022,1734316.0
Caatinga,santa rita de cássia,39.41,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,barra,758.46,2022,2022/09/01,barra,2022,312169.0
Cerrado,são desidério,15.32,2022,2022/01/28,são desidério,2022,2729422.0
Cerrado,baianópolis,11.16,2022,2022/03/28,baianópolis,2022,413632.0
Cerrado,formosa do rio preto,1.92,2022,2022/03/28,formosa do rio preto,2022,2432263.0
Cerrado,cotegipe,6.63,2022,2022/02/28,cotegipe,2022,297663.0
Cerrado,jaborandi,5.16,2022,2022/02/28,jaborandi,2022,1734316.0
Cerrado,jaborandi,2.28,2022,2022/02/28,jaborandi,2022,1734316.0
Cerrado,formosa do rio preto,2.81,2022,2022/07/28,formosa do rio preto,2022,2432263.0
Cerrado,barreiras,6.07,2022,2022/07/28,barreiras,2022,996163.0
Cerrado,barreiras,1.72,2022,2022/07/28,barreiras,2022,996163.0
Cerrado,riachão das neves,1.51,2022,2022/10/28,riachão das neves,2022,670183.0
Cerrado,cotegipe,2.07,2022,2022/11/28,cotegipe,2022,297663.0
Cerrado,são desidério,3.27,2022,2022/12/28,são desidério,2022,2729422.0
Cerrado,santa rita de cássia,4.86,2022,2022/11/28,santa rita de cássia,2022,569631.0
Cerrado,são desidério,10.39,2022,2022/12/28,são desidério,2022,2729422.0
Cerrado,cotegipe,2.12,2022,2022/12/28,cotegipe,2022,297663.0
Cerrado,santa rita de cássia,9.84,2022,2022/12/28,santa rita de cássia,2022,569631.0
Caatinga,barra,1.37,2022,2022/10/01,barra,2022,312169.0
Caatinga,santa rita de cássia,33.57,2022,2022/10/01,santa rita de cássia,2022,569631.0
Caatinga,barra,1.71,2022,2022/10/01,barra,2022,312169.0
Caatinga,barra,2.49,2022,2022/10/01,barra,2022,312169.0
Caatinga,barra,0.79,2022,2022/10/01,barra,2022,312169.0
Caatinga,santa rita de cássia,24.23,2022,2022/10/01,santa rita de cássia,2022,569631.0
Mata Atlântica,jequié,29.08,2022,2022/12/01,jequié,2022,498001.0
Caatinga,barra,1.64,2022,2022/10/01,barra,2022,312169.0
Caatinga,santa rita de cássia,0.64,2022,2022/11/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,1.87,2022,2022/11/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,9.87,2022,2022/10/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,8.61,2022,2022/10/01,santa rita de cássia,2022,569631.0
Cerrado,formosa do rio preto,13.71,2022,2022/10/01,formosa do rio preto,2022,2432263.0
Cerrado,formosa do rio preto,3.47,2022,2022/11/01,formosa do rio preto,2022,2432263.0
Cerrado,formosa do rio preto,36.4,2022,2022/11/01,formosa do rio preto,2022,2432263.0
Caatinga,santa rita de cássia,22.78,2022,2022/12/01,santa rita de cássia,2022,569631.0
Caatinga,cotegipe,6.06,2022,2022/11/01,cotegipe,2022,297663.0
Cerrado,santa rita de cássia,0.73,2022,2022/11/01,santa rita de cássia,2022,569631.0
Cerrado,formosa do rio preto,3.51,2022,2022/10/01,formosa do rio preto,2022,2432263.0
Cerrado,formosa do rio preto,4.3,2022,2022/10/01,formosa do rio preto,2022,2432263.0
Cerrado,formosa do rio preto,0.91,2022,2022/10/01,formosa do rio preto,2022,2432263.0
Cerrado,santa rita de cássia,12.73,2022,2022/11/01,santa rita de cássia,2022,569631.0
Cerrado,formosa do rio preto,2.51,2022,2022/10/01,formosa do rio preto,2022,2432263.0
Cerrado,santa rita de cássia,5.59,2022,2022/10/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,7.82,2022,2022/12/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,14.51,2022,2022/10/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,17.56,2022,2022/12/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,6.17,2022,2022/12/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,22.32,2022,2022/07/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,4.0,2022,2022/12/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,7.36,2022,2022/12/01,santa rita de cássia,2022,569631.0
Cerrado,são desidério,50.71,2022,2022/12/01,são desidério,2022,2729422.0
Cerrado,formosa do rio preto,29.6,2022,2022/11/01,formosa do rio preto,2022,2432263.0
Cerrado,formosa do rio preto,1.53,2022,2022/10/01,formosa do rio preto,2022,2432263.0
Cerrado,santa rita de cássia,76.15,2022,2022/12/01,santa rita de cássia,2022,569631.0
Cerrado,riachão das neves,47.89,2022,2022/12/01,riachão das neves,2022,670183.0
Cerrado,formosa do rio preto,0.69,2022,2022/12/01,formosa do rio preto,2022,2432263.0
Caatinga,barra,2.25,2022,2022/10/01,barra,2022,312169.0
Caatinga,santa rita de cássia,13.43,2022,2022/09/01,santa rita de cássia,2022,569631.0
Cerrado,cotegipe,2.26,2022,2022/11/01,cotegipe,2022,297663.0
Cerrado,santa rita de cássia,1.72,2022,2022/11/01,santa rita de cássia,2022,569631.0
Cerrado,formosa do rio preto,0.6,2022,2022/11/01,formosa do rio preto,2022,2432263.0
Cerrado,jaborandi,3.62,2022,2022/12/01,jaborandi,2022,1734316.0
Cerrado,cocos,2.9,2022,2022/12/01,cocos,2022,367625.0
Cerrado,jaborandi,3.49,2022,2022/12/01,jaborandi,2022,1734316.0
Cerrado,jaborandi,19.32,2022,2022/12/01,jaborandi,2022,1734316.0
Cerrado,baianópolis,3.3,2022,2022/12/01,baianópolis,2022,413632.0
Cerrado,correntina,21.93,2022,2022/12/01,correntina,2022,1473135.0
Cerrado,barreiras,11.55,2022,2022/12/01,barreiras,2022,996163.0
Cerrado,riachão das neves,18.22,2022,2022/12/01,riachão das neves,2022,670183.0
Cerrado,santa rita de cássia,4.89,2022,2022/12/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,6.51,2022,2022/12/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,1.26,2022,2022/12/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,10.21,2022,2022/12/01,santa rita de cássia,2022,569631.0
Cerrado,cocos,32.61,2022,2022/12/01,cocos,2022,367625.0
Cerrado,riachão das neves,5.57,2022,2022/12/01,riachão das neves,2022,670183.0
Cerrado,riachão das neves,51.68,2022,2022/12/01,riachão das neves,2022,670183.0
Cerrado,riachão das neves,92.6,2022,2022/12/01,riachão das neves,2022,670183.0
Cerrado,riachão das neves,6.16,2022,2022/10/01,riachão das neves,2022,670183.0
Mata Atlântica,encruzilhada,184.17,2022,2022/12/01,encruzilhada,2022,414662.0
Cerrado,cocos,4.49,2022,2022/12/01,cocos,2022,367625.0
Cerrado,cocos,5.69,2022,2022/12/01,cocos,2022,367625.0
Cerrado,santa rita de cássia,3.99,2022,2022/12/01,santa rita de cássia,2022,569631.0
Cerrado,riachão das neves,116.34,2022,2022/12/01,riachão das neves,2022,670183.0
Cerrado,cocos,11.57,2022,2022/12/01,cocos,2022,367625.0
Cerrado,baianópolis,3.32,2022,2022/12/01,baianópolis,2022,413632.0
Cerrado,riachão das neves,727.24,2022,2022/12/01,riachão das neves,2022,670183.0
Cerrado,santa rita de cássia,5.89,2022,2022/11/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,3.31,2022,2022/11/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,5.32,2022,2022/11/01,santa rita de cássia,2022,569631.0
Cerrado,formosa do rio preto,12.57,2022,2022/11/01,formosa do rio preto,2022,2432263.0
Cerrado,santa rita de cássia,7.16,2022,2022/11/01,santa rita de cássia,2022,569631.0
Caatinga,barra,0.47,2022,2022/12/01,barra,2022,312169.0
Cerrado,riachão das neves,116.2,2022,2022/10/01,riachão das neves,2022,670183.0
Cerrado,santa rita de cássia,2.98,2022,2022/11/01,santa rita de cássia,2022,569631.0
Caatinga,cocos,43.15,2022,2022/12/01,cocos,2022,367625.0
Cerrado,formosa do rio preto,28.64,2022,2022/12/01,formosa do rio preto,2022,2432263.0
Cerrado,correntina,1501.45,2022,2022/12/01,correntina,2022,1473135.0
Cerrado,baianópolis,60.14,2022,2022/12/01,baianópolis,2022,413632.0
Cerrado,formosa do rio preto,25.92,2022,2022/11/01,formosa do rio preto,2022,2432263.0
Cerrado,formosa do rio preto,4.87,2022,2022/10/01,formosa do rio preto,2022,2432263.0
Caatinga,cocos,8.73,2022,2022/12/01,cocos,2022,367625.0
Cerrado,santa rita de cássia,17.23,2022,2022/11/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,10.46,2022,2022/11/01,santa rita de cássia,2022,569631.0
Cerrado,formosa do rio preto,12.05,2022,2022/11/01,formosa do rio preto,2022,2432263.0
Cerrado,formosa do rio preto,3.57,2022,2022/11/01,formosa do rio preto,2022,2432263.0
Cerrado,formosa do rio preto,5.25,2022,2022/10/01,formosa do rio preto,2022,2432263.0
Caatinga,barra,1.76,2022,2022/10/01,barra,2022,312169.0
Caatinga,cocos,14.31,2022,2022/12/01,cocos,2022,367625.0
Cerrado,formosa do rio preto,1.38,2022,2022/11/01,formosa do rio preto,2022,2432263.0
Cerrado,formosa do rio preto,12.98,2022,2022/11/01,formosa do rio preto,2022,2432263.0
Cerrado,formosa do rio preto,15.21,2022,2022/11/01,formosa do rio preto,2022,2432263.0
Caatinga,cotegipe,36.85,2022,2022/12/01,cotegipe,2022,297663.0
Caatinga,barra,1.8,2022,2022/12/01,barra,2022,312169.0
Cerrado,santa rita de cássia,4.59,2022,2022/11/01,santa rita de cássia,2022,569631.0
Cerrado,santa rita de cássia,266.44,2022,2022/11/01,santa rita de cássia,2022,569631.0
Cerrado,barreiras,17.58,2022,2022/12/01,barreiras,2022,996163.0
Cerrado,santa rita de cássia,37.5,2022,2022/11/01,santa rita de cássia,2022,569631.0
Caatinga,barra,1.68,2022,2022/12/01,barra,2022,312169.0
Cerrado,santa rita de cássia,2406.65,2022,2022/12/01,santa rita de cássia,2022,569631.0
Cerrado,riachão das neves,2.23,2022,2022/11/01,riachão das neves,2022,670183.0
Caatinga,barra,16.0,2022,2022/12/01,barra,2022,312169.0
Caatinga,barra,2.81,2022,2022/11/01,barra,2022,312169.0
Caatinga,barra,1.23,2022,2022/11/01,barra,2022,312169.0
Caatinga,barra,2.02,2022,2022/11/01,barra,2022,312169.0
Caatinga,santa rita de cássia,28.69,2022,2022/12/01,santa rita de cássia,2022,569631.0
Caatinga,barra,0.56,2022,2022/12/01,barra,2022,312169.0
Caatinga,barra,1.27,2022,2022/12/01,barra,2022,312169.0
Caatinga,jaborandi,1.69,2022,2022/12/01,jaborandi,2022,1734316.0
Caatinga,cocos,7.19,2022,2022/12/01,cocos,2022,367625.0
Caatinga,barra,0.92,2022,2022/12/01,barra,2022,312169.0
Caatinga,santa rita de cássia,10.95,2022,2022/12/01,santa rita de cássia,2022,569631.0
Caatinga,barra,2.48,2022,2022/12/01,barra,2022,312169.0
Caatinga,barra,1.85,2022,2022/11/01,barra,2022,312169.0
Caatinga,barra,2.86,2022,2022/10/01,barra,2022,312169.0
Caatinga,jaborandi,14.37,2022,2022/10/01,jaborandi,2022,1734316.0
Caatinga,barra,1.11,2022,2022/11/01,barra,2022,312169.0
Caatinga,santa rita de cássia,6.11,2022,2022/11/01,santa rita de cássia,2022,569631.0
Caatinga,cocos,13.66,2022,2022/12/01,cocos,2022,367625.0
Caatinga,barra,1.08,2022,2022/12/01,barra,2022,312169.0
Caatinga,santa rita de cássia,6.99,2022,2022/11/01,santa rita de cássia,2022,569631.0
Caatinga,cocos,15.59,2022,2022/12/01,cocos,2022,367625.0
Caatinga,cocos,21.64,2022,2022/12/01,cocos,2022,367625.0
Cerrado,santa rita de cássia,8.44,2022,2022/10/01,santa rita de cássia,2022,569631.0
Caatinga,barra,0.98,2022,2022/10/01,barra,2022,312169.0
Caatinga,barra,4.65,2022,2022/10/01,barra,2022,312169.0
Caatinga,barra,281.35,2022,2022/12/01,barra,2022,312169.0
Caatinga,barra,116.26,2022,2022/09/01,barra,2022,312169.0
Caatinga,barra,335.27,2022,2022/09/01,barra,2022,312169.0
Caatinga,santa rita de cássia,3.55,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,santa rita de cássia,13.61,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,barra,1.18,2022,2022/10/01,barra,2022,312169.0
Caatinga,barra,0.34,2022,2022/11/01,barra,2022,312169.0
Caatinga,jequié,18.06,2022,2022/12/01,jequié,2022,498001.0
Caatinga,barra,0.74,2022,2022/11/01,barra,2022,312169.0
Caatinga,barra,0.87,2022,2022/12/01,barra,2022,312169.0
Caatinga,barra,2.58,2022,2022/11/01,barra,2022,312169.0
Caatinga,barra,1.75,2022,2022/11/01,barra,2022,312169.0
Caatinga,cocos,7.07,2022,2022/12/01,cocos,2022,367625.0
Caatinga,santa rita de cássia,19.44,2022,2022/09/01,santa rita de cássia,2022,569631.0
Caatinga,cocos,9.71,2022,2022/12/01,cocos,2022,367625.0
Caatinga,barra,14.76,2022,2022/11/01,barra,2022,312169.0
