BIOMA,ESTADO,MUNICIPIO,DTIMGANT,DTIMGDEP
Caatinga,BAHIA,Itaberaba,20/07/2023,03/02/2024
Caatinga,BAHIA,Miguel Calmon,13/04/2023,28/02/2024
Caatinga,BAHIA,Santa Rita de Cássia,31/03/2023,12/01/2024
Caatinga,BAHIA,Saúde,26/01/2023,31/01/2024
Caatinga,BAHIA,Morro do Chapéu,25/08/2023,31/01/2024
Caatinga,BAHIA,Nordestina,14/07/2023,21/03/2024
Caatinga,BAHIA,Boa Vista do Tupim,27/05/2023,03/02/2024
Caatinga,BAHIA,Morro do Chapéu,14/07/2023,28/10/2023
Caatinga,BAHIA,Barra,05/07/2023,31/08/2023
Caatinga,BAHIA,Itapicuru,07/01/2024,17/02/2024
Caatinga,BAHIA,Santa Rita de Cássia,31/07/2023,19/01/2024
Caatinga,BAHIA,Guajeru,09/07/2023,16/02/2024
Caatinga,BAHIA,Jeremoabo,14/04/2023,20/01/2024
Caatinga,BAHIA,Euclides da Cunha,14/07/2023,16/03/2024
Caatinga,BAHIA,Angical,10/06/2023,15/06/2023
Cerrado,BAHIA,Cocos,27/10/2021,26/11/2021
Caatinga,BAHIA,Ribeira do Amparo,21/01/2023,29/02/2024
Caatinga,BAHIA,Boa Vista do Tupim,19/04/2023,28/02/2024
Caatinga,BAHIA,Anagé,19/08/2023,06/02/2024
Caatinga,BAHIA,Boa Vista do Tupim,11/05/2023,11/02/2024
Caatinga,BAHIA,Milagres,20/05/2023,12/04/2024
Caatinga,BAHIA,Carinhanha,29/04/2023,15/02/2024
Caatinga,BAHIA,Jacaraci,16/04/2023,10/01/2024
Caatinga,BAHIA,São José do Jacuípe,21/04/2023,20/03/2024
Caatinga,BAHIA,Mulungu do Morro,14/06/2023,10/01/2024
Caatinga,BAHIA,Piatã,14/10/2023,14/01/2024
Caatinga,BAHIA,Santanópolis,29/04/2023,12/01/2024
Caatinga,BAHIA,Piatã,11/07/2023,14/10/2023
Caatinga,BAHIA,Barra,27/06/2023,19/10/2023
Caatinga,BAHIA,Guajeru,25/03/2023,31/01/2024
Caatinga,BAHIA,Santa Rita de Cássia,22/09/2023,24/10/2023
Caatinga,BAHIA,Feira de Santana,15/01/2023,12/01/2024
Caatinga,BAHIA,Carinhanha,14/02/2023,02/02/2024
Caatinga,BAHIA,Várzea Nova,05/08/2023,16/02/2024
Caatinga,BAHIA,Itaberaba,25/07/2023,01/04/2024
Caatinga,BAHIA,Remanso,19/08/2023,09/03/2024
Caatinga,BAHIA,Santa Brígida,04/05/2023,11/03/2024
Caatinga,BAHIA,Novo Triunfo,12/07/2023,22/03/2024
Caatinga,BAHIA,Monte Santo,13/08/2023,02/10/2023
Caatinga,BAHIA,Piripá,05/03/2023,25/02/2024
Caatinga,BAHIA,Monte Santo,06/09/2023,08/02/2024
Cerrado,BAHIA,São Desidério,17/10/2023,04/05/2024
Caatinga,BAHIA,Quijingue,21/04/2023,08/01/2024
Caatinga,BAHIA,Barra,16/05/2023,09/01/2024
Caatinga,BAHIA,Feira de Santana,13/12/2022,14/02/2024
Cerrado,BAHIA,Catolândia,07/12/2023,31/05/2024
Caatinga,BAHIA,Santa Rita de Cássia,10/08/2023,29/10/2023
Caatinga,BAHIA,Banzaê,21/04/2023,30/01/2024
Caatinga,BAHIA,Euclides da Cunha,27/09/2023,30/01/2024
Caatinga,BAHIA,Planaltino,23/01/2023,18/03/2024
Caatinga,BAHIA,Itatim,20/05/2023,31/01/2024
Caatinga,BAHIA,Barra,28/05/2023,15/01/2024
