BIOMA,ESTADO,MUNICIPIO,DTIMGANT,DTIMGDEP
Cerrado,BAHIA,Coribe,31/03/2022,28/10/2022
Cerrado,BAHIA,Formosa do Rio Preto,25/02/2022,26/03/2022
Cerrado,BAHIA,Formosa do Rio Preto,11/10/2022,12/02/2023
Cerrado,BAHIA,Formosa do Rio Preto,10/10/2022,09/02/2023
Caatinga,BAHIA,Santa Rita de Cássia,02/10/2022,31/12/2022
Caatinga,BAHIA,Quijingue,26/12/2020,11/08/2022
Caatinga,BAHIA,Remanso,04/09/2022,11/11/2022
Caatinga,BAHIA,Ibitiara,20/06/2022,12/11/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,27/06/2022,03/10/2022
Caatinga,BAHIA,Santana,05/09/2022,29/12/2022
Caatinga,BAHIA,Condeúba,18/03/2022,20/05/2022
Caatinga,BAHIA,Tremedal,10/06/2022,12/09/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,02/05/2022,31/08/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,13/12/2021,01/10/2022
Caatinga,BAHIA,Paratinga,20/03/2022,08/07/2022
Caatinga,BAHIA,Buritirama,09/04/2022,21/04/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,03/08/2022,17/11/2022
Caatinga,BAHIA,Paratinga,21/07/2022,17/01/2023
Caatinga,BAHIA,Cotegipe,28/07/2022,01/01/2023
Caatinga,BAHIA,Campo Alegre de Lourdes,15/06/2022,12/09/2022
Cerrado,BAHIA,Santa Rita de Cássia,12/05/2022,23/05/2022
Cerrado,BAHIA,Canápolis,28/08/2022,07/12/2022
Cerrado,BAHIA,Formosa do Rio Preto,18/07/2022,26/08/2022
Cerrado,BAHIA,Tabocas do Brejo Velho,10/03/2022,11/04/2022
Cerrado,BAHIA,Igaporã,02/07/2022,18/10/2022
Cerrado,BAHIA,Formosa do Rio Preto,15/07/2020,29/08/2020
Cerrado,BAHIA,Formosa do Rio Preto,16/05/2022,25/05/2022
Cerrado,BAHIA,Santa Rita de Cássia,29/09/2022,20/10/2022
Cerrado,BAHIA,Santana,23/07/2022,11/08/2022
Cerrado,BAHIA,Formosa do Rio Preto,29/04/2022,28/05/2022
Caatinga,BAHIA,Macaúbas,15/07/2022,11/11/2022
Cerrado,BAHIA,Santa Rita de Cássia,09/04/2022,23/11/2022
Cerrado,BAHIA,Santa Rita de Cássia,11/06/2022,08/12/2022
Cerrado,BAHIA,Santa Rita de Cássia,03/06/2022,11/09/2022
Caatinga,BAHIA,Ibipeba,30/06/2021,09/04/2022
Caatinga,BAHIA,Buritirama,28/05/2022,30/12/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,20/06/2022,13/12/2022
Caatinga,BAHIA,Remanso,18/09/2022,07/12/2022
Caatinga,BAHIA,Remanso,06/06/2022,07/12/2022
Caatinga,BAHIA,Livramento de Nossa Senhora,19/06/2022,08/12/2022
Caatinga,BAHIA,Santa Rita de Cássia,12/08/2022,07/12/2022
Caatinga,BAHIA,Palmas de Monte Alto,31/07/2022,28/08/2022
Caatinga,BAHIA,Paratinga,20/05/2022,21/08/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,06/08/2022,24/11/2022
Caatinga,BAHIA,Santa Rita de Cássia,27/04/2022,01/10/2022
Caatinga,BAHIA,Carinhanha,09/05/2022,11/10/2022
Caatinga,BAHIA,Buritirama,25/06/2022,07/12/2022
Caatinga,BAHIA,Remanso,09/06/2022,10/09/2022
Caatinga,BAHIA,Novo Horizonte,14/03/2022,20/12/2022
Caatinga,BAHIA,Sebastião Laranjeiras,13/07/2022,06/12/2022
Caatinga,BAHIA,Santa Rita de Cássia,16/06/2021,31/05/2022
Caatinga,BAHIA,Monte Santo,05/10/2021,22/10/2022
Caatinga,BAHIA,Carinhanha,04/04/2022,13/09/2022
Caatinga,BAHIA,Santa Rita de Cássia,27/02/2022,10/01/2023
Caatinga,BAHIA,Buritirama,03/06/2022,01/09/2022
Caatinga,BAHIA,Casa Nova,13/05/2022,20/12/2022
Caatinga,BAHIA,Buritirama,04/02/2022,21/12/2022
Mata Atlântica,BAHIA,Vitória da Conquista,04/10/2022,12/12/2022
Mata Atlântica,BAHIA,Prado,11/09/2022,31/12/2022
Caatinga,BAHIA,Ibitiara,30/12/2021,18/06/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,10/05/2022,27/09/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,28/05/2022,27/08/2022
Caatinga,BAHIA,Palmas de Monte Alto,22/07/2022,17/10/2022
Caatinga,BAHIA,Santa Rita de Cássia,10/05/2022,26/06/2022
Caatinga,BAHIA,Brumado,08/07/2022,07/10/2022
Cerrado,BAHIA,São Desidério,17/01/2023,10/02/2023
Caatinga,BAHIA,Jeremoabo,02/02/2022,05/10/2022
Caatinga,BAHIA,Antas,09/01/2022,03/10/2022
Cerrado,BAHIA,Formosa do Rio Preto,29/06/2022,12/12/2022
Caatinga,BAHIA,Angical,05/02/2022,10/01/2023
Cerrado,BAHIA,Igaporã,01/04/2022,28/12/2022
Cerrado,BAHIA,Formosa do Rio Preto,28/05/2022,18/10/2022
Cerrado,BAHIA,Santa Rita de Cássia,02/09/2022,09/03/2023
Mata Atlântica,BAHIA,Vera Cruz,14/10/2022,01/03/2023
Mata Atlântica,BAHIA,Araçás,13/12/2022,25/01/2023
Mata Atlântica,BAHIA,Simões Filho,22/02/2022,20/02/2023
Cerrado,BAHIA,Riachão das Neves,23/05/2022,14/08/2022
Mata Atlântica,BAHIA,São Sebastião do Passé,08/08/2022,27/02/2023
Mata Atlântica,BAHIA,Pedrão,17/12/2022,03/03/2023
Mata Atlântica,BAHIA,Ubaíra,29/07/2022,11/01/2023
Mata Atlântica,BAHIA,Camaçari,21/09/2022,30/03/2023
Caatinga,BAHIA,Buritirama,17/06/2022,07/12/2022
Cerrado,BAHIA,Formosa do Rio Preto,03/02/2022,27/02/2022
Mata Atlântica,BAHIA,Wenceslau Guimarães,18/06/2022,28/01/2023
Mata Atlântica,BAHIA,Ibirapitanga,22/09/2022,14/01/2023
Caatinga,BAHIA,Santa Terezinha,04/08/2022,04/10/2022
Caatinga,BAHIA,Barra,29/06/2022,22/10/2022
Caatinga,BAHIA,Paratinga,08/06/2022,06/10/2022
Caatinga,BAHIA,Tanhaçu,24/05/2021,15/09/2021
Caatinga,BAHIA,Santa Rita de Cássia,01/07/2022,09/07/2022
Caatinga,BAHIA,Guajeru,18/01/2022,28/10/2022
Caatinga,BAHIA,Anagé,22/05/2021,15/09/2022
Cerrado,BAHIA,Matina,17/06/2022,28/12/2022
Caatinga,BAHIA,Buritirama,15/06/2022,11/02/2023
Caatinga,BAHIA,Paratinga,27/05/2022,13/02/2023
Caatinga,BAHIA,Matina,29/09/2022,17/10/2022
Caatinga,BAHIA,Morpará,23/06/2022,09/12/2022
Caatinga,BAHIA,Macaúbas,12/03/2022,05/08/2022
Caatinga,BAHIA,Carinhanha,14/07/2022,28/10/2022
Caatinga,BAHIA,Várzea Nova,16/06/2022,23/10/2022
Cerrado,BAHIA,Matina,10/02/2022,17/06/2022
Cerrado,BAHIA,Cotegipe,07/09/2022,21/10/2022
Cerrado,BAHIA,Santa Rita de Cássia,06/05/2022,22/05/2022
Cerrado,BAHIA,Formosa do Rio Preto,06/04/2022,11/11/2022
Cerrado,BAHIA,Jaborandi,04/02/2022,24/03/2022
Cerrado,BAHIA,Tabocas do Brejo Velho,16/09/2022,28/10/2022
Cerrado,BAHIA,Cocos,04/04/2022,20/04/2022
Cerrado,BAHIA,Coribe,14/10/2018,15/03/2023
Cerrado,BAHIA,Jaborandi,06/06/2022,07/12/2022
Cerrado,BAHIA,Jaborandi,09/07/2022,10/08/2022
Cerrado,BAHIA,Baianópolis,23/07/2022,14/09/2022
Cerrado,BAHIA,Correntina,10/04/2022,11/08/2022
Cerrado,BAHIA,Barreiras,27/06/2022,16/09/2022
Cerrado,BAHIA,Brejolândia,27/07/2022,04/09/2022
Cerrado,BAHIA,Caetité,10/04/2022,10/06/2022
Cerrado,BAHIA,Caetité,14/03/2022,28/05/2022
Cerrado,BAHIA,Riachão das Neves,10/05/2022,02/01/2023
Cerrado,BAHIA,Santa Rita de Cássia,26/09/2022,07/12/2022
Cerrado,BAHIA,Canápolis,31/03/2021,30/06/2021
Cerrado,BAHIA,Santa Rita de Cássia,28/10/2022,13/11/2022
Cerrado,BAHIA,Luís Eduardo Magalhães,18/10/2022,13/12/2022
Mata Atlântica,BAHIA,Aporá,08/08/2022,13/12/2022
Mata Atlântica,BAHIA,Araçás,13/12/2022,21/01/2023
Mata Atlântica,BAHIA,Esplanada,09/08/2022,13/12/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,30/03/2022,27/09/2022
Caatinga,BAHIA,Macaúbas,25/06/2022,30/12/2022
Caatinga,BAHIA,Boninal,19/05/2022,15/07/2022
Caatinga,BAHIA,Pilão Arcado,29/05/2022,14/10/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,23/05/2022,26/08/2022
Caatinga,BAHIA,Buritirama,27/04/2022,14/05/2022
Caatinga,BAHIA,Buritirama,16/07/2022,22/11/2022
Cerrado,BAHIA,Santa Rita de Cássia,23/05/2022,31/12/2022
Cerrado,BAHIA,Santa Rita de Cássia,18/07/2022,09/09/2022
Cerrado,BAHIA,Cocos,20/10/2022,07/12/2022
Cerrado,BAHIA,Riachão das Neves,30/06/2022,09/07/2022
Cerrado,BAHIA,Macaúbas,02/05/2022,09/09/2022
Cerrado,BAHIA,Caetité,12/05/2022,16/10/2022
Cerrado,BAHIA,Canápolis,10/05/2022,28/07/2022
Cerrado,BAHIA,Coribe,04/04/2022,14/08/2022
Caatinga,BAHIA,Macaúbas,13/07/2022,29/12/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,25/07/2022,29/09/2022
Caatinga,BAHIA,Muquém do São Francisco,16/06/2022,06/09/2022
Cerrado,BAHIA,Riachão das Neves,08/06/2022,24/03/2023
Cerrado,BAHIA,Caetité,01/12/2020,28/12/2022
Cerrado,BAHIA,Riachão das Neves,17/08/2022,09/03/2023
Cerrado,BAHIA,Riachão das Neves,22/06/2022,30/12/2022
Mata Atlântica,BAHIA,Santo Antônio de Jesus,27/07/2022,20/03/2023
Mata Atlântica,BAHIA,Itanagra,04/10/2022,29/01/2023
Mata Atlântica,BAHIA,Encruzilhada,10/08/2022,31/03/2023
Mata Atlântica,BAHIA,Araçás,16/07/2022,05/02/2023
Cerrado,BAHIA,Cocos,10/03/2022,10/04/2022
Cerrado,BAHIA,Caetité,08/04/2022,30/06/2022
Cerrado,BAHIA,Cocos,06/01/2021,29/10/2021
Cerrado,BAHIA,Santa Rita de Cássia,09/04/2022,23/06/2022
Cerrado,BAHIA,Riachão das Neves,25/05/2022,13/11/2022
Cerrado,BAHIA,Cocos,20/01/2022,12/10/2022
Cerrado,BAHIA,Baianópolis,04/06/2022,09/06/2022
Mata Atlântica,BAHIA,Camamu,03/10/2022,05/02/2023
Cerrado,BAHIA,Igaporã,26/08/2022,28/12/2022
Cerrado,BAHIA,Riachão das Neves,10/09/2022,30/01/2023
Cerrado,BAHIA,Santa Rita de Cássia,30/05/2022,23/11/2022
Cerrado,BAHIA,Santa Rita de Cássia,17/06/2022,09/09/2022
Mata Atlântica,BAHIA,Esplanada,24/08/2022,06/02/2023
Cerrado,BAHIA,Santa Rita de Cássia,11/09/2022,15/09/2022
Mata Atlântica,BAHIA,Jandaíra,09/08/2022,21/10/2022
Mata Atlântica,BAHIA,Camamu,09/08/2022,23/03/2023
Mata Atlântica,BAHIA,Aporá,07/08/2022,26/01/2023
Mata Atlântica,BAHIA,Jandaíra,29/09/2022,15/02/2023
Mata Atlântica,BAHIA,Entre Rios,16/09/2022,25/01/2023
Mata Atlântica,BAHIA,Jandaíra,09/08/2022,25/01/2023
Cerrado,BAHIA,Formosa do Rio Preto,03/06/2022,03/07/2022
Cerrado,BAHIA,Santa Rita de Cássia,22/01/2022,23/11/2022
Cerrado,BAHIA,Riacho de Santana,28/08/2022,18/10/2022
Mata Atlântica,BAHIA,Catu,02/08/2022,02/02/2023
Mata Atlântica,BAHIA,Aporá,06/07/2022,13/12/2022
Cerrado,BAHIA,Macaúbas,31/05/2022,18/06/2022
Mata Atlântica,BAHIA,Teodoro Sampaio,11/08/2022,16/03/2023
Mata Atlântica,BAHIA,São Sebastião do Passé,04/10/2022,27/02/2023
Mata Atlântica,BAHIA,Entre Rios,25/08/2022,25/01/2023
Mata Atlântica,BAHIA,Camamu,18/08/2022,31/12/2022
Mata Atlântica,BAHIA,Rio Real,04/09/2022,31/12/2022
Caatinga,BAHIA,Casa Nova,31/10/2022,21/12/2022
Mata Atlântica,BAHIA,Teodoro Sampaio,04/10/2022,13/12/2022
Mata Atlântica,BAHIA,Coração de Maria,11/08/2022,17/12/2022
Caatinga,BAHIA,Barra,01/08/2022,23/10/2022
Cerrado,BAHIA,Riachão das Neves,28/10/2022,02/01/2023
Mata Atlântica,BAHIA,Jandaíra,09/08/2022,29/09/2022
Cerrado,BAHIA,Matina,29/10/2022,29/12/2022
Mata Atlântica,BAHIA,Dário Meira,03/07/2022,12/12/2022
Cerrado,BAHIA,Santa Rita de Cássia,27/05/2022,21/08/2022
Cerrado,BAHIA,Canápolis,25/08/2021,15/05/2022
Caatinga,BAHIA,Cocos,23/06/2022,29/08/2022
Cerrado,BAHIA,Serra Dourada,17/06/2022,30/07/2022
Cerrado,BAHIA,Formosa do Rio Preto,22/01/2022,24/02/2022
Cerrado,BAHIA,Caetité,14/05/2022,31/07/2022
Mata Atlântica,BAHIA,Maiquinique,12/09/2022,24/01/2023
Mata Atlântica,BAHIA,Itapetinga,13/09/2022,05/02/2023
Mata Atlântica,BAHIA,Jaguaripe,24/08/2022,26/01/2023
Cerrado,BAHIA,Tabocas do Brejo Velho,18/08/2020,02/09/2020
Caatinga,BAHIA,Carinhanha,30/03/2022,17/05/2022
Caatinga,BAHIA,Anagé,13/09/2022,05/02/2023
Caatinga,BAHIA,Presidente Jânio Quadros,07/04/2022,17/06/2022
Caatinga,BAHIA,Buritirama,08/06/2022,07/12/2022
Mata Atlântica,BAHIA,Santa Luzia,10/08/2022,04/02/2023
Mata Atlântica,BAHIA,Prado,23/09/2022,25/02/2023
Cerrado,BAHIA,Mortugaba,04/07/2021,25/11/2021
Cerrado,BAHIA,Correntina,16/10/2022,24/03/2023
Cerrado,BAHIA,Igaporã,31/07/2022,26/10/2022
Cerrado,BAHIA,Baianópolis,14/09/2022,17/01/2023
Cerrado,BAHIA,Formosa do Rio Preto,03/02/2022,31/12/2022
Mata Atlântica,BAHIA,Mascote,08/08/2022,02/02/2023
Mata Atlântica,BAHIA,Nova Viçosa,05/11/2022,03/02/2023
Cerrado,BAHIA,Formosa do Rio Preto,12/07/2022,19/08/2022
Mata Atlântica,BAHIA,Itanagra,24/07/2022,21/12/2022
Mata Atlântica,BAHIA,Santa Luzia,09/06/2022,30/03/2023
Caatinga,BAHIA,Botuporã,20/03/2022,12/12/2022
Caatinga,BAHIA,Sento Sé,18/06/2022,08/12/2022
Cerrado,BAHIA,Baianópolis,04/08/2022,15/01/2023
Cerrado,BAHIA,Correntina,20/10/2022,25/03/2023
Cerrado,BAHIA,São Desidério,17/10/2022,07/02/2023
Cerrado,BAHIA,Santa Rita de Cássia,07/12/2022,13/02/2023
Cerrado,BAHIA,Santa Rita de Cássia,13/01/2023,02/03/2023
Cerrado,BAHIA,Formosa do Rio Preto,30/06/2022,10/02/2023
Cerrado,BAHIA,Tabocas do Brejo Velho,17/01/2023,19/02/2023
Cerrado,BAHIA,Jaborandi,10/12/2022,24/02/2023
Cerrado,BAHIA,Riachão das Neves,08/12/2022,12/02/2023
Cerrado,BAHIA,Correntina,15/01/2023,07/02/2023
Cerrado,BAHIA,Formosa do Rio Preto,28/10/2022,09/01/2023
Cerrado,BAHIA,Barreiras,31/01/2023,10/02/2023
Cerrado,BAHIA,São Desidério,13/10/2022,25/02/2023
Cerrado,BAHIA,Baianópolis,20/10/2022,31/01/2023
Cerrado,BAHIA,Baianópolis,30/01/2023,01/04/2023
Cerrado,BAHIA,Formosa do Rio Preto,29/06/2022,13/02/2023
Cerrado,BAHIA,São Desidério,01/01/2023,23/02/2023
Cerrado,BAHIA,Cocos,24/08/2022,02/09/2022
Cerrado,BAHIA,Barreiras,29/04/2022,29/09/2022
Cerrado,BAHIA,Jaborandi,13/11/2022,11/01/2023
Cerrado,BAHIA,Barreiras,31/01/2023,02/03/2023
Cerrado,BAHIA,São Desidério,13/11/2022,17/01/2023
Cerrado,BAHIA,Santa Rita de Cássia,22/10/2022,17/01/2023
Cerrado,BAHIA,Jaborandi,02/01/2023,15/02/2023
Cerrado,BAHIA,Correntina,13/11/2022,01/01/2023
Cerrado,BAHIA,Cocos,17/01/2023,25/02/2023
Cerrado,BAHIA,Tabocas do Brejo Velho,22/10/2022,15/02/2023
Cerrado,BAHIA,Jaborandi,28/10/2022,27/02/2023
Cerrado,BAHIA,Cristópolis,18/10/2022,08/12/2022
Cerrado,BAHIA,São Desidério,02/01/2023,10/03/2023
Cerrado,BAHIA,Santa Rita de Cássia,08/01/2023,10/03/2023
Cerrado,BAHIA,São Desidério,19/10/2022,29/03/2023
Cerrado,BAHIA,Catolândia,04/05/2022,31/01/2023
Caatinga,BAHIA,Cocos,13/10/2022,24/01/2023
Cerrado,BAHIA,Santa Rita de Cássia,12/05/2021,12/12/2022
Cerrado,BAHIA,Brejolândia,27/09/2022,12/10/2022
Cerrado,BAHIA,Santa Rita de Cássia,09/06/2022,06/08/2022
Cerrado,BAHIA,Formosa do Rio Preto,14/12/2021,09/03/2022
Cerrado,BAHIA,Formosa do Rio Preto,02/04/2022,25/01/2023
Caatinga,BAHIA,Carinhanha,12/04/2022,23/05/2022
Caatinga,BAHIA,Bom Jesus da Lapa,02/10/2022,30/12/2022
Caatinga,BAHIA,Boninal,23/04/2022,28/12/2022
Caatinga,BAHIA,Sento Sé,07/04/2022,11/08/2022
Caatinga,BAHIA,Jacaraci,02/05/2022,04/08/2022
Caatinga,BAHIA,Casa Nova,30/06/2022,12/09/2022
Caatinga,BAHIA,Buritirama,29/07/2022,31/12/2022
Caatinga,BAHIA,Buritirama,24/07/2022,01/01/2023
Caatinga,BAHIA,Macaúbas,23/04/2022,27/09/2022
Caatinga,BAHIA,Casa Nova,01/07/2022,03/08/2022
Caatinga,BAHIA,Brumado,15/08/2022,28/12/2022
Caatinga,BAHIA,Buritirama,01/07/2022,31/12/2022
Caatinga,BAHIA,Brotas de Macaúbas,23/04/2022,28/12/2022
Cerrado,BAHIA,Formosa do Rio Preto,28/10/2022,31/12/2022
Cerrado,BAHIA,Formosa do Rio Preto,29/04/2022,31/05/2022
Cerrado,BAHIA,Brejolândia,05/09/2022,18/10/2022
Caatinga,BAHIA,Cafarnaum,26/06/2022,20/10/2022
Caatinga,BAHIA,Barra,07/06/2022,11/07/2022
Caatinga,BAHIA,Buritirama,17/07/2022,12/12/2022
Caatinga,BAHIA,Riacho de Santana,28/02/2022,30/12/2022
Caatinga,BAHIA,Pilão Arcado,29/05/2022,15/10/2022
Caatinga,BAHIA,Buritirama,06/05/2022,31/12/2022
Caatinga,BAHIA,Ibitiara,14/08/2022,29/12/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,17/06/2022,17/10/2022
Caatinga,BAHIA,Carinhanha,09/02/2022,07/12/2022
Caatinga,BAHIA,Buritirama,10/08/2022,01/01/2023
Caatinga,BAHIA,Anagé,03/04/2022,28/12/2022
Caatinga,BAHIA,Maracás,18/01/2022,13/12/2022
Caatinga,BAHIA,Iramaia,06/08/2022,21/12/2022
Caatinga,BAHIA,Cocos,16/12/2021,30/12/2022
Caatinga,BAHIA,Sento Sé,26/06/2022,30/12/2022
Caatinga,BAHIA,Mirante,29/09/2022,21/12/2022
Caatinga,BAHIA,Rio de Contas,19/10/2022,28/12/2022
Caatinga,BAHIA,Pilão Arcado,19/06/2022,31/12/2022
Cerrado,BAHIA,Formosa do Rio Preto,09/06/2022,16/06/2022
Cerrado,BAHIA,Matina,20/09/2022,16/10/2022
Cerrado,BAHIA,Serra Dourada,29/07/2022,31/12/2022
Cerrado,BAHIA,Formosa do Rio Preto,21/01/2022,31/12/2022
Cerrado,BAHIA,Formosa do Rio Preto,31/08/2022,28/09/2022
Cerrado,BAHIA,Canápolis,05/08/2021,26/05/2022
Cerrado,BAHIA,Brejolândia,07/12/2022,01/01/2023
Caatinga,BAHIA,Remanso,20/01/2022,28/02/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,21/04/2022,13/12/2022
Caatinga,BAHIA,Buritirama,30/06/2022,01/01/2023
Caatinga,BAHIA,Pilão Arcado,23/05/2022,07/12/2022
Caatinga,BAHIA,Buritirama,01/05/2022,24/10/2022
Caatinga,BAHIA,Buritirama,20/07/2022,07/12/2022
Caatinga,BAHIA,Carinhanha,30/05/2022,17/01/2023
Caatinga,BAHIA,Caetité,28/04/2022,10/10/2022
Caatinga,BAHIA,América Dourada,21/08/2022,09/10/2022
Cerrado,BAHIA,Baianópolis,05/12/2022,05/03/2023
Cerrado,BAHIA,Correntina,28/10/2022,02/02/2023
Cerrado,BAHIA,Cristópolis,28/10/2022,13/11/2022
Cerrado,BAHIA,Santa Rita de Cássia,25/05/2022,10/03/2023
Caatinga,BAHIA,Cordeiros,16/10/2022,28/12/2022
Caatinga,BAHIA,Riacho de Santana,02/10/2021,28/10/2022
Caatinga,BAHIA,Brotas de Macaúbas,07/04/2022,30/10/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,14/05/2022,12/11/2022
Caatinga,BAHIA,Cotegipe,18/08/2022,12/11/2022
Caatinga,BAHIA,Condeúba,15/07/2022,07/10/2022
Caatinga,BAHIA,Bom Jesus da Lapa,07/04/2022,29/09/2022
Caatinga,BAHIA,Barra,03/06/2022,04/08/2022
Caatinga,BAHIA,Macaúbas,09/09/2022,20/12/2022
Caatinga,BAHIA,Macaúbas,17/06/2022,31/07/2022
Cerrado,BAHIA,Formosa do Rio Preto,20/10/2022,09/02/2023
Cerrado,BAHIA,Santa Rita de Cássia,20/08/2022,24/08/2022
Cerrado,BAHIA,Santa Rita de Cássia,25/02/2022,08/03/2023
Cerrado,BAHIA,Matina,30/03/2022,07/04/2022
Cerrado,BAHIA,Canápolis,20/06/2022,03/09/2022
Cerrado,BAHIA,Canápolis,07/04/2022,23/04/2022
Caatinga,BAHIA,Condeúba,21/07/2022,06/02/2023
Cerrado,BAHIA,Barreiras,27/06/2022,09/07/2022
Cerrado,BAHIA,Santa Rita de Cássia,16/12/2021,22/01/2022
Caatinga,BAHIA,Curaçá,01/02/2022,25/04/2022
Caatinga,BAHIA,Buritirama,13/06/2022,29/12/2022
Caatinga,BAHIA,Barra,29/08/2022,30/12/2022
Caatinga,BAHIA,Bom Jesus da Lapa,28/05/2022,07/12/2022
Cerrado,BAHIA,Correntina,14/10/2022,17/01/2023
Caatinga,BAHIA,Pilão Arcado,04/04/2022,17/07/2022
Caatinga,BAHIA,Buritirama,05/07/2022,07/12/2022
Caatinga,BAHIA,Brumado,29/09/2022,10/02/2023
Cerrado,BAHIA,Santa Rita de Cássia,22/10/2022,31/03/2023
Caatinga,BAHIA,Livramento de Nossa Senhora,10/04/2022,10/08/2022
Cerrado,BAHIA,Riachão das Neves,28/02/2022,28/07/2022
Caatinga,BAHIA,Santana,19/08/2022,28/12/2022
Caatinga,BAHIA,Olindina,08/06/2022,17/12/2022
Caatinga,BAHIA,Barra,24/03/2021,21/11/2021
Caatinga,BAHIA,Tanhaçu,17/09/2022,21/12/2022
Caatinga,BAHIA,Brumado,14/04/2022,18/06/2022
Caatinga,BAHIA,Jussiape,13/12/2021,28/12/2022
Caatinga,BAHIA,Pilão Arcado,27/04/2022,22/05/2022
Caatinga,BAHIA,Boninal,24/04/2022,12/12/2022
Caatinga,BAHIA,Ituaçu,12/01/2022,28/12/2022
Caatinga,BAHIA,Botuporã,12/05/2022,30/12/2022
Caatinga,BAHIA,Serra do Ramalho,06/08/2022,07/12/2022
Caatinga,BAHIA,Buritirama,12/06/2022,31/12/2022
Caatinga,BAHIA,Ituaçu,27/03/2022,28/12/2022
Caatinga,BAHIA,Pilão Arcado,30/06/2022,20/12/2022
Caatinga,BAHIA,Livramento de Nossa Senhora,14/10/2022,28/12/2022
Caatinga,BAHIA,Brumado,07/04/2022,17/06/2022
Caatinga,BAHIA,Iaçu,22/05/2022,05/07/2022
Caatinga,BAHIA,Carinhanha,21/04/2022,29/12/2022
Caatinga,BAHIA,Carinhanha,18/01/2022,01/01/2023
Caatinga,BAHIA,Palmas de Monte Alto,31/05/2022,30/12/2022
Caatinga,BAHIA,Buritirama,10/08/2022,21/12/2022
Caatinga,BAHIA,Macaúbas,10/09/2022,29/12/2022
Caatinga,BAHIA,Boninal,30/05/2022,06/02/2023
Caatinga,BAHIA,Livramento de Nossa Senhora,05/08/2022,05/09/2022
Caatinga,BAHIA,Livramento de Nossa Senhora,10/04/2022,09/10/2022
Caatinga,BAHIA,Itaeté,28/06/2022,24/02/2023
Caatinga,BAHIA,Presidente Jânio Quadros,19/01/2022,12/12/2022
Caatinga,BAHIA,Dom Basílio,17/07/2022,08/12/2022
Caatinga,BAHIA,Brumado,12/09/2022,28/12/2022
Caatinga,BAHIA,Riacho de Santana,23/04/2022,07/06/2022
Cerrado,BAHIA,Cristópolis,21/10/2022,29/12/2022
Caatinga,BAHIA,Brotas de Macaúbas,06/12/2021,28/12/2022
Caatinga,BAHIA,Carinhanha,13/12/2021,13/01/2023
Cerrado,BAHIA,Luís Eduardo Magalhães,02/10/2022,14/02/2023
Caatinga,BAHIA,Carinhanha,30/06/2022,13/07/2022
Caatinga,BAHIA,Guajeru,30/07/2022,12/12/2022
Caatinga,BAHIA,Buritirama,13/06/2022,27/09/2022
Cerrado,BAHIA,São Desidério,13/11/2022,17/01/2023
Cerrado,BAHIA,Luís Eduardo Magalhães,07/06/2022,02/01/2023
Cerrado,BAHIA,Baianópolis,02/10/2022,21/02/2023
Caatinga,BAHIA,Bom Jesus da Lapa,15/08/2022,09/02/2023
Cerrado,BAHIA,Jaborandi,17/01/2023,30/03/2023
Cerrado,BAHIA,Tabocas do Brejo Velho,05/07/2022,02/01/2023
Caatinga,BAHIA,Buritirama,28/07/2021,18/11/2021
Caatinga,BAHIA,Ibipitanga,15/08/2022,13/01/2023
Caatinga,BAHIA,Brumado,19/01/2022,01/04/2022
Caatinga,BAHIA,Matina,04/03/2022,07/12/2022
Caatinga,BAHIA,Contendas do Sincorá,05/09/2022,12/11/2022
Caatinga,BAHIA,Angical,31/03/2022,05/07/2022
Caatinga,BAHIA,Paramirim,24/04/2022,20/09/2022
Caatinga,BAHIA,Casa Nova,31/07/2022,07/11/2022
Caatinga,BAHIA,Casa Nova,31/10/2022,21/12/2022
Caatinga,BAHIA,São Félix do Coribe,14/02/2022,05/04/2022
Caatinga,BAHIA,Barra,26/04/2022,08/12/2022
Caatinga,BAHIA,Barra,09/02/2022,14/01/2023
Caatinga,BAHIA,Campo Alegre de Lourdes,16/02/2022,12/11/2022
Caatinga,BAHIA,Malhada,24/02/2022,13/11/2022
Caatinga,BAHIA,Buritirama,02/06/2022,22/11/2022
Caatinga,BAHIA,Palmas de Monte Alto,08/07/2022,28/12/2022
Caatinga,BAHIA,Buritirama,14/05/2022,09/02/2023
Caatinga,BAHIA,Pilão Arcado,27/07/2022,13/12/2022
Caatinga,BAHIA,Angical,19/07/2022,28/08/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,11/06/2022,16/11/2022
Caatinga,BAHIA,Paratinga,12/06/2022,16/10/2022
Caatinga,BAHIA,Campo Alegre de Lourdes,19/11/2021,24/11/2022
