CODEALERTA;FONTE;BIOMA;ESTADO;MUNICIPIO;AREAHA;ANODETEC;DATADETEC;DTIMGANT;DTIMGDEP;DTPUBLI;VPRESSAO
1226926;{SAD-CAATINGA};Caatinga;BAHIA;Iaçu;29.600.000.000;20.240.000.000.000;01/01/2024;26/01/2023;14/02/2024;30/04/2024;agriculture
1226922;{SAD-CAATINGA};Caatinga;BAHIA;Miguel Calmon;16.900.000.000;20.240.000.000.000;01/01/2024;30/06/2023;31/01/2024;30/04/2024;agriculture
1227303;{SAD-CAATINGA};Caatinga;BAHIA;Buritirama;20.500.000.000;20.240.000.000.000;01/01/2024;17/03/2023;10/10/2023;30/04/2024;agriculture
1227296;{SAD-CAATINGA};Caatinga;BAHIA;Piatã;0.6900000000;20.240.000.000.000;01/01/2024;27/04/2023;17/06/2023;30/04/2024;agriculture
1227291;{SAD-CAATINGA};Caatinga;BAHIA;Cotegipe;239.700.000.000;20.240.000.000.000;01/01/2024;12/08/2023;17/10/2023;30/04/2024;agriculture
1226810;{SAD-CAATINGA};Caatinga;BAHIA;Jeremoabo;75.600.000.000;20.240.000.000.000;01/01/2024;26/01/2023;28/10/2023;30/04/2024;agriculture
1226805;{SAD-CAATINGA};Caatinga;BAHIA;Riacho de Santana;489.300.000.000;20.240.000.000.000;01/01/2024;27/02/2022;01/04/2023;30/04/2024;agriculture
1226750;{SAD-CAATINGA};Caatinga;BAHIA;Jeremoabo;110.400.000.000;20.240.000.000.000;01/01/2024;14/04/2023;20/01/2024;30/04/2024;agriculture
1226744;{SAD-CAATINGA};Caatinga;BAHIA;Mundo Novo;13.300.000.000;20.240.000.000.000;01/01/2024;19/04/2023;08/01/2024;30/04/2024;agriculture
1226738;{SAD-CAATINGA};Caatinga;BAHIA;Cordeiros;25.200.000.000;20.240.000.000.000;01/01/2024;05/08/2023;13/01/2024;30/04/2024;agriculture
1226734;{SAD-CAATINGA};Caatinga;BAHIA;Caldeirão Grande;23.600.000.000;20.240.000.000.000;01/01/2024;06/01/2023;14/01/2024;30/04/2024;agriculture
1226735;{SAD-CAATINGA};Caatinga;BAHIA;Jeremoabo;16.900.000.000;20.240.000.000.000;01/01/2024;13/05/2023;29/01/2024;30/04/2024;agriculture
1226730;{SAD-CAATINGA};Caatinga;BAHIA;Rafael Jambeiro;0.3900000000;20.240.000.000.000;01/01/2024;04/02/2023;01/01/2024;30/04/2024;agriculture
1226732;{SAD-CAATINGA};Caatinga;BAHIA;Itaeté;13.400.000.000;20.240.000.000.000;01/01/2024;25/07/2023;09/01/2024;30/04/2024;agriculture
1226687;{SAD-CAATINGA};Caatinga;BAHIA;Piatã;25.600.000.000;20.240.000.000.000;01/02/2024;01/10/2023;11/12/2023;30/04/2024;agriculture
1226665;{SAD-CAATINGA};Caatinga;BAHIA;Morro do Chapéu;13.000.000.000;20.240.000.000.000;01/01/2024;03/10/2023;27/12/2023;30/04/2024;agriculture
1226661;{SAD-CAATINGA};Caatinga;BAHIA;Mirangaba;77.600.000.000;20.240.000.000.000;01/01/2024;28/03/2023;13/01/2024;30/04/2024;agriculture
1226635;{SAD-CAATINGA};Caatinga;BAHIA;Angical;172.300.000.000;20.240.000.000.000;01/01/2024;07/06/2023;26/11/2023;30/04/2024;agriculture
1226593;{SAD-CAATINGA};Caatinga;BAHIA;Irará;28.300.000.000;20.240.000.000.000;01/01/2024;17/04/2023;30/01/2024;30/04/2024;agriculture
1226585;{SAD-CAATINGA};Caatinga;BAHIA;Itatim;37.700.000.000;20.240.000.000.000;01/01/2024;30/06/2023;17/02/2024;30/04/2024;agriculture
1223522;{SAD-CAATINGA};Caatinga;BAHIA;Mundo Novo;20.600.000.000;20.240.000.000.000;01/01/2024;19/04/2023;31/01/2024;30/04/2024;agriculture
1223428;{SAD-CAATINGA};Caatinga;BAHIA;Feira de Santana;11.900.000.000;20.240.000.000.000;01/01/2024;19/08/2023;31/01/2024;30/04/2024;agriculture
1223356;{SAD-CAATINGA};Caatinga;BAHIA;Ribeira do Pombal;30.100.000.000;20.240.000.000.000;01/01/2024;06/01/2023;31/01/2024;30/04/2024;agriculture
1226522;{SAD-CAATINGA};Caatinga;BAHIA;Monte Santo;61.800.000.000;20.240.000.000.000;01/02/2024;09/02/2023;31/01/2024;30/04/2024;agriculture
1223108;{SAD-CAATINGA};Caatinga;BAHIA;Ribeira do Pombal;295.200.000.000;20.240.000.000.000;01/01/2024;06/03/2023;08/01/2024;30/04/2024;agriculture
1226507;{SAD-CAATINGA};Caatinga;BAHIA;Iaçu;23.300.000.000;20.240.000.000.000;01/02/2024;23/02/2023;28/02/2024;30/04/2024;agriculture
1223071;{SAD-CAATINGA};Caatinga;BAHIA;Riacho de Santana;72.200.000.000;20.240.000.000.000;01/01/2024;05/05/2023;09/03/2024;30/04/2024;agriculture
1222931;{SAD-CAATINGA};Caatinga;BAHIA;Barra da Estiva;13.700.000.000;20.240.000.000.000;01/01/2024;24/01/2023;15/01/2024;30/04/2024;agriculture
1222818;{SAD-CAATINGA};Caatinga;BAHIA;Paratinga;22.400.000.000;20.240.000.000.000;01/01/2024;24/02/2023;16/05/2024;30/04/2024;agriculture
1222816;{SAD-CAATINGA};Caatinga;BAHIA;Licínio de Almeida;66.200.000.000;20.240.000.000.000;01/01/2024;16/04/2023;20/01/2024;30/04/2024;agriculture
1222811;{SAD-CAATINGA};Caatinga;BAHIA;Ruy Barbosa;13.500.000.000;20.240.000.000.000;01/02/2024;26/09/2023;16/03/2024;30/04/2024;agriculture
1226421;{SAD-CAATINGA};Caatinga;BAHIA;Cotegipe;70.000.000.000;20.240.000.000.000;01/01/2024;10/07/2023;15/09/2023;30/04/2024;agriculture
1226377;{SAD-CAATINGA};Caatinga;BAHIA;Riacho de Santana;84.700.000.000;20.240.000.000.000;01/01/2024;10/06/2023;04/02/2024;30/04/2024;agriculture
1226372;{SAD-CAATINGA};Caatinga;BAHIA;Jacaraci;13.300.000.000;20.240.000.000.000;01/01/2024;20/05/2023;31/01/2024;30/04/2024;agriculture
1226370;{SAD-CAATINGA};Caatinga;BAHIA;Piatã;75.300.000.000;20.240.000.000.000;01/01/2024;16/04/2023;17/07/2023;30/04/2024;agriculture
1226340;{SAD-CAATINGA};Caatinga;BAHIA;Rafael Jambeiro;121.400.000.000;20.240.000.000.000;01/01/2024;11/01/2023;12/01/2024;30/04/2024;agriculture
1226299;{SAD-CAATINGA};Caatinga;BAHIA;Várzea Nova;59.100.000.000;20.240.000.000.000;01/01/2024;14/07/2023;31/01/2024;30/04/2024;agriculture
1226297;{SAD-CAATINGA};Caatinga;BAHIA;Bom Jesus da Lapa;13.700.000.000;20.240.000.000.000;01/01/2024;02/04/2023;09/01/2024;30/04/2024;agriculture
1232162;{DETER-CERRADO};Cerrado;BAHIA;Santa Rita de Cássia;5.437.500.000.000;20.240.000.000.000;01/03/2024;10/08/2023;28/05/2024;01/05/2024;agriculture
1226217;{SAD-CAATINGA};Caatinga;BAHIA;João Dourado;168.300.000.000;20.240.000.000.000;01/02/2024;10/01/2024;29/02/2024;30/04/2024;agriculture
1226173;{SAD-CAATINGA};Caatinga;BAHIA;Paratinga;25.100.000.000;20.240.000.000.000;01/01/2024;31/01/2023;15/01/2024;30/04/2024;agriculture
1226170;{SAD-CAATINGA};Caatinga;BAHIA;Brejolândia;37.000.000.000;20.240.000.000.000;01/01/2024;01/06/2023;31/07/2023;30/04/2024;agriculture
1222438;{SAD-CAATINGA};Caatinga;BAHIA;Monte Santo;64.500.000.000;20.240.000.000.000;01/02/2024;25/08/2023;15/02/2024;30/04/2024;agriculture
1222425;{SAD-CAATINGA};Caatinga;BAHIA;Condeúba;38.500.000.000;20.240.000.000.000;01/01/2024;14/09/2023;15/01/2024;30/04/2024;agriculture
1222357;{SAD-CAATINGA};Caatinga;BAHIA;Cícero Dantas;16.100.000.000;20.240.000.000.000;01/01/2024;26/01/2023;21/04/2023;30/04/2024;agriculture
1222367;{SAD-CAATINGA};Caatinga;BAHIA;Irará;26.000.000.000;20.240.000.000.000;01/01/2024;23/01/2023;30/01/2024;30/04/2024;agriculture
1222277;{SAD-CAATINGA};Caatinga;BAHIA;Euclides da Cunha;55.800.000.000;20.240.000.000.000;01/01/2024;13/05/2023;31/01/2024;30/04/2024;agriculture
1222244;{SAD-CAATINGA};Caatinga;BAHIA;Monte Santo;25.200.000.000;20.240.000.000.000;01/01/2024;15/07/2023;28/12/2023;30/04/2024;agriculture
1222090;{SAD-CAATINGA};Caatinga;BAHIA;Jeremoabo;20.700.000.000;20.240.000.000.000;01/01/2024;26/01/2023;31/01/2024;30/04/2024;agriculture
1226140;{SAD-CAATINGA};Caatinga;BAHIA;Filadélfia;0.9200000000;20.240.000.000.000;01/01/2024;14/07/2023;16/02/2024;30/04/2024;agriculture
1226119;{SAD-CAATINGA};Caatinga;BAHIA;Barra da Estiva;25.000.000.000;20.240.000.000.000;01/01/2024;05/12/2023;17/03/2024;30/04/2024;agriculture
1226072;{SAD-CAATINGA};Caatinga;BAHIA;Santa Terezinha;64.700.000.000;20.240.000.000.000;01/02/2024;25/07/2023;06/02/2024;30/04/2024;agriculture
1221902;{SAD-CAATINGA};Caatinga;BAHIA;Monte Santo;108.100.000.000;20.240.000.000.000;01/01/2024;13/08/2023;31/01/2024;30/04/2024;agriculture
1221861;{SAD-CAATINGA};Caatinga;BAHIA;Aporá;30.200.000.000;20.240.000.000.000;01/01/2024;15/07/2023;17/02/2024;30/04/2024;agriculture
1221761;{SAD-CAATINGA};Caatinga;BAHIA;Monte Santo;17.200.000.000;20.240.000.000.000;01/01/2024;13/05/2023;31/01/2024;30/04/2024;agriculture
1221609;{SAD-CAATINGA};Caatinga;BAHIA;Monte Santo;16.800.000.000;20.240.000.000.000;01/01/2024;11/07/2023;31/01/2024;30/04/2024;agriculture
1226030;{SAD-CAATINGA};Caatinga;BAHIA;Itaberaba;34.300.000.000;20.240.000.000.000;01/02/2024;31/05/2023;16/03/2024;30/04/2024;agriculture
1226026;{SAD-CAATINGA};Caatinga;BAHIA;Jacobina;27.000.000.000;20.240.000.000.000;01/01/2024;26/01/2023;31/01/2024;30/04/2024;agriculture
1226023;{SAD-CAATINGA};Caatinga;BAHIA;Valente;19.700.000.000;20.240.000.000.000;01/01/2024;21/04/2023;31/01/2024;30/04/2024;agriculture
1226013;{SAD-CAATINGA};Caatinga;BAHIA;Morro do Chapéu;16.700.000.000;20.240.000.000.000;01/01/2024;16/04/2023;27/10/2023;30/04/2024;agriculture
1224588;{SAD-CAATINGA};Caatinga;BAHIA;Ibotirama;25.700.000.000;20.240.000.000.000;01/01/2024;27/07/2023;12/01/2024;30/04/2024;agriculture
1224580;{SAD-CAATINGA};Caatinga;BAHIA;Cotegipe;432.300.000.000;20.240.000.000.000;01/01/2024;27/04/2023;28/11/2023;30/04/2024;agriculture
1225972;{SAD-CAATINGA};Caatinga;BAHIA;Miguel Calmon;26.100.000.000;20.240.000.000.000;01/02/2024;13/09/2023;31/01/2024;30/04/2024;agriculture
1225966;{SAD-CAATINGA};Caatinga;BAHIA;Cipó;59.900.000.000;20.240.000.000.000;01/01/2024;26/08/2023;26/03/2024;30/04/2024;agriculture
1225958;{SAD-CAATINGA};Caatinga;BAHIA;Senhor do Bonfim;33.300.000.000;20.240.000.000.000;01/01/2024;30/06/2023;13/01/2024;30/04/2024;agriculture
1230625;{SAD-CERRADO};Cerrado;BAHIA;Cristópolis;137.400.000.000;20.240.000.000.000;01/01/2024;27/11/2023;11/01/2024;30/04/2024;agriculture
1224504;{SAD-CAATINGA};Caatinga;BAHIA;Malhada;88.500.000.000;20.240.000.000.000;01/01/2024;13/08/2023;19/01/2024;30/04/2024;agriculture
1224496;{SAD-CAATINGA};Caatinga;BAHIA;Mucugê;194.700.000.000;20.240.000.000.000;01/01/2024;13/10/2023;25/12/2023;30/04/2024;agriculture
1225952;{SAD-CAATINGA};Caatinga;BAHIA;Caculé;115.400.000.000;20.240.000.000.000;01/01/2024;10/03/2023;31/01/2024;30/04/2024;agriculture
1225920;{SAD-CAATINGA};Caatinga;BAHIA;Caldeirão Grande;43.600.000.000;20.240.000.000.000;01/01/2024;26/01/2023;08/01/2024;30/04/2024;agriculture
1224477;{SAD-CAATINGA};Caatinga;BAHIA;Irará;22.500.000.000;20.240.000.000.000;01/01/2024;19/08/2023;12/01/2024;30/04/2024;agriculture
1225537;{SAD-CAATINGA};Caatinga;BAHIA;Paratinga;18.900.000.000;20.240.000.000.000;01/02/2024;30/05/2023;16/01/2024;30/04/2024;agriculture
1225474;{SAD-CAATINGA};Caatinga;BAHIA;Boa Vista do Tupim;35.700.000.000;20.240.000.000.000;01/02/2024;17/06/2023;01/02/2024;30/04/2024;agriculture
1225886;{SAD-CAATINGA};Caatinga;BAHIA;Sítio do Mato;21.800.000.000;20.240.000.000.000;01/01/2024;31/03/2023;26/12/2023;30/04/2024;agriculture
1225885;{SAD-CAATINGA};Caatinga;BAHIA;Itaberaba;26.500.000.000;20.240.000.000.000;01/01/2024;31/05/2023;25/07/2023;30/04/2024;agriculture
1225884;{SAD-CAATINGA};Caatinga;BAHIA;Saúde;371.100.000.000;20.240.000.000.000;01/01/2024;26/01/2023;14/07/2023;30/04/2024;agriculture
1225881;{SAD-CAATINGA};Caatinga;BAHIA;Itapicuru;46.000.000.000;20.240.000.000.000;01/02/2024;26/08/2023;03/02/2024;30/04/2024;agriculture
1226277;{SAD-CAATINGA};Caatinga;BAHIA;Carinhanha;106.000.000.000;20.240.000.000.000;01/01/2024;16/04/2023;18/01/2024;30/04/2024;agriculture
1222768;{SAD-CAATINGA};Caatinga;BAHIA;Jacobina;70.600.000.000;20.240.000.000.000;01/02/2024;02/10/2023;10/03/2024;30/04/2024;agriculture
1225853;{SAD-CAATINGA};Caatinga;BAHIA;Serra do Ramalho;127.600.000.000;20.240.000.000.000;01/01/2024;01/07/2023;15/02/2024;30/04/2024;agriculture
1222763;{SAD-CAATINGA};Caatinga;BAHIA;Belo Campo;36.300.000.000;20.240.000.000.000;01/01/2024;22/06/2023;13/01/2024;30/04/2024;agriculture
1222754;{SAD-CAATINGA};Caatinga;BAHIA;Capim Grosso;78.400.000.000;20.240.000.000.000;01/01/2024;26/10/2023;17/02/2024;30/04/2024;agriculture
1222745;{SAD-CAATINGA};Caatinga;BAHIA;Itaberaba;37.700.000.000;20.240.000.000.000;01/01/2024;20/07/2023;03/02/2024;30/04/2024;agriculture
1225835;{SAD-CAATINGA};Caatinga;BAHIA;Miguel Calmon;33.200.000.000;20.240.000.000.000;01/02/2024;13/04/2023;28/02/2024;30/04/2024;agriculture
1225837;{SAD-CAATINGA};Caatinga;BAHIA;Santa Rita de Cássia;40.700.000.000;20.240.000.000.000;01/01/2024;31/03/2023;12/01/2024;30/04/2024;agriculture
1222675;{SAD-CAATINGA};Caatinga;BAHIA;Saúde;274.400.000.000;20.240.000.000.000;01/01/2024;26/01/2023;31/01/2024;30/04/2024;agriculture
1225834;{SAD-CAATINGA};Caatinga;BAHIA;Morro do Chapéu;72.400.000.000;20.240.000.000.000;01/01/2024;25/08/2023;31/01/2024;30/04/2024;agriculture
1225829;{SAD-CAATINGA};Caatinga;BAHIA;Nordestina;24.700.000.000;20.240.000.000.000;01/01/2024;14/07/2023;21/03/2024;30/04/2024;agriculture
1225816;{SAD-CAATINGA};Caatinga;BAHIA;Boa Vista do Tupim;111.800.000.000;20.240.000.000.000;01/02/2024;27/05/2023;03/02/2024;30/04/2024;agriculture
1225875;{SAD-CAATINGA};Caatinga;BAHIA;Morro do Chapéu;57.200.000.000;20.240.000.000.000;01/01/2024;14/07/2023;28/10/2023;30/04/2024;agriculture
1222629;{SAD-CAATINGA};Caatinga;BAHIA;Barra;4.338.300.000.000;20.240.000.000.000;01/01/2024;05/07/2023;31/08/2023;30/04/2024;agriculture
1225755;{SAD-CAATINGA};Caatinga;BAHIA;Itapicuru;84.000.000.000;20.240.000.000.000;01/02/2024;07/01/2024;17/02/2024;30/04/2024;agriculture
1222560;{SAD-CAATINGA};Caatinga;BAHIA;Santa Rita de Cássia;124.800.000.000;20.240.000.000.000;01/01/2024;31/07/2023;19/01/2024;30/04/2024;agriculture
1222551;{SAD-CAATINGA};Caatinga;BAHIA;Guajeru;33.700.000.000;20.240.000.000.000;01/02/2024;09/07/2023;16/02/2024;30/04/2024;agriculture
1222539;{SAD-CAATINGA};Caatinga;BAHIA;Jeremoabo;29.600.000.000;20.240.000.000.000;01/01/2024;14/04/2023;20/01/2024;30/04/2024;agriculture
1225745;{SAD-CAATINGA};Caatinga;BAHIA;Euclides da Cunha;494.600.000.000;20.240.000.000.000;01/02/2024;14/07/2023;16/03/2024;30/04/2024;agriculture
1227701;{SAD-CAATINGA};Caatinga;BAHIA;Angical;69.700.000.000;20.240.000.000.000;01/01/2024;10/06/2023;15/06/2023;30/04/2024;agriculture
1223124;{SAD-CAATINGA};Cerrado;BAHIA;Cocos;42.100.000.000;20.240.000.000.000;01/01/2024;27/10/2021;26/11/2021;30/04/2024;agriculture
1225637;{SAD-CAATINGA};Caatinga;BAHIA;Ribeira do Amparo;46.100.000.000;20.240.000.000.000;01/02/2024;21/01/2023;29/02/2024;30/04/2024;agriculture
1225606;{SAD-CAATINGA};Caatinga;BAHIA;Boa Vista do Tupim;330.500.000.000;20.240.000.000.000;01/02/2024;19/04/2023;28/02/2024;30/04/2024;agriculture
1225605;{SAD-CAATINGA};Caatinga;BAHIA;Anagé;222.900.000.000;20.240.000.000.000;01/02/2024;19/08/2023;06/02/2024;30/04/2024;agriculture
1225945;{SAD-CAATINGA};Caatinga;BAHIA;Boa Vista do Tupim;36.900.000.000;20.240.000.000.000;01/01/2024;11/05/2023;11/02/2024;30/04/2024;agriculture
1225566;{SAD-CAATINGA};Caatinga;BAHIA;Milagres;146.700.000.000;20.240.000.000.000;01/02/2024;20/05/2023;12/04/2024;30/04/2024;agriculture
1225562;{SAD-CAATINGA};Caatinga;BAHIA;Carinhanha;0.9000000000;20.240.000.000.000;01/02/2024;29/04/2023;15/02/2024;30/04/2024;agriculture
1224906;{SAD-CAATINGA};Caatinga;BAHIA;Jacaraci;147.500.000.000;20.240.000.000.000;01/01/2024;16/04/2023;10/01/2024;30/04/2024;agriculture
1225431;{SAD-CAATINGA};Caatinga;BAHIA;São José do Jacuípe;82.200.000.000;20.240.000.000.000;01/02/2024;21/04/2023;20/03/2024;30/04/2024;agriculture
1224746;{SAD-CAATINGA};Caatinga;BAHIA;Mulungu do Morro;55.100.000.000;20.240.000.000.000;01/01/2024;14/06/2023;10/01/2024;30/04/2024;agriculture
1224777;{SAD-CAATINGA};Caatinga;BAHIA;Piatã;17.600.000.000;20.240.000.000.000;01/01/2024;14/10/2023;14/01/2024;30/04/2024;agriculture
1224782;{SAD-CAATINGA};Caatinga;BAHIA;Santanópolis;22.500.000.000;20.240.000.000.000;01/01/2024;29/04/2023;12/01/2024;30/04/2024;agriculture
1224799;{SAD-CAATINGA};Caatinga;BAHIA;Piatã;13.600.000.000;20.240.000.000.000;01/01/2024;11/07/2023;14/10/2023;30/04/2024;urban_expansion
1224880;{SAD-CAATINGA};Caatinga;BAHIA;Barra;389.500.000.000;20.240.000.000.000;01/01/2024;27/06/2023;19/10/2023;30/04/2024;agriculture
1224882;{SAD-CAATINGA};Caatinga;BAHIA;Guajeru;44.700.000.000;20.240.000.000.000;01/01/2024;25/03/2023;31/01/2024;30/04/2024;agriculture
1224670;{SAD-CAATINGA};Caatinga;BAHIA;Santa Rita de Cássia;14.700.000.000;20.240.000.000.000;01/01/2024;22/09/2023;24/10/2023;30/04/2024;agriculture
1224637;{SAD-CAATINGA};Caatinga;BAHIA;Feira de Santana;111.400.000.000;20.240.000.000.000;01/01/2024;15/01/2023;12/01/2024;30/04/2024;agriculture
1225352;{SAD-CAATINGA};Caatinga;BAHIA;Carinhanha;22.100.000.000;20.240.000.000.000;01/02/2024;14/02/2023;02/02/2024;30/04/2024;agriculture
1225348;{SAD-CAATINGA};Caatinga;BAHIA;Várzea Nova;44.300.000.000;20.240.000.000.000;01/02/2024;05/08/2023;16/02/2024;30/04/2024;agriculture
1225330;{SAD-CAATINGA};Caatinga;BAHIA;Itaberaba;565.900.000.000;20.240.000.000.000;01/02/2024;25/07/2023;01/04/2024;30/04/2024;agriculture
1225313;{SAD-CAATINGA};Caatinga;BAHIA;Remanso;101.000.000.000;20.240.000.000.000;01/02/2024;19/08/2023;09/03/2024;30/04/2024;agriculture
1225277;{SAD-CAATINGA};Caatinga;BAHIA;Santa Brígida;28.300.000.000;20.240.000.000.000;01/02/2024;04/05/2023;11/03/2024;30/04/2024;agriculture
1225271;{SAD-CAATINGA};Caatinga;BAHIA;Novo Triunfo;16.300.000.000;20.240.000.000.000;01/02/2024;12/07/2023;22/03/2024;30/04/2024;agriculture
1225246;{SAD-CAATINGA};Caatinga;BAHIA;Monte Santo;216.100.000.000;20.240.000.000.000;01/02/2024;13/08/2023;02/10/2023;30/04/2024;agriculture
1225193;{SAD-CAATINGA};Caatinga;BAHIA;Piripá;20.100.000.000;20.240.000.000.000;01/02/2024;05/03/2023;25/02/2024;30/04/2024;agriculture
1225160;{SAD-CAATINGA};Caatinga;BAHIA;Monte Santo;73.300.000.000;20.240.000.000.000;01/02/2024;06/09/2023;08/02/2024;30/04/2024;agriculture
1232347;{DETER-CERRADO};Cerrado;BAHIA;São Desidério;5.645.900.000.000;20.240.000.000.000;01/03/2024;17/10/2023;04/05/2024;01/05/2024;agriculture
1220790;{SAD-CAATINGA};Caatinga;BAHIA;Quijingue;13.300.000.000;20.240.000.000.000;01/01/2024;21/04/2023;08/01/2024;30/04/2024;agriculture
1227667;{SAD-CAATINGA};Caatinga;BAHIA;Barra;0.9900000000;20.240.000.000.000;01/01/2024;16/05/2023;09/01/2024;30/04/2024;agriculture
1227670;{SAD-CAATINGA};Caatinga;BAHIA;Feira de Santana;35.200.000.000;20.240.000.000.000;01/01/2024;13/12/2022;14/02/2024;30/04/2024;agriculture
1232667;{DETER-CERRADO};Cerrado;BAHIA;Catolândia;3.662.000.000.000;20.240.000.000.000;01/03/2024;07/12/2023;31/05/2024;01/05/2024;agriculture
1222501;{SAD-CAATINGA};Caatinga;BAHIA;Santa Rita de Cássia;28.900.000.000;20.240.000.000.000;01/01/2024;10/08/2023;29/10/2023;30/04/2024;agriculture
1220819;{SAD-CAATINGA};Caatinga;BAHIA;Banzaê;15.700.000.000;20.240.000.000.000;01/01/2024;21/04/2023;30/01/2024;30/04/2024;agriculture
1222057;{SAD-CAATINGA};Caatinga;BAHIA;Euclides da Cunha;1.238.200.000.000;20.240.000.000.000;01/01/2024;27/09/2023;30/01/2024;30/04/2024;agriculture
1225110;{SAD-CAATINGA};Caatinga;BAHIA;Planaltino;29.600.000.000;20.240.000.000.000;01/02/2024;23/01/2023;18/03/2024;30/04/2024;agriculture
1229208;{SAD-CAATINGA};Caatinga;BAHIA;Itatim;18.400.000.000;20.240.000.000.000;01/02/2024;20/05/2023;31/01/2024;30/04/2024;agriculture
1228904;{SAD-CAATINGA};Caatinga;BAHIA;Barra;30.300.000.000;20.240.000.000.000;01/02/2024;28/05/2023;15/01/2024;30/04/2024;agriculture
1228755;{SAD-CAATINGA};Caatinga;BAHIA;Santa Rita de Cássia;15.700.000.000;20.240.000.000.000;01/02/2024;31/05/2023;27/02/2024;30/04/2024;agriculture
1220852;{SAD-CAATINGA};Caatinga;BAHIA;Monte Santo;39.600.000.000;20.240.000.000.000;01/01/2024;14/07/2023;30/01/2024;30/04/2024;agriculture
1220849;{SAD-CAATINGA};Caatinga;BAHIA;Euclides da Cunha;15.000.000.000;20.240.000.000.000;01/01/2024;11/05/2023;30/01/2024;30/04/2024;agriculture
1220858;{SAD-CAATINGA};Caatinga;BAHIA;Cansanção;11.300.000.000;20.240.000.000.000;01/01/2024;14/07/2023;08/01/2024;30/04/2024;agriculture
1228864;{SAD-CAATINGA};Caatinga;BAHIA;Paratinga;58.900.000.000;20.240.000.000.000;01/02/2024;27/04/2023;28/12/2023;30/04/2024;agriculture
1221005;{SAD-CAATINGA};Caatinga;BAHIA;Itapicuru;509.900.000.000;20.240.000.000.000;01/01/2024;31/10/2023;31/01/2024;30/04/2024;agriculture
1221035;{SAD-CAATINGA};Caatinga;BAHIA;Euclides da Cunha;18.100.000.000;20.240.000.000.000;01/01/2024;16/04/2023;13/01/2024;30/04/2024;agriculture
1227283;{SAD-CAATINGA};Caatinga;BAHIA;Morro do Chapéu;0.7900000000;20.240.000.000.000;01/01/2024;08/02/2023;31/01/2024;30/04/2024;agriculture
1227278;{SAD-CAATINGA};Caatinga;BAHIA;Mairi;15.500.000.000;20.240.000.000.000;01/02/2024;13/07/2023;02/03/2024;30/04/2024;agriculture
1224873;{SAD-CAATINGA};Caatinga;BAHIA;Caém;133.200.000.000;20.240.000.000.000;01/01/2024;06/01/2023;08/01/2024;30/04/2024;agriculture
1224867;{SAD-CAATINGA};Caatinga;BAHIA;Carinhanha;20.600.000.000;20.240.000.000.000;01/01/2024;13/03/2023;13/09/2023;30/04/2024;agriculture
1224156;{SAD-CAATINGA};Caatinga;BAHIA;Iramaia;31.000.000.000;20.240.000.000.000;01/01/2024;17/06/2023;01/02/2024;30/04/2024;agriculture
1224118;{SAD-CAATINGA};Caatinga;BAHIA;Barra;34.300.000.000;20.240.000.000.000;01/01/2024;26/04/2023;28/11/2023;30/04/2024;agriculture
1224169;{SAD-CAATINGA};Caatinga;BAHIA;Itaberaba;23.400.000.000;20.240.000.000.000;01/01/2024;16/04/2023;16/03/2024;30/04/2024;agriculture
1231941;{DETER-CERRADO};Cerrado;BAHIA;Coribe;167.200.000.000;20.240.000.000.000;27/03/2024;18/01/2024;25/04/2024;01/05/2024;agriculture
1224117;{SAD-CAATINGA};Caatinga;BAHIA;Palmas de Monte Alto;40.300.000.000;20.240.000.000.000;01/01/2024;19/09/2023;04/02/2024;30/04/2024;agriculture
1224099;{SAD-CAATINGA};Caatinga;BAHIA;Carinhanha;49.000.000.000;20.240.000.000.000;01/01/2024;05/03/2023;14/03/2023;30/04/2024;agriculture
1223982;{SAD-CAATINGA};Caatinga;BAHIA;Santa Rita de Cássia;128.000.000.000;20.240.000.000.000;01/02/2024;12/06/2023;10/03/2024;30/04/2024;agriculture
1224045;{SAD-CAATINGA};Caatinga;BAHIA;Angical;34.600.000.000;20.240.000.000.000;01/02/2024;09/12/2023;09/03/2024;30/04/2024;agriculture
1223920;{SAD-CAATINGA};Caatinga;BAHIA;Santa Rita de Cássia;11.400.000.000;20.240.000.000.000;01/02/2024;23/05/2023;24/07/2023;30/04/2024;agriculture
1223890;{SAD-CAATINGA};Caatinga;BAHIA;Muquém do São Francisco;106.800.000.000;20.240.000.000.000;01/02/2024;25/05/2023;16/02/2024;30/04/2024;agriculture
1223886;{SAD-CAATINGA};Caatinga;BAHIA;Santa Brígida;42.600.000.000;20.240.000.000.000;01/02/2024;14/04/2023;04/03/2024;30/04/2024;agriculture
1223881;{SAD-CAATINGA};Caatinga;BAHIA;Itapicuru;15.200.000.000;20.240.000.000.000;01/01/2024;26/08/2023;31/01/2024;30/04/2024;agriculture
1223845;{SAD-CAATINGA};Caatinga;BAHIA;Jeremoabo;44.200.000.000;20.240.000.000.000;01/02/2024;04/07/2023;08/01/2024;30/04/2024;agriculture
1223816;{SAD-CAATINGA};Caatinga;BAHIA;Utinga;0.6900000000;20.240.000.000.000;01/01/2024;23/01/2023;31/01/2024;30/04/2024;agriculture
1223801;{SAD-CAATINGA};Caatinga;BAHIA;Heliópolis;61.800.000.000;20.240.000.000.000;01/01/2024;05/01/2023;30/01/2024;30/04/2024;agriculture
