CODEALERTA;FONTE;BIOMA;ESTADO;MUNICIPIO;AREAHA;ANODETEC;DATADETEC;DTIMGANT;DTIMGDEP;DTPUBLI;VPRESSAO
1241157;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;São Sebastião do Passé;90.900.000.000;20.240.000.000.000;30/04/2024;19/04/2023;20/01/2024;04/06/2024;agriculture
1240359;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;São Sebastião do Passé;86.800.000.000;20.240.000.000.000;30/04/2024;30/05/2023;17/03/2024;04/06/2024;agriculture
1238213;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Ibirapitanga;15.800.000.000;20.240.000.000.000;30/04/2024;14/07/2023;29/06/2024;04/06/2024;agriculture
1238454;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Apuarema;12.600.000.000;20.240.000.000.000;30/04/2024;24/11/2023;30/06/2024;04/06/2024;agriculture
1238356;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Canavieiras;14.000.000.000;20.240.000.000.000;30/04/2024;21/06/2023;07/04/2024;04/06/2024;agriculture
1237334;{SAD-MATA-ATLANTICA};Mata Atlântica;BAHIA;Nova Viçosa;19.800.000.000;20.240.000.000.000;31/03/2024;09/07/2023;27/06/2024;04/06/2024;agriculture
1223831;{SAD-CAATINGA};Caatinga;BAHIA;Paratinga;0.4600000000;20.240.000.000.000;01/02/2024;26/05/2023;19/04/2024;30/04/2024;agriculture
1223825;{SAD-CAATINGA};Caatinga;BAHIA;Itiúba;17.700.000.000;20.240.000.000.000;01/01/2024;13/05/2023;08/01/2024;30/04/2024;agriculture
1232533;{DETER-CERRADO};Cerrado;BAHIA;Cristópolis;505.400.000.000;20.240.000.000.000;07/03/2024;28/11/2023;02/07/2024;01/05/2024;agriculture
1223819;{SAD-CAATINGA};Caatinga;BAHIA;Jaguarari;64.400.000.000;20.240.000.000.000;01/01/2024;19/04/2023;17/02/2024;30/04/2024;agriculture
1223812;{SAD-CAATINGA};Caatinga;BAHIA;Monte Santo;91.000.000.000;20.240.000.000.000;01/02/2024;25/08/2023;17/02/2024;30/04/2024;agriculture
1223800;{SAD-CAATINGA};Caatinga;BAHIA;Saúde;10.700.000.000;20.240.000.000.000;01/01/2024;26/01/2023;14/07/2023;30/04/2024;agriculture
1223773;{SAD-CAATINGA};Caatinga;BAHIA;Licínio de Almeida;18.800.000.000;20.240.000.000.000;01/01/2024;09/09/2023;20/01/2024;30/04/2024;agriculture
1223772;{SAD-CAATINGA};Caatinga;BAHIA;Carinhanha;57.300.000.000;20.240.000.000.000;01/01/2024;13/04/2023;12/01/2024;30/04/2024;agriculture
1223723;{SAD-CAATINGA};Caatinga;BAHIA;América Dourada;69.100.000.000;20.240.000.000.000;01/01/2024;23/02/2023;31/01/2024;30/04/2024;agriculture
1223722;{SAD-CAATINGA};Caatinga;BAHIA;Piritiba;17.700.000.000;20.240.000.000.000;01/01/2024;14/07/2023;31/01/2024;30/04/2024;agriculture
1223721;{SAD-CAATINGA};Caatinga;BAHIA;Barra da Estiva;14.400.000.000;20.240.000.000.000;01/01/2024;24/08/2023;18/04/2024;30/04/2024;agriculture
1223715;{SAD-CAATINGA};Caatinga;BAHIA;Piatã;27.200.000.000;20.240.000.000.000;01/02/2024;31/05/2023;29/02/2024;30/04/2024;agriculture
1223712;{SAD-CAATINGA};Caatinga;BAHIA;Jequié;52.100.000.000;20.240.000.000.000;01/02/2024;02/04/2023;16/02/2024;30/04/2024;agriculture
1223680;{SAD-CAATINGA};Caatinga;BAHIA;Serrinha;265.500.000.000;20.240.000.000.000;01/01/2024;19/08/2023;07/01/2024;30/04/2024;agriculture
1223679;{SAD-CAATINGA};Caatinga;BAHIA;Iaçu;199.200.000.000;20.240.000.000.000;01/02/2024;25/07/2023;25/02/2024;30/04/2024;agriculture
1223663;{SAD-CAATINGA};Caatinga;BAHIA;Cícero Dantas;13.400.000.000;20.240.000.000.000;01/01/2024;31/03/2023;31/01/2024;30/04/2024;agriculture
1223665;{SAD-CAATINGA};Caatinga;BAHIA;Nova Itarana;291.700.000.000;20.240.000.000.000;01/02/2024;25/07/2023;01/04/2024;30/04/2024;agriculture
1223650;{SAD-CAATINGA};Caatinga;BAHIA;Condeúba;44.400.000.000;20.240.000.000.000;01/01/2024;11/05/2023;14/11/2023;30/04/2024;agriculture
1223649;{SAD-CAATINGA};Caatinga;BAHIA;Itaberaba;12.400.000.000;20.240.000.000.000;01/01/2024;26/10/2023;15/01/2024;30/04/2024;agriculture
1223645;{SAD-CAATINGA};Caatinga;BAHIA;Angical;75.300.000.000;20.240.000.000.000;01/01/2024;28/04/2023;26/05/2023;30/04/2024;agriculture
1223638;{SAD-CAATINGA};Caatinga;BAHIA;Euclides da Cunha;296.600.000.000;20.240.000.000.000;01/02/2024;09/12/2023;15/05/2024;30/04/2024;agriculture
1223632;{SAD-CAATINGA};Caatinga;BAHIA;Pé de Serra;39.500.000.000;20.240.000.000.000;01/01/2024;17/04/2023;08/01/2024;30/04/2024;agriculture
1223623;{SAD-CAATINGA};Caatinga;BAHIA;Mundo Novo;50.600.000.000;20.240.000.000.000;01/02/2024;28/09/2023;08/02/2024;30/04/2024;agriculture
1223594;{SAD-CAATINGA};Caatinga;BAHIA;São Domingos;17.200.000.000;20.240.000.000.000;01/01/2024;09/07/2023;31/01/2024;30/04/2024;agriculture
1223602;{SAD-CAATINGA};Caatinga;BAHIA;Piatã;0.5100000000;20.240.000.000.000;01/02/2024;29/05/2023;24/08/2023;30/04/2024;agriculture
1223585;{SAD-CAATINGA};Caatinga;BAHIA;Caturama;126.500.000.000;20.240.000.000.000;01/01/2024;04/02/2023;20/01/2024;30/04/2024;agriculture
1223566;{SAD-CAATINGA};Caatinga;BAHIA;Condeúba;74.900.000.000;20.240.000.000.000;01/02/2024;27/07/2023;17/03/2024;30/04/2024;agriculture
1223541;{SAD-CAATINGA};Caatinga;BAHIA;Boninal;504.500.000.000;20.240.000.000.000;01/02/2024;14/06/2023;14/03/2024;30/04/2024;agriculture
