BIOMA,ESTADO,MUNICIPIO,AREAHA,ANODETEC,VPRESSAO
Cerrado,BAHIA,Canápolis,2.3,2021,agriculture
Cerrado,BAHIA,São Desidério,12.52,2021,agriculture
Cerrado,BAHIA,Luís Eduardo Magalhães,4.83,2021,agriculture
Cerrado,BAHIA,Riachão das Neves,7.41,2021,agriculture
Cerrado,BAHIA,Baianópolis,2.91,2021,agriculture
Cerrado,BAHIA,Coribe,1.29,2021,agriculture
Cerrado,BAHIA,Santa Rita de Cássia,2.3,2021,agriculture
Cerrado,BAHIA,Santa Rita de Cássia,2.48,2021,agriculture
Cerrado,BAHIA,Coribe,1.45,2021,agriculture
Cerrado,BAHIA,Coribe,0.87,2021,agriculture
Caatinga,BAHIA,Matina,3.08,2022,agriculture
Caatinga,BAHIA,Matina,1.83,2022,agriculture
Cerrado,BAHIA,Riachão das Neves,25.49,2022,agriculture
Cerrado,BAHIA,Baianópolis,366.63,2022,agriculture
Cerrado,BAHIA,Cotegipe,143.85,2022,agriculture
Cerrado,BAHIA,Baianópolis,32.63,2022,agriculture
Caatinga,BAHIA,Condeúba,3.9,2022,others
Caatinga,BAHIA,Coronel João Sá,2.06,2022,others
Caatinga,BAHIA,Casa Nova,19.62,2022,others
Caatinga,BAHIA,Sátiro Dias,1.77,2022,others
Caatinga,BAHIA,Itapicuru,1.98,2022,others
Caatinga,BAHIA,Casa Nova,14.58,2022,others
Caatinga,BAHIA,Sátiro Dias,5.66,2022,agriculture
Caatinga,BAHIA,Itapicuru,45.17,2022,others
Caatinga,BAHIA,Ribeira do Amparo,38.0,2022,agriculture
Caatinga,BAHIA,Ribeira do Amparo,1.33,2022,agriculture
Caatinga,BAHIA,Inhambupe,1.5,2022,others
Caatinga,BAHIA,Várzea Nova,2.5,2022,others
Caatinga,BAHIA,Tucano,3.92,2022,others
Caatinga,BAHIA,Crisópolis,3.91,2022,others
Caatinga,BAHIA,Campo Formoso,1.9,2022,agriculture
Caatinga,BAHIA,Capim Grosso,4.8,2022,others
Caatinga,BAHIA,Itapicuru,3.34,2022,others
Caatinga,BAHIA,Itapicuru,8.12,2022,others
Caatinga,BAHIA,Sátiro Dias,10.7,2022,others
Caatinga,BAHIA,Sento Sé,5.59,2022,urban_expansion
Caatinga,BAHIA,Casa Nova,4.34,2022,agriculture
Caatinga,BAHIA,Crisópolis,6.94,2022,agriculture
Caatinga,BAHIA,Itapicuru,6.5,2022,agriculture
Caatinga,BAHIA,Itapicuru,2.42,2022,agriculture
Caatinga,BAHIA,Tucano,6.3,2022,agriculture
Caatinga,BAHIA,Campo Alegre de Lourdes,6.0,2022,agriculture
Caatinga,BAHIA,Barra do Mendes,9.81,2022,agriculture
Caatinga,BAHIA,Itapicuru,7.87,2022,others
Caatinga,BAHIA,Itapicuru,21.63,2022,agriculture
Caatinga,BAHIA,Morro do Chapéu,5.43,2022,others
Caatinga,BAHIA,Irará,10.59,2022,others
Caatinga,BAHIA,Crisópolis,2.41,2022,agriculture
Caatinga,BAHIA,Nova Soure,5.4,2022,agriculture
Caatinga,BAHIA,Cipó,24.22,2022,others
Caatinga,BAHIA,Jacobina,6.65,2022,agriculture
Caatinga,BAHIA,Jacobina,7.88,2022,others
Caatinga,BAHIA,Monte Santo,3.15,2022,others
Caatinga,BAHIA,Aporá,0.74,2022,agriculture
Caatinga,BAHIA,Itapicuru,110.33,2022,agriculture
Caatinga,BAHIA,Juazeiro,19.26,2022,agriculture
Caatinga,BAHIA,Queimadas,6.69,2022,agriculture
Caatinga,BAHIA,Riacho de Santana,1.79,2022,others
Caatinga,BAHIA,Feira da Mata,27.84,2022,others
Caatinga,BAHIA,Itapicuru,1.92,2022,agriculture
Caatinga,BAHIA,Nova Soure,33.46,2022,agriculture
Caatinga,BAHIA,Pilão Arcado,1.24,2022,others
Caatinga,BAHIA,Paratinga,1.39,2022,others
Caatinga,BAHIA,Pilão Arcado,0.94,2022,others
Caatinga,BAHIA,Guajeru,2.92,2022,others
Caatinga,BAHIA,Cipó,1.7,2022,agriculture
Caatinga,BAHIA,Buritirama,1.35,2022,others
Caatinga,BAHIA,Paulo Afonso,7.38,2022,others
Cerrado,BAHIA,São Desidério,332.29,2022,agriculture
Caatinga,BAHIA,Campo Formoso,0.85,2022,others
Caatinga,BAHIA,Andorinha,2.61,2022,others
Caatinga,BAHIA,Cansanção,1.28,2022,others
Caatinga,BAHIA,Macaúbas,1.32,2022,others
Cerrado,BAHIA,Jaborandi,1389.44,2022,agriculture
Cerrado,BAHIA,Cristópolis,10.52,2022,agriculture
Caatinga,BAHIA,Riacho de Santana,21.13,2022,others
Caatinga,BAHIA,Boa Vista do Tupim,4.55,2022,others
Mata Atlântica,BAHIA,Encruzilhada,5.06,2022,agriculture
Caatinga,BAHIA,Carinhanha,7.42,2022,others
Caatinga,BAHIA,Serra Dourada,1.94,2022,others
Caatinga,BAHIA,Buritirama,4.53,2022,others
Caatinga,BAHIA,Itaeté,7.76,2022,others
Caatinga,BAHIA,Feira da Mata,2.01,2022,others
Caatinga,BAHIA,Itaeté,2.33,2022,others
Caatinga,BAHIA,Jaborandi,5.74,2022,others
Caatinga,BAHIA,Riacho de Santana,0.86,2022,others
Caatinga,BAHIA,Coribe,26.55,2022,others
Caatinga,BAHIA,Campo Formoso,2.26,2022,others
Caatinga,BAHIA,Buritirama,0.47,2022,others
Caatinga,BAHIA,Cordeiros,2.06,2022,others
Caatinga,BAHIA,Caculé,3.43,2022,others
Caatinga,BAHIA,Carinhanha,59.81,2022,agriculture
Caatinga,BAHIA,Rio de Contas,30.08,2022,others
Caatinga,BAHIA,Barra,217.43,2022,others
Caatinga,BAHIA,São Félix do Coribe,1029.9,2022,agriculture
Caatinga,BAHIA,Cipó,3.61,2022,agriculture
Caatinga,BAHIA,Nova Soure,91.51,2022,others
Caatinga,BAHIA,Brotas de Macaúbas,22.79,2022,others
Caatinga,BAHIA,Tucano,16.84,2022,others
Caatinga,BAHIA,Paulo Afonso,1.34,2022,others
Caatinga,BAHIA,Itapicuru,1.79,2022,others
Caatinga,BAHIA,Mansidão,7.4,2022,others
Caatinga,BAHIA,Cipó,3.16,2022,others
Caatinga,BAHIA,Olindina,17.9,2022,others
Caatinga,BAHIA,Buritirama,3.74,2022,others
Caatinga,BAHIA,Remanso,11.63,2022,others
Caatinga,BAHIA,Carinhanha,15.15,2022,others
Caatinga,BAHIA,Paulo Afonso,2.28,2022,others
Caatinga,BAHIA,Boquira,3.75,2022,others
Caatinga,BAHIA,Riacho de Santana,11.16,2022,others
Caatinga,BAHIA,Buritirama,1.28,2022,others
Caatinga,BAHIA,Monte Santo,2.06,2022,others
Caatinga,BAHIA,Carinhanha,0.83,2022,others
Caatinga,BAHIA,Cordeiros,3.83,2022,agriculture
Caatinga,BAHIA,Boa Vista do Tupim,2.68,2022,others
Caatinga,BAHIA,Campo Formoso,0.11,2022,others
Caatinga,BAHIA,Cordeiros,1.36,2022,others
Caatinga,BAHIA,Feira da Mata,2.87,2022,others
Caatinga,BAHIA,Matina,1.97,2022,others
Caatinga,BAHIA,Água Fria,10.35,2022,agriculture
Caatinga,BAHIA,Serra do Ramalho,13.88,2022,others
Caatinga,BAHIA,Monte Santo,1.1,2022,others
Caatinga,BAHIA,Paripiranga,3.05,2022,others
Caatinga,BAHIA,Rio de Contas,0.79,2022,others
Caatinga,BAHIA,Uauá,9.81,2022,others
Caatinga,BAHIA,Paulo Afonso,0.41,2022,others
Caatinga,BAHIA,Contendas do Sincorá,57.68,2022,others
Caatinga,BAHIA,Carinhanha,2.39,2022,others
Cerrado,BAHIA,Barreiras,27.66,2022,agriculture
Caatinga,BAHIA,Livramento de Nossa Senhora,2.58,2022,others
